Node ID,Node Path,Query,Refinement Link
3238155011,"Patio, Lawn & Garden",,See all available refinements
4619352011,"Patio, Lawn & Garden/Farm & Ranch",,
5743799011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery",item_type_keyword:agricultural-machinery,
3753981,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Augers & Posthole Diggers",item_type_keyword:augers,
3753991,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Backhoes",item_type_keyword:backhoes,
3754001,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Bulldozers",item_type_keyword:bulldozers,
3754051,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Parts & Accessories",,
3754831,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Parts & Accessories/Auger Accessories",item_type_keyword:auger-accessories,
3754071,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Parts & Accessories/Skid-Steer Accessories",item_type_keyword:skid-steer-accessories,
5743801011,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Parts & Accessories/Spare & Replacement Parts",item_type_keyword:agricultural-machinery-spare-and-replacement-parts,
3754841,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Parts & Accessories/Three-Point Accessories",item_type_keyword:3-point-accessories,
3754021,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Power Take Off Generators",item_type_keyword:pto-generators,See all available refinements
3754031,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Skid Steers",item_type_keyword:skid-steers,
3754041,"Patio, Lawn & Garden/Farm & Ranch/Agricultural & Construction Machinery/Tractors",item_type_keyword:tractors,
5743764011,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management",item_type_keyword:agriculture-and-grounds-management,
5743765011,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment",item_type_keyword:agricultural-irrigation-equipment,
13400231,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment/Automatic Irrigation Equipment",item_type_keyword:automatic-lawn-watering-equipment,See all available refinements
13400241,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment/Automatic Irrigation Equipment/Accessories",item_type_keyword:automatic-lawn-watering-equipment-accessories,See all available refinements
13400251,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment/Automatic Irrigation Equipment/Drip Irrigation Kits",item_type_keyword:automatic-lawn-drip-irrigation-kits,See all available refinements
3480700011,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment/Automatic Irrigation Equipment/Drippers",item_type_keyword:automatic-lawn-drippers,See all available refinements
3480701011,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment/Automatic Irrigation Equipment/Irrigation System Controllers",item_type_keyword:automatic-lawn-irrigation-controllers,See all available refinements
13400261,"Patio, Lawn & Garden/Farm & Ranch/Agriculture & Grounds Management/Irrigation Equipment/Automatic Irrigation Equipment/Irrigation Tubing",item_type_keyword:automatic-lawn-irrigation-tubing,See all available refinements
