Node ID,Node Path,Query,Refinement Link
3760931,Health & Household,,
10787321,Health & Household/Baby & Child Care,,See all available refinements
23912497011,Health & Household/Baby & Child Care/Dental Care,,
13213837011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care,item_type_keyword:childrens-dental-care-products,
13213845011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Dental Care Kits,item_type_keyword:childrens-dental-care-kits,
23912501011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Electric Toothbrushes & Accessories,,
13213838011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Electric Toothbrushes & Accessories/Electric Toothbrushes,item_type_keyword:childrens-electric-toothbrushes,See all available refinements
23912502011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Electric Toothbrushes & Accessories/Replacement Brush Heads,,See all available refinements
13213839011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Manual Toothbrushes,item_type_keyword:childrens-manual-toothbrushes,See all available refinements
13213844011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Mouthwashes,item_type_keyword:childrens-mouthwashes,See all available refinements
13213840011,Health & Household/Baby & Child Care/Dental Care/Children's Dental Care/Toothpaste,item_type_keyword:childrens-toothpastes,See all available refinements
13213828011,Health & Household/Baby & Child Care/Dental Care/Infant Dental Care,,
7909329011,Health & Household/Baby & Child Care/Dental Care/Infant Dental Care/Toothbrushes,item_type_keyword:baby-toothbrushes,See all available refinements
7909330011,Health & Household/Baby & Child Care/Dental Care/Infant Dental Care/Training Toothpaste,item_type_keyword:baby-training-toothpaste,See all available refinements
16014841,Health & Household/Baby & Child Care/Diaper Care,,See all available refinements
677974011,Health & Household/Baby & Child Care/Diaper Care/Baby Wipes & Refills,( item_type_keyword:baby-wipes OR item_type_keyword:baby-wipe-refills ),See all available refinements
166768011,Health & Household/Baby & Child Care/Diaper Care/Diaper Pails & Refills,,See all available refinements
166772011,Health & Household/Baby & Child Care/Diaper Care/Disposable Diapers,item_type_keyword:disposable-diapers,See all available refinements
6104957011,Health & Household/Baby & Child Care/Diaper Care/Disposable Diapers/Baby Diapers,item_type_keyword:disposable-baby-diapers,See all available refinements
6104958011,Health & Household/Baby & Child Care/Diaper Care/Disposable Diapers/Overnight Diapers,item_type_keyword:disposable-overnight-diapers,See all available refinements
2670040011,Health & Household/Baby & Child Care/Diaper Care/Disposable Diapers/Swim Diapers,item_type_keyword:disposable-swim-diapers,See all available refinements
16025501,Health & Household/Baby & Child Care/Health Care,,See all available refinements
16025601,Health & Household/Baby & Child Care/Health Care/Adhesive Bandages,item_type_keyword:childrens-bandages,See all available refinements
16025581,Health & Household/Baby & Child Care/Health Care/Allergy Medicine,item_type_keyword:childrens-allergy-medications,See all available refinements
166862011,Health & Household/Baby & Child Care/Health Care/Baby Thermometers,item_type_keyword:baby-thermometers,See all available refinements
16225031,Health & Household/Baby & Child Care/Health Care/Children's Vitamins,item_type_keyword:childrens-multivitamins,See all available refinements
16025611,Health & Household/Baby & Child Care/Health Care/Cold & Flu Remedies,item_type_keyword:childrens-cold-and-flu-medications,See all available refinements
10398750011,Health & Household/Baby & Child Care/Health Care/Colic & Gas Relief,item_type_keyword:baby-colic-and-gas-relief,See all available refinements
16025621,Health & Household/Baby & Child Care/Health Care/Pain Relievers,,See all available refinements
16026861,Health & Household/Baby & Child Care/Health Care/Pain Relievers/Aspirin,item_type_keyword:childrens-aspirin,See all available refinements
16026871,Health & Household/Baby & Child Care/Health Care/Pain Relievers/Non-Aspirin,,See all available refinements
16025631,Health & Household/Baby & Child Care/Health Care/Pain Relievers/Non-Aspirin/Acetaminophen,item_type_keyword:childrens-acetaminophen,See all available refinements
16025641,Health & Household/Baby & Child Care/Health Care/Pain Relievers/Non-Aspirin/Ibuprofen,item_type_keyword:childrens-ibuprofen,See all available refinements
16025511,Health & Household/Baby & Child Care/Personal Care,,See all available refinements
16023581,Health & Household/Baby & Child Care/Personal Care/Baby Bath,item_type_keyword:baby-bathing-products,See all available refinements
