Node ID,Node Path,Query,Refinement Link
2619534011,Pet Supplies,,
2975221011,Pet Supplies/Birds,,
23763993011,Pet Supplies/Birds/Bird Diapers,item_type_keyword:pet-diapers AND target_audience_keywords:birds,
23763992011,Pet Supplies/Birds/Birdcage Accessories,item_type_keyword:birdcage-accessories AND target_audience_keywords:birds,
2975228011,Pet Supplies/Birds/Birdcage Accessories/Bedding & Litter,item_type_keyword:bird-cage-litter-and-bedding,
2975223011,Pet Supplies/Birds/Birdcage Accessories/Bird Baths,item_type_keyword:pet-baths AND target_audience_keywords:birds,
2975224011,Pet Supplies/Birds/Birdcage Accessories/Birdcage Covers,item_type_keyword:birdcage-covers AND target_audience_keywords:birds,
20933927011,Pet Supplies/Birds/Birdcage Accessories/Birdcage Liners,item_type_keyword:birdcage-liners AND target_audience_keywords:birds,
2975225011,Pet Supplies/Birds/Birdcage Accessories/Birdcage Stands,item_type_keyword:birdcage-stands AND target_audience_keywords:birds,
2975227011,Pet Supplies/Birds/Birdcage Accessories/Ladders,item_type_keyword:bird-ladders AND target_audience_keywords:birds,See all available refinements
23764005011,Pet Supplies/Birds/Birdcage Accessories/Lighting,item_type_keyword:pet-habitat-lights AND target_audience_keywords:birds,See all available refinements
2975229011,Pet Supplies/Birds/Birdcage Accessories/Nests,item_type_keyword:bird-nests AND target_audience_keywords:birds,
2975230011,Pet Supplies/Birds/Birdcage Accessories/Perches,item_type_keyword:bird-perches AND target_audience_keywords:birds,
2975231011,Pet Supplies/Birds/Birdcage Accessories/Seed Guards & Catchers,item_type_keyword:birdcage-seed-guards-and-catchers AND target_audience_keywords:birds,
2975232011,Pet Supplies/Birds/Birdcage Accessories/Swings,item_type_keyword:bird-swings AND target_audience_keywords:birds,See all available refinements
2975226011,Pet Supplies/Birds/Birdcages,item_type_keyword:birdcages AND target_audience_keywords:birds,See all available refinements
2975233011,Pet Supplies/Birds/Carriers,item_type_keyword:pet-carriers AND target_audience_keywords:birds,See all available refinements
2975234011,Pet Supplies/Birds/Feeding & Watering Supplies,item_type_keyword:pet-feeding-and-watering-supplies AND target_audience_keywords:birds,
2975235011,Pet Supplies/Birds/Feeding & Watering Supplies/Feeders,item_type_keyword:pet-bird-feeders AND target_audience_keywords:birds,See all available refinements
2975236011,Pet Supplies/Birds/Feeding & Watering Supplies/Hand-Feeding Tools,item_type_keyword:pet-hand-feeding-tools AND target_audience_keywords:birds,
2975237011,Pet Supplies/Birds/Feeding & Watering Supplies/Water Bottles,item_type_keyword:pet-water-bottles AND target_audience_keywords:birds,
2975238011,Pet Supplies/Birds/Food,item_type_keyword:pet-food AND target_audience_keywords:birds,See all available refinements
