Node ID,Node Path,Query,Refinement Link
165795011,Toys & Games,,See all available refinements
166057011,Toys & Games/Arts & Crafts,,See all available refinements
166083011,Toys & Games/Arts & Crafts/Adhesives,,See all available refinements
676724011,Toys & Games/Arts & Crafts/Adhesives/Glue,item_type_keyword:childrens-arts-and-crafts-glues,See all available refinements
676726011,Toys & Games/Arts & Crafts/Adhesives/Tape,item_type_keyword:childrens-arts-and-crafts-tapes,See all available refinements
166058011,Toys & Games/Arts & Crafts/Aprons & Smocks,,See all available refinements
2528022011,Toys & Games/Arts & Crafts/Aprons & Smocks/Aprons,item_type_keyword:childrens-artist-aprons,See all available refinements
2528023011,Toys & Games/Arts & Crafts/Aprons & Smocks/Smocks,item_type_keyword:childrens-artist-smocks,See all available refinements
166063011,Toys & Games/Arts & Crafts/Clay & Dough,,See all available refinements
676718011,Toys & Games/Arts & Crafts/Clay & Dough/Clay,item_type_keyword:childrens-art-clays,See all available refinements
676719011,Toys & Games/Arts & Crafts/Clay & Dough/Dough,item_type_keyword:childrens-art-doughs,See all available refinements
166064011,Toys & Games/Arts & Crafts/Craft Kits,item_type_keyword:childrens-arts-and-crafts-kits,See all available refinements
19431268011,Toys & Games/Arts & Crafts/Craft Kits/Drawing,item_type_keyword:childrens-drawing-kits,See all available refinements
2528029011,Toys & Games/Arts & Crafts/Craft Kits/Fashion,item_type_keyword:childrens-fashion-craft-kits,See all available refinements
2488744011,Toys & Games/Arts & Crafts/Craft Kits/Felt Kits,item_type_keyword:childrens-felt-craft-kits,See all available refinements
274305011,Toys & Games/Arts & Crafts/Craft Kits/Flower Pressing,item_type_keyword:childrens-flower-press-kits,See all available refinements
2488224011,Toys & Games/Arts & Crafts/Craft Kits/Jewelry,item_type_keyword:childrens-jewelry-making-kits,See all available refinements
2488757011,Toys & Games/Arts & Crafts/Craft Kits/Mosaics,item_type_keyword:childrens-mosaic-craft-kits,See all available refinements
676721011,Toys & Games/Arts & Crafts/Craft Kits/Paint with Water Kits,item_type_keyword:childrens-paint-with-water-kits,See all available refinements
676720011,Toys & Games/Arts & Crafts/Craft Kits/Paint-By-Number Kits,item_type_keyword:childrens-paint-by-number-kits,See all available refinements
166070011,Toys & Games/Arts & Crafts/Craft Kits/Paper Craft,item_type_keyword:childrens-paper-craft-kits,See all available refinements
166072011,Toys & Games/Arts & Crafts/Craft Kits/Sand Art,item_type_keyword:childrens-sand-art-kits,See all available refinements
166073011,Toys & Games/Arts & Crafts/Craft Kits/Scrapbooking,item_type_keyword:childrens-scrapbooking-kits,See all available refinements
166075011,Toys & Games/Arts & Crafts/Craft Kits/Sewing,item_type_keyword:childrens-sewing-kits,See all available refinements
2528027011,Toys & Games/Arts & Crafts/Craft Kits/Suncatchers,item_type_keyword:childrens-suncatcher-kits,See all available refinements
2528028011,Toys & Games/Arts & Crafts/Craft Kits/Tie-Dye,item_type_keyword:childrens-tie-dye-kits,See all available refinements
166078011,Toys & Games/Arts & Crafts/Craft Kits/Wood,item_type_keyword:childrens-wood-craft-kits,See all available refinements
2488275011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies,,See all available refinements
676716011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Chalk,item_type_keyword:childrens-drawing-chalks,See all available refinements
2522127011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Colored Pencils,item_type_keyword:childrens-colored-pencils,See all available refinements
166088011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Coloring Pens & Markers,item_type_keyword:childrens-coloring-pens-and-markers,See all available refinements
166090011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Crayon Sharpeners,item_type_keyword:crayon-sharpeners,See all available refinements
166079011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Crayons,item_type_keyword:childrens-crayons,See all available refinements
166085011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Paintbrushes,item_type_keyword:childrens-art-paintbrushes,See all available refinements
166084011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Paints,item_type_keyword:childrens-art-paints,See all available refinements
2488748011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Paints/Finger Paint,item_type_keyword:childrens-finger-paints,See all available refinements
2488749011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Paints/Tempera & Poster Paint,item_type_keyword:childrens-tempera-and-poster-paints,See all available refinements
2488755011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Paints/Watercolor Paint,item_type_keyword:childrens-watercolor-paints,See all available refinements
676733011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Pencil Erasers,item_type_keyword:childrens-pencil-erasers,See all available refinements
676732011,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Pencils,item_type_keyword:childrens-drawing-pencils,See all available refinements
1084736,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Students Scissors,item_type_keyword:students-round-edge-scissors,See all available refinements
12898311,Toys & Games/Arts & Crafts/Drawing & Painting Supplies/Watercolor Paper,item_type_keyword:watercolor-paper,See all available refinements
19431267011,Toys & Games/Arts & Crafts/Drawing & Writing Boards,,See all available refinements
676717011,Toys & Games/Arts & Crafts/Drawing & Writing Boards/Chalkboards,item_type_keyword:childrens-chalkboards,See all available refinements
19431269011,Toys & Games/Arts & Crafts/Drawing & Writing Boards/Doodle & Scribbler Boards,item_type_keyword:childrens-doodle-and-scribbler-boards,See all available refinements
676722011,Toys & Games/Arts & Crafts/Drawing & Writing Boards/Dry Erase Boards,item_type_keyword:childrens-dry-erase-boards,See all available refinements
19431270011,Toys & Games/Arts & Crafts/Drawing & Writing Boards/Magnetic & Mechanical Drawing Boards,item_type_keyword:childrens-magnetic-drawing-boards,See all available refinements
166081011,Toys & Games/Arts & Crafts/Easels,item_type_keyword:childrens-easels,See all available refinements
