countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ALGERIA,,0.15,0.76,0.64,0.17,0.6,2.7,1.73,1.37,0.34,0.85,0.24,,,,0.02,,,,,,,,,,
YEMEN REPUBLC,0.44,0.29,0.14,0.36,0.25,0.31,0.01,,0.4,0.09,0.15,0.15,0.0,0.12,0.04,,0.0,0.02,0.03,,0.02,,,,0.03,
CONGO D. REP.,0.11,0.09,0.05,0.01,0.02,0.01,0.01,0.02,0.0,0.0,,,,,,,0.0,,,,,,,,,
ZAMBIA,0.0,0.0,0.0,,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.01,,0.01,,0.01,,,,0.0,,,
ZIMBABWE,0.0,0.0,,0.0,,,,0.01,0.01,,,,,,0.01,,,,,,,,,,,
BELGIUM,,,0.0,,0.01,0.0,,,,0.02,0.02,0.02,0.0,,,0.02,,0.01,,,,,,,,
BURUNDI,,,0.0,,,,0.02,,,,,,,,,,0.0,,,,,,,0.0,,0.03
C AFRI REP,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
EQUTL GUINEA,,,0.0,0.06,0.0,0.0,,0.01,,0.0,0.0,,0.02,,,,,,,,,,,,,
SAMOA,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.01,,,,,,,,,,,,,
HUNGARY,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,
KIRIBATI REP,,,0.0,,,,,,,0.0,,,,,,,,,,0.01,,,,,,
MONGOLIA,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDANTIL,,,0.0,0.01,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
SLOVAK REP,,,,,,,,,0.05,,,,,,,,,,,,,,,,,
SOUTH SUDAN,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
UNSPECIFIED,,,0.01,,,,,0.05,0.0,,,,,0.01,,,,,0.02,,0.0,,,,,
AFGHANISTAN,,,,0.05,0.0,0.0,0.01,,,,,0.01,,0.02,,,,,,,,,,,,0.01
ARMENIA,,,,0.04,0.04,0.26,,,,,,0.05,,,,,,,,,,,,,,
JAMAICA,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
TAIWAN,,,,0.01,0.05,0.05,1.44,5.28,0.59,1.75,1.33,1.26,0.0,0.0,0.01,0.0,0.02,,,,,,,,,
VIETNAM SOC REP,1.24,1.36,1.36,0.94,2.02,1.79,2.7,0.71,0.1,,,,,,,,,,,,,,,,,
VANUATU REP,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
SOUTH AFRICA,0.38,0.53,0.21,0.2,0.42,0.08,0.08,0.18,0.21,0.0,0.02,0.16,0.77,0.04,0.09,0.05,0.37,0.01,0.2,0.68,0.14,0.02,0.01,0.0,0.0,0.02
SPAIN,,0.02,,0.03,0.02,,,,,0.02,,,,,,,0.0,0.06,0.0,,,,,,,
SRI LANKA DSR,2.44,4.12,1.96,2.54,3.17,5.2,3.18,2.2,2.06,1.88,1.8,1.09,1.17,0.8,0.53,0.54,0.48,0.22,0.2,0.3,0.25,0.22,0.17,0.22,0.23,0.28
ST KITT N A,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
ST VINCENT,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
SUDAN,0.02,0.14,0.27,0.23,,0.01,0.03,0.03,0.06,0.01,0.0,,0.0,,,,,0.0,0.06,0.01,,,0.01,,,
SURINAME,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,
SWEDEN,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
VENEZUELA,,0.01,,,0.08,,0.05,,,,,,,,,,,,,,,,,,,
SWITZERLAND,0.0,0.0,0.01,0.01,0.0,0.02,0.0,,,,0.0,0.0,,0.0,,0.0,0.01,0.0,,,,,0.02,,,
THAILAND,2.09,2.45,2.46,3.97,4.85,5.5,5.21,1.69,0.03,,0.0,,,0.03,,,,0.0,,0.0,,0.0,,,,
TOGO,1.49,2.05,1.5,2.33,1.82,1.45,0.8,0.98,0.59,1.15,0.41,0.3,0.76,0.39,0.86,0.96,0.2,0.1,0.0,0.01,,,,,,0.01
TUNISIA,0.07,0.2,0.08,0.19,0.14,0.2,0.21,0.12,0.22,0.06,0.11,0.2,,,,,,,,0.0,,,,,,
TURKEY,5.8,13.14,14.88,16.4,17.6,22.44,4.49,,0.0,0.0,0.09,0.19,,,,,,,0.01,,,,,,,
UGANDA,0.02,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.04,0.02,0.02,0.04,,0.0,,0.0,0.01,,,,,0.0,,
U ARAB EMTS,5.19,9.83,7.4,7.15,13.63,11.9,10.73,14.93,11.06,4.96,2.81,0.86,0.15,0.11,0.13,0.08,0.64,0.19,0.29,0.26,0.11,0.12,0.15,0.25,0.22,0.25
U K,0.02,0.07,0.01,0.0,0.04,0.01,0.01,0.01,0.29,0.02,0.06,0.17,0.22,0.26,0.64,0.13,0.3,0.06,0.04,0.04,0.0,,0.02,,0.03,
U S A,0.6,1.16,1.91,4.48,6.6,4.54,0.86,0.22,0.16,0.09,0.25,0.39,0.28,0.42,0.48,0.35,0.38,0.22,0.58,0.33,0.16,0.17,0.11,0.08,0.1,0.19
TANZANIA REP,0.47,0.39,0.22,0.24,0.26,0.15,0.07,0.21,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.0,,,0.0,,0.08
COSTA RICA,,,,0.01,,,,,,,,,,,,,,,,,,,,,,
CYPRUS,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,
CZECH REPUBLIC,,,,0.01,0.01,,0.01,,,,,,,0.0,,,,,,,,,,,,
KAZAKHSTAN,,,,,,,,0.0,0.04,,,,,,,,0.0,,,,,,,,,
NICARAGUA,,,,,,,,0.01,0.01,0.01,,,,0.01,,,,,,,,,,,,
COLOMBIA,,,,,,,,,,0.08,,,,,,,,,,,,,,,,
KYRGHYZSTAN,,,,,,,,,,0.0,,,,,,,0.01,,,0.0,,,,,,
SLOVENIA,,,,,,,,,,0.05,,,,0.01,,0.02,,,,,,,,,,
BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,
HONDURAS,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,
CROATIA,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
DOMINICA,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
ARGENTINA,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
SWAZILAND,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
TURKMENISTAN,,,,,,,,,,,,,,0.04,,,0.0,,,,,,,,,
CHILE,,,,,,,,,,,,,,,0.0,,,0.07,,,,,,,,
PUERTO RICO,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
ST HELENA,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
KOREA DP RP,,,,,,,,,,,,,,,,,,,,,0.03,,0.04,,,
MARTINIQUE,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
SYRIA,,,,,,,,,,,,0.07,,,,,,0.1,,,,,,,,
TONGA,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
IRELAND,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,
GREECE,,,,,,,0.0,,,,0.0,,,,,0.01,0.0,,0.0,,,,0.01,,,
GRENADA,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
GUAM,,,,0.04,0.08,0.1,0.0,,,,,,,,,,,,,,,,,,,
STATE OF PALEST,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
PAKISTAN IR,,,,0.22,0.22,1.47,0.16,1.47,1.15,0.07,0.13,,,,,,,0.02,0.01,,,,,,,
PERU,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
SAO TOME,,,,0.01,0.04,0.0,,0.01,0.0,0.01,0.01,0.01,,,,,,,,,,,,,,
UZBEKISTAN,,,,0.0,0.1,0.02,0.24,0.14,,,,0.09,,0.01,,,0.0,,,,,,,,,
AUSTRIA,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.01,,
GEORGIA,,,,,0.07,0.5,0.7,0.28,,,,,,,,,,,,,,,,,,
LATVIA,,,,,,,,,,,,,,,,,,,,,,,,,,
LIECHTENSTEIN,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
TRINIDAD,,,,,,0.01,,,,0.0,0.01,,0.0,0.0,,,,,,,,,0.01,,,
UKRAINE,,,,,0.02,,,,,,0.0,,,,,,,,0.03,,,,,,,
BULGARIA,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,
CAMBODIA,,,,,,0.12,0.0,,,,,0.04,,,,,,,,,0.01,,,,,
CAYMAN IS,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PORTUGAL,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
ROMANIA,,,,,,0.19,0.2,0.16,0.24,0.15,,,,,,,,,,,,,,,,
AZERBAIJAN,,,,,,,0.11,0.13,,,,,,,,,,,,,,,,,0.0,
CANARY IS,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
SOLOMON IS,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,
SOMALIA,0.32,0.54,0.82,0.76,0.77,0.32,0.15,0.14,,,0.0,,,,,,,,,,,,,,,
SIERRA LEONE,0.18,0.48,0.96,0.47,0.18,0.6,0.13,0.23,0.2,0.12,0.08,0.26,0.0,0.05,0.02,0.05,0.15,,,,,0.0,,,,
EGYPT A RP,0.56,2.2,1.78,1.8,1.64,0.74,1.36,2.63,1.01,0.07,0.78,0.61,0.0,,0.0,0.0,0.01,0.0,0.0,,0.0,0.0,,,,
EL SALVADOR,0.01,0.03,0.08,0.0,0.15,0.03,0.02,,,,,,,,,,,,,,,,,,,
ETHIOPIA,0.04,0.22,0.09,0.03,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.02,
