countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014
AFGHANISTAN,0.25,0.17,0.04,0.01,0.02,0.08,,0.02,,
ST VINCENT,0.0,,,,0.0,0.0,0.0,,,
SUDAN,0.48,0.44,0.32,0.97,0.76,0.42,0.12,0.11,0.02,0.0
SOUTH SUDAN,0.21,0.93,0.78,,0.06,,,,,
SURINAME,,0.0,0.0,,,,,,,0.01
SWEDEN,,0.0,0.0,0.01,,,0.0,,0.0,0.0
TANZANIA REP,0.01,0.9,0.19,0.45,0.84,0.33,0.01,0.05,0.09,0.07
THAILAND,,0.0,0.01,0.0,,,0.0,,0.04,0.19
TOGO,0.0,0.01,,0.0,,0.0,0.0,,0.03,
TONGA,0.01,0.01,,,,,,,,
TRINIDAD,0.01,0.01,0.0,,0.0,0.01,,0.01,,
TURKEY,0.5,0.14,,0.0,0.01,0.01,0.07,,,
TURKMENISTAN,0.03,0.0,,,,,,,,
UGANDA,0.33,0.66,0.33,0.27,0.16,0.11,0.48,0.04,,
U ARAB EMTS,1.52,1.38,1.23,0.82,0.49,0.33,0.32,0.21,0.21,0.18
U K,0.09,0.09,0.08,0.01,0.01,0.0,0.0,0.0,0.04,0.01
UKRAINE,0.03,0.06,0.05,0.1,0.21,0.24,0.18,,,
U S A,0.14,0.47,1.67,1.43,0.14,0.09,0.32,0.04,0.04,0.04
ST LUCIA,0.0,,,,0.01,,,,,
VANUATU REP,,,0.0,0.0,0.0,0.0,,0.0,,
ST KITT N A,0.0,,,,,,,,,
SPAIN,0.58,0.25,0.01,0.16,0.27,0.2,0.01,,,
PANAMA REPUBLIC,0.04,0.0,0.0,,,0.0,0.0,,0.0,
PAPUA N GNA,0.04,0.0,0.0,0.0,,0.01,0.02,0.06,0.03,0.0
PHILIPPINES,0.0,,0.02,0.0,0.01,0.02,0.0,0.09,0.69,0.68
POLAND,0.18,0.29,0.0,0.0,0.02,,0.01,,,
TIMOR LESTE,,0.01,,,,,,,,
QATAR,0.11,0.07,0.09,0.09,0.09,0.02,0.01,0.0,0.0,
ROMANIA,0.02,,0.25,0.41,0.32,0.22,0.13,0.1,0.21,0.02
RUSSIA,0.44,,,,,,,,,
RWANDA,,0.0,,,0.0,,,,,
SAUDI ARAB,0.92,0.4,0.16,0.56,0.56,0.32,0.45,0.36,0.08,0.13
SENEGAL,0.02,0.07,0.1,0.06,0.01,0.0,0.03,0.0,,
SEYCHELLES,0.05,0.06,0.06,0.07,0.05,0.06,0.06,0.0,0.0,0.03
SIERRA LEONE,0.08,0.06,0.0,0.0,,0.0,,0.01,0.0,
SINGAPORE,0.03,0.06,0.04,0.01,0.01,,0.0,0.0,0.13,0.69
SOLOMON IS,,,,,,,,0.02,,0.0
SOMALIA,0.4,0.38,0.11,0.13,0.04,0.14,0.0,,,
SOUTH AFRICA,0.02,0.15,0.03,0.17,0.03,0.03,0.01,0.0,0.0,0.0
SRI LANKA DSR,2.49,2.53,1.65,2.02,1.85,2.42,1.79,1.35,1.05,0.73
AMERI SAMOA,,,,,,,,0.02,,
VENEZUELA,0.02,,,,,,,,,
YEMEN REPUBLC,0.03,,0.08,0.07,0.04,0.01,0.14,,,0.04
IRAN,,,,0.02,,,0.01,,,
NAMIBIA,,,,0.01,,,,0.04,0.05,
SLOVENIA,,,,0.02,,,,,,
UZBEKISTAN,,,,0.05,,,,,,
CUBA,,,,,0.02,0.03,0.2,,,
MONGOLIA,,,,,,,,,,
PERU,,,,,0.0,,,,,
BARBADOS,,,,,,0.0,,,,
GUATEMALA,,,,,,0.01,,,,
HUNGARY,,,,,,0.03,,,,
KOREA DP RP,,,,,,0.0,,,,
ALGERIA,,,,,,,0.04,,,
ARUBA,,,,,,,,,,
GREECE,,,,,,,0.0,0.0,,
SYRIA,,,,,,,0.01,0.01,,0.02
TAJIKISTAN,,,,,,,0.0,,,
SAMOA,,,,,,,0.03,0.03,,
ECUADOR,,,,0.01,0.03,,,,,
VIETNAM SOC REP,0.04,,0.01,0.0,,,0.0,,0.1,3.33
CAPE VERDE IS,,,,0.02,,,,,,
SWITZERLAND,,,0.0,0.15,,0.0,0.3,0.22,0.61,0.19
CONGO D. REP.,0.55,0.23,0.25,0.03,0.01,0.01,0.0,0.0,,0.0
ZAMBIA,0.02,0.03,0.57,0.04,0.04,0.07,0.05,0.01,0.02,
ZIMBABWE,,,0.0,0.01,0.0,,,,0.0,0.02
BAHAMAS,,,,,,,,,,
BULGARIA,,,0.0,,,,,,,
CHILE,,,0.0,,,,,,,
TAIWAN,,,0.0,,,,,,,
COSTA RICA,,,,,,,0.01,,,
CYPRUS,,,0.0,,,,,,,
ESTONIA,,,0.01,,,,,,,
HAITI,,,0.02,0.0,0.01,,,,,
MOLDOVA,,,0.0,,,,,,,
MONTSERRAT,,,0.0,,,,,,,
NIGER,,,0.01,,,0.0,,,,
PARAGUAY,,,0.02,,,,,,,
PORTUGAL,,,0.02,,,,,0.02,,
PUERTO RICO,,,0.08,,,,,,,
MAYOTTE,,,,,,,,,,
OMAN,0.11,0.11,0.14,0.21,0.21,0.06,0.06,0.03,0.01,0.0
PAKISTAN IR,0.01,,,,0.0,,,,,
NIGERIA,0.1,0.05,0.01,1.2,0.75,0.6,0.1,0.0,0.0,0.0
CHAD,0.03,,0.0,0.02,0.0,,,,,
CHINA P RP,0.0,0.02,,0.02,0.0,,,0.0,,
COMOROS,0.12,0.1,0.08,0.04,0.0,0.03,,,,
CONGO P REP,,0.05,0.0,0.08,0.02,0.06,,0.03,0.44,
CZECH REPUBLIC,,0.02,,0.01,0.0,0.02,0.03,0.03,0.03,0.0
DENMARK,0.37,0.97,0.95,0.35,0.28,0.15,0.22,,0.0,
DJIBOUTI,0.01,0.01,,0.0,0.0,0.0,,,0.0,
DOMINICA,,0.01,0.0,0.02,0.0,,,,,
EGYPT A RP,,0.0,0.01,,0.01,,,,,
EL SALVADOR,0.0,,,,0.0,,0.0,,,
ETHIOPIA,0.32,0.14,0.04,0.0,0.03,0.14,,,0.0,
ERITREA,,,,,,,0.01,,,
EQUTL GUINEA,0.03,0.04,0.01,0.0,0.0,,,0.0,,
FIJI IS,0.01,0.01,0.01,0.02,0.03,0.0,0.03,,0.0,
FRANCE,0.01,0.01,0.03,0.08,0.04,0.06,0.02,0.01,0.1,0.08
GABON,,,,,,0.0,,,,0.01
GAMBIA,0.03,0.02,0.04,0.01,0.0,0.02,0.0,0.0,0.0,0.0
C AFRI REP,0.06,0.03,,0.05,,,,,,
NORWAY,0.01,,,0.0,0.0,0.01,0.01,,,
CAYMAN IS,0.05,0.05,0.03,0.02,0.01,0.0,,,,
CAMEROON,0.06,0.12,0.0,0.0,0.01,0.04,0.0,0.0,,
ANGOLA,0.02,0.01,,0.0,0.0,0.0,,0.62,0.53,
ARMENIA,0.0,,,,,,,,,
AUSTRALIA,1.84,0.98,0.61,0.5,0.45,0.73,0.16,0.01,0.02,0.02
AZERBAIJAN,0.03,,,,,,,,0.0,
BAHARAIN IS,0.1,0.07,0.06,0.04,0.0,0.0,0.01,0.02,0.0,0.0
BANGLADESH PR,0.98,2.94,3.49,4.69,4.84,5.34,3.86,2.25,1.85,0.98
BELIZE,,0.01,,0.01,,,,0.0,,
BELGIUM,,0.0,0.0,,0.02,0.02,0.01,,0.0,0.01
BENIN,0.0,0.01,0.03,,0.0,0.0,,,,
BERMUDA,0.0,,,,,,,,,
BHUTAN,2.33,2.87,2.84,2.07,1.55,1.22,0.77,0.6,0.43,0.03
BOTSWANA,0.0,0.0,,0.04,0.0,0.04,0.0,,,0.0
