SL NO,HS CODE,,DESCRIPTION
,,,
1,0101,,"Live horses, asses, mules and hinnies."
2,,,Horses
3,0101 21 00,,Pure-bred breeding animals
4,0101 29,,Others;
5,0101.29.10,,Horses for polo
6,0101.29.90,,Other
7,0101 30,,Asses
8,0101.30.10,,Pure-bred breeding animals
9,0101.30.20,,Livestock
10,0101.30.90,,Other
11,0101.90,,Other
12,0101.90.30,,Mules and hinnies as livestock
13,0101.90.90,,Other
14,0102,,Live bovine animals.
15,,,Cattle
16,0102 21,,Pure-bred breeding animals
17,0102.21.10,,bulls
18,0102.21.20,,cows
19,0102..29,,Other
20,0102.29.10,,Bulls
21,0102 29 90,,Other including calves
22,,,Buffalo
23,0102.31.00,,Pure-bred breeding animals
24,0102.39.00,,Other
25,0102.90,,Other
26,0102.90.10,,Pure-bred breeding animals
27,0102.90.90,,Other
28,0103,,Live swine.
29,0103.10.00,,pure-bred breeding animals
30,,,Other
31,0103.91.00,,-- Weighing less than 50 kg
32,0103.92.00,,weighing 50 kg or more
33,0104,,Live sheep and goats.
34,0104.10,,Sheep
35,0104.10.10,,sheep including lamb for breeding purpose
36,0104.10.90,,Other
37,0104.20.00,,Goats
38,0105,,"Live poultry, that is to say, fowls of the species Gallus domesticus,
ducks, geese, turkeys and guinea fowls."
39,,,Weighing not more than 185g
40,0105 11 00,,Fowls of the species gallus domesticus
41,0105 12 00,,Turkeys
42,0105 13 00,,Ducks
43,0105 14 00,,Geese
44,0105 15 00,,Guinea fowls
45,,,Other:
,,,
SL NO,HS CODE,,DESCRIPTION
46,0105 94 00,,Fowls of the species Gallus domesticus
47,0105 99 00,,Other
48,0106,,Other live animals.
49,,,Mammals
50,0106 11 00,,primates
51,0106 12 00,,"Whales, dolphins and porpoises (mammals of the order Cetacea);
manatees and dugongs (mammals of the order Sirenia); seals, Sea
lions and walruses (mammals of the sub-order Pinnipedia)"
52,0106 13 00,,Camels and other camelids (Camelidae)
53,0106 14 00,,Rabbits and hares
54,0106 19 00,,Other
55,0106 20 00,,Reptiles (including snakes and turtles)
56,,,Birds
57,0106 31 00,,Birds of prey
58,0106 32 00,,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
59,0106 33 00,,Ostriches emus (Dromaius no vaehollandiae)
60,0106 39 00,,Other
61,,,Insects
62,0106 41,,Bees
63,0106 41 10,,pureline stock
64,0106 41 90,,Other
65,0106 49,,Other
66,0106 49 10,,pureline stock
67,0106 49 90,,Other
68,0106 90 00,,Other
69,0201,,"Meat of bovine animals, fresh and chilled."
70,0201.10.00,,Carcasses and half carcasses
71,0201.20.00,,Other cuts with bone in
72,0201.30.00,,Boneless
73,0202,,"Meat of bovine animals, frozen."
74,0202.10.00,,Carcasses and half carcasses
75,0202.20.00,,Other cuts with bone in
76,0202.30.00,,Boneless
77,0203,,"Meat of swine, fresh, chilled or frozen."
78,,,Fresh or chilled
79,0203.11.00,,Carcasses and half carcasses
80,0203.12.00,,"Hams, shoulders and cuts thereof, with bone in"
81,0203.19.00,,Other
82,,,Frozen:
83,0203.21.00,,Carcasses and half carcasses
84,0203.22.00,,"Hams, shoulders and cuts thereof, with bone in"
85,0203.29.00,,other
86,0204,,"Meat of sheep or goats, fresh, chilled or frozen."
87,0204.10.00,,"Carcasses and half carcasses of lamb, fresh or chilled"
88,,,"Other meat of sheep, fresh or chilled"
89,0204.21.00,,Carcasses and half carcasses
90,0204.22.00,,Other cuts with bone in
91,0204.23.00,,Boneless
92,0204.30.00,,"Carcasses and half-Carcasses of lamb, frozen"
93,,,"Other meet of sheep, frozen :"
94,0204.41.00,,Carcasses and half-Carcasses
95,0204.42.00,,Other cuts with bone in
96,0204.43.00,,Boneless
97,0204.50.00,,Meat of Goats
98,0205,,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
99,0205.00.00,,"Meat of Horses, asses, mules or hinnies, fresh, chiilled or frozen"
100,0206,,"Edible offal of bovine animals, swine, sheep, goats, horses, asses,
mules or hinnies, fresh, chilled or frozen."
101,0206.10,,"of bovine animals, fresh or chilled"
102,0206.10.00,,Of bovine animals fresh or chilled
103,,,"of bovine animals, frozen"
104,0206.21.00,,Tongues
105,0206.22.00,,Livers
106,0206.29.00,,Other
107,0206.30.00,,"Of swine, fresh or chilled"
108,,,"Of swine, frozen :"
109,0206.41.00,,Livers
110,0206.49.00,,Other
111,0206.80,,"Other, fresh or chilled"
112,0206.80.10,,Of sheep or goats
113,0206.80.90,,Other
114,0206.90,,"Other, frozen"
115,0206.90.10,,Of sheep or goats
116,0206.90.90,,Other
117,0207,,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled
or frozen."
118,,,Of fowls of the species Gallus domesticus :
119,0207 11 00,,"Not cut in pieces, fresh or chilled"
120,0207 12 00,,"Not cut in pieces, frozen"
