Unnamed: 0,HSN_code,name_of_commodity,chapter_no,sch,gst
1,0101.00.00,"Horses, asses, mules and hinnies, live",1.0,I,NIL
2,0101.11.00,Purebred breeding animals,1.0,I,NIL
3,0101.19.00,Other horses,1.0,I,NIL
4,0101.20.00,"Asses, mules, and hinnies",1.0,I,NIL
5,0101.21.00,Live Horses,1.0,III,12%
6,0101.29.00,Live Horses,1.0,III,12%
7,0102.00.00,"Bovine animals, live",1.0,I,NIL
8,0102.10.00,Purebred breeding animals,1.0,I,NIL
9,0103.00.00,"Swine, live",1.0,I,NIL
10,0103.10.00,Purebred breeding animals,1.0,I,NIL
11,0103.91.00,Weighing less than 50 (11023 lb) each,1.0,I,NIL
12,0103.92.00,Weighing 50 (11023 lb) or more each,1.0,I,NIL
13,0104.00.00,"Sheep and goats, live",1.0,I,NIL
14,0104.10.00,Sheep,1.0,I,NIL
15,0104.20.00,Goats,1.0,I,NIL
16,0105.00.00,"Chickens, ducks, geese, turkeys, and guineas,
live",1.0,I,NIL
17,0105.11.00,"Chickens, breeding stock, whether or not
purebred: layer-type (egg-type) , broiler-type
(meat-type)",1.0,I,NIL
18,0105.19.00,"Turkeys, ducks, geese and guineas",1.0,I,NIL
19,0105.91.00,Chickens,1.0,I,NIL
20,0105.99.00,"Chickens, ducks, geese, turkeys, and guineas,
live: Other",1.0,I,NIL
21,0106.00.00,"Animals, live, nesoi nesoi - not elsewhere
specified of indicated.",1.0,I,NIL
22,0106.00.00,Rabbits and hares,1.0,I,NIL
23,0201.00.00,"Meat of bovine animals, fresh or chilled",2.0,I,NIL
24,0201.00.00,"Meat of bovine animals,frozen",2.0,III,12%
25,0201.10.00,"Carcasses and half-carcasses, veal, other -
chilled or fresh",2.0,I,NIL
26,0201.10.00,"Carcasses and half-carcasses, veal, other -
frozen",2.0,III,12%
27,0201.20.00,"Other cuts with bone in: processed & other -
chilled or fresh",2.0,I,NIL
28,0201.20.00,"Other cuts with bone in: processed & other -
frozen",2.0,III,12%
29,0201.30.00,Boneless: processed & other chilled or fresh,2.0,I,NIL
30,0201.30.00,Boneless: processed & other forzen,2.0,III,12%
31,0202.00.00,"Meat of bovine animals, frozen",2.0,III,12%
32,0202.10.00,"Carcasses and half-carcasses, veal & other",2.0,III,12%
33,,,,,
34,0202.20.00,Meat of bovine animals with bone in (frozen),2.0,III,12%
35,0202.30.00,"Boneless, processed frozen",2.0,III,12%
36,0203.00.00,"Meat of swine (pork), fresh, chilled",2.0,I,NIL
37,0203.00.00,"Meat of swine (pork), frozen",2.0,III,12%
38,0203.11.00,Carcasses and half-carcasses - fresh or chilled,2.0,I,NIL
39,0203.12.00,"Hams, shoulders and cuts thereof, with bone
in processed - fresh or chilled",2.0,I,NIL
40,0203.19.00,"Other, proces & other - fresh or chilled",2.0,I,NIL
41,0203.21.00,Carcasses and half-carcasses - frozen,2.0,III,12%
42,0203.22.00,"Hams, shoulders and cuts thereof, with bone
in processed - frozen",2.0,III,12%
43,0203.29.00,"Other, processed & other",2.0,III,12%
44,0204.00.00,"Meat of sheep or goats, fresh, chilled or frozen",2.0,III,12%
45,0204.10.00,"Carcasses and half-carcasses of lamb, fresh or
chilled other meat of sheep, fresh or chilled",2.0,I,NIL
46,0204.21.00,Carcasses and half-carcasses fresh or chilled,2.0,I,NIL
47,0204.22.00,Other cuts with bone in - fresh or chilled,2.0,I,NIL
48,0204.23.00,Boneless - fresh or chilled,2.0,I,NIL
49,0204.30.00,"Carcasses and half-carcasses of lamb, frozen
other meat of sheep, frozen",2.0,III,12%
50,0204.41.00,Carcasses and half-carcasses - frozen,2.0,III,12%
51,0204.42.00,Other cuts with bone in - frozen,2.0,III,12%
52,0204.43.00,Boneless - frozen,2.0,III,12%
53,0204.50.00,Meat of goats - frozen,2.0,III,12%
54,0205.00.00,"Meat of horses, asses, mules, hinnies - fresh
and chilled",2.0,I,NIL
55,0205.00.00,"Meat of horses, asses, mules, hinnies - frozen",2.0,III,12%
56,0206.00.00,"Edible offal, bovine animals, swine, sheep,
goat, horses, asses, mules or hinnies - fresh
and chilled",2.0,I,NIL
57,0206.00.00,"Edible offal, bovine animals, swine, sheep,
goat, horses, asses, mules or hinnies - frozen",2.0,III,12%
58,0206.10.00,"Ediblke offal of bovine animals, fresh or
chilled of bovine animals - fresh and chilled",2.0,I,NIL
59,0206.21.00,Tongues - fresh or chilled,2.0,I,NIL
60,0206.22.00,Livers - fresh and chilled,2.0,I,NIL
61,0206.29.00,"Other edible offal of bovine animals fresh or
chilled",2.0,I,NIL
62,,,,,
