Categories,HSN
Pet Supplies,95030090
Dog Supplies,95030090
Dog Food,23091000
Dog Treats,23099020
Dog Apparel & Accessories,61171090
Dog Beds & Furniture,94038900
Pet Cameras & Monitors,85258019
Dog Carriers & Travel Products,42021290
"Dog Collars, Harnesses & Leashes",42021290
"Dog Crates, Houses & Pens",94038900
"Dog Doors, Gates & Ramps",94038900
Dog Feeding & Watering Supplies,39241000
Dog Flea & Tick Control,38089990
Dog Grooming Supplies,33061090
Dog Health Supplies,30049099
Dog Housebreaking Supplies,39241000
Dog Memorials & Funerary,94038900
Dog Toys,95030090
Dog Training & Behavior Aids,95030090
Cat Supplies,95030090
Cat Apparel,611710
Cat Beds & Furniture,940330
Cat Carriers & Strollers,871690
Cat Doors & Enclosures,73089090
"Cat Collars, Harnesses & Leashes",42010000
Cat Feeding & Watering Supplies,39241000
Cat Flea & Tick Control,38089990
Cat Food,23091000
Cat Grooming Supplies,33049990
Cat Health Supplies,30049099
Cat Litter & Housebreaking,38249099
Cat Memorials & Funerary,94039000
Cat Repellents & Training Aids,38089990
Cat Toys,95030090
Cat Treats,23099090
Fish & Aquatic Pets,05089090
Aquarium Cleaners,84242000
Aquarium Décor,44209090
Aquarium Heaters & Chillers,85162990
Aquarium Hoods,94039000
Aquarium Hydrometers,90258090
Aquarium Lights,94054090
Aquarium Pumps & Filters,84136090
Aquarium Stands,94032090
Aquarium Substrate,25081090
Aquarium Test Kits,90278090
Aquarium Thermometers,90251990
Aquarium Water Treatments,34021100
Aquariums & Fish Bowls,39249090
Automatic Fish Feeders,84223090
Fish Breeding Tanks,39249090
Fish Food,23099020
Fish Medication & Health Supplies,34051090
Pet Bird Supplies,39269099
Bird Food,23099020
Bird Treats,23099020
Bird Carriers,42021290
Bird Feeding & Watering Supplies,39269090
Bird Health Supplies,34051090
Bird Toys,95030090
Bird Diapers,90189020
Birdcage Accessories,94051000
Birdcages,94051000
Horse Supplies,01012100
Horse Food,23091000
Horse Treats,23091000
Horse Blankets & Sheets,63079090
Horse Boots & Wraps,64069990
Farrier Supplies,82054090
Horse Grooming & Bathing Supplies,33049990
Horse Health Supplies,30049099
Horse Stable Supplies,39249090
Horse Toys,95030090
Reptiles & Amphibian Supplies,05079000
Reptile & Amphibian Food,23091000
Reptile & Amphibian Habitat Décor,44209090
Reptile & Amphibian Habitat Lighting,94054090
Reptile & Amphibian Health Supplies,30049099
"Terrarium Bedding, Sand & Substrate",68051090
Terrarium Bowls,70139900
Terrarium Covers,94054090
Terrarium Heat Lamps & Mats,85166090
Terrarium Hygrometers,90251910
Terrarium Thermometers,90251910
Reptile Terrariums,94039090
Reptile & Amphibian Apparel,61171090
Reptile & Amphibian Carriers,42021290
Reptile & Amphibian Handling Tools,82054090
Reptile & Amphibian Harnesses,61171090
Reptile Shipping Supplies,48191000
Small Animal Supplies,44209090
Small Animal Carriers,42021290
"Small Animal Collars, Leashes & Harnesses",42021290
Small Animal Exercise Wheels,94039090
Small Animal Feeding & Watering Supplies,39241000
Small Animal Food,23099020
Small Animal Grooming Supplies,33049990
Small Animal Health Supplies,30049099
Small Animal Houses & Habitats,94039090
Small Animal Odor & Stain Removers,34021990
Small Animal Toys,95030090
