Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),Asos Plc,billion USD (US$),Statista Company DB,2.478,3.229,3.491,4.187,5.437,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),Dr. Martens Plc,billion USD (US$),Statista Company DB,,,,0.992,,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),Jd Sports Fashion Plc,billion USD (US$),Statista Company DB,4.075,6.308,7.818,7.949,,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),Kohls,billion USD (US$),Statista Company DB,19.1,20.23,19.97,15.96,19.43,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Algeria,Footwear,6403,Top Company Revenues (Worldwide & Consolidated),"Nordstrom, Inc.",billion USD (US$),Statista Company DB,15.48,15.86,15.52,10.72,14.79,,,,,,
Algeria,Footwear,6403,Revenue,Total,million USD (US$),Statista,16.89,20.33,23.69,31.62,53.7,39.69,41.16,43.08,45.56,46.51,47.5
Algeria,Footwear,6403,Revenue,Leather Footwear,million USD (US$),Statista,7.355,8.543,9.855,13.32,20.07,16.6,17.6,18.56,19.82,20.38,20.94
Algeria,Footwear,6403,Revenue,Luxury Footwear,million USD (US$),Statista,0.305,0.34,0.394,0.528,0.612,0.641,0.761,0.861,0.98,1.061,1.149
Algeria,Footwear,6403,Revenue,Other Footwear,million USD (US$),Statista,0.529,0.641,0.751,0.987,1.699,1.234,1.273,1.33,1.403,1.423,1.446
Algeria,Footwear,6403,Revenue,Sneakers,million USD (US$),Statista,2.821,3.656,4.484,5.339,10.2,6.669,6.826,7.185,7.638,7.719,7.836
Algeria,Footwear,6403,Revenue,Textile & Other Footwear,million USD (US$),Statista,5.885,7.146,8.204,11.44,21.12,14.55,14.71,15.15,15.72,15.93,16.13
