Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Angola,Consumer Electronics,8528,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Angola,Consumer Electronics,8528,Revenue,Total,million USD (US$),Statista,48.74,66.88,89.28,148.3,201.9,212.2,328.5,427.8,542.2,599.8,670.4
Angola,Consumer Electronics,8528,Revenue,Computing,million USD (US$),Statista,7.989,11.13,15.14,23.46,32.55,33.42,51.69,66.45,84.25,93.1,103.9
Angola,Consumer Electronics,8528,Revenue,Other Consumer Electronics,million USD (US$),Statista,17.69,24.28,32.32,53.18,72.02,75.65,117.1,152.7,193.5,214.1,239.3
Angola,Consumer Electronics,8528,Revenue,Telephony,million USD (US$),Statista,13.69,18.53,24.14,41.75,54.7,59.68,93.05,123.8,157.6,174.5,195.3
Angola,Consumer Electronics,8528,Revenue,"TV, Radio & Multimedia",million USD (US$),Statista,9.185,12.7,17.35,29.35,42.07,43.07,66.19,84.38,106.3,117.7,131.4
Angola,Consumer Electronics,8528,Revenue,TV Peripheral Devices,million USD (US$),Statista,0.184,0.247,0.327,0.532,0.524,0.416,0.484,0.464,0.434,0.444,0.444
Angola,Consumer Electronics,8528,Revenue Change,Total,percent,Statista,,37.218,33.493,66.107,36.143,5.102,54.807,30.228,26.741,10.623,11.771
Angola,Consumer Electronics,8528,Revenue Change,Computing,percent,Statista,,39.317,36.029,54.954,38.747,2.673,54.668,28.555,26.787,10.504,11.6
Angola,Consumer Electronics,8528,Revenue Change,Other Consumer Electronics,percent,Statista,,37.253,33.114,64.542,35.427,5.04,54.792,30.401,26.719,10.646,11.77
Angola,Consumer Electronics,8528,Revenue Change,Telephony,percent,Statista,,35.354,30.275,72.949,31.018,9.104,55.915,33.047,27.302,10.723,11.92
Angola,Consumer Electronics,8528,Revenue Change,"TV, Radio & Multimedia",percent,Statista,,38.269,36.614,69.164,43.339,2.377,53.68,27.481,25.978,10.724,11.64
Angola,Consumer Electronics,8528,Revenue Change,TV Peripheral Devices,percent,Statista,,34.292,31.96,62.799,-1.373,-20.614,16.238,-4.092,-6.572,2.283,0.158
Angola,Consumer Electronics,8528,Average Revenue per User,Total,USD (US$),Statista,23.49,24.14,25.27,33.98,39.13,35.98,49.72,58.74,67.89,69.12,71.63
Angola,Consumer Electronics,8528,Average Revenue per User,Computing,USD (US$),Statista,5.501,5.74,6.122,7.68,9.012,8.093,11.17,13.03,15.07,15.33,15.87
Angola,Consumer Electronics,8528,Average Revenue per User,Other Consumer Electronics,USD (US$),Statista,10.66,10.95,11.44,15.23,17.45,16.03,22.15,26.2,30.3,30.84,31.96
Angola,Consumer Electronics,8528,Average Revenue per User,Telephony,USD (US$),Statista,8.251,8.36,8.542,11.96,13.25,12.65,17.6,21.26,24.68,25.14,26.09
Angola,Consumer Electronics,8528,Average Revenue per User,"TV, Radio & Multimedia",USD (US$),Statista,11.07,11.46,12.28,16.82,20.39,18.25,25.04,28.97,33.27,33.9,35.1
Angola,Consumer Electronics,8528,Average Revenue per User,TV Peripheral Devices,USD (US$),Statista,0.296,0.298,0.308,0.406,0.339,0.235,0.244,0.212,0.181,0.17,0.158
Angola,Consumer Electronics,8528,Comparable Estimates - Consumer Electronics (Worldwide),*Statista,trillion USD (US$),,0.503,0.508,0.522,0.63,0.695,0.548,0.724,0.768,0.839,0.872,0.913
Angola,Consumer Electronics,8528,Comparable Estimates - Consumer Electronics (Worldwide),The BRC,trillion USD (US$),,,,,,0.473,0.539,,,,0.825,
Angola,Consumer Electronics,8528,Online & Offline Split,Offline,percent,Statista,98.729,98.431,98.107,97.161,96.521,95.656,94.895,93.941,92.929,,
Angola,Consumer Electronics,8528,Online & Offline Split,Online,percent,Statista,1.271,1.569,1.893,2.839,3.479,4.344,5.105,6.059,7.071,,
Angola,Consumer Electronics,8528,Mobile/Desktop Split,Desktop,percent,Statista,52.435,52.402,52.362,52.269,52.223,52.165,52.119,52.075,52.04,,
Angola,Consumer Electronics,8528,Mobile/Desktop Split,Mobile,percent,Statista,47.565,47.598,47.638,47.731,47.777,47.835,47.881,47.925,47.96,,
Angola,Consumer Electronics,8528,Users,Total,million users,Statista,2.075,2.77,3.533,4.364,5.159,5.899,6.607,7.282,7.986,8.678,9.359
Angola,Consumer Electronics,8528,Users,Computing,million users,Statista,1.452,1.939,2.473,3.055,3.611,4.129,4.625,5.098,5.59,6.075,6.551
Angola,Consumer Electronics,8528,Users,Other Consumer Electronics,million users,Statista,1.66,2.216,2.826,3.491,4.127,4.719,5.286,5.826,6.389,6.942,7.487
Angola,Consumer Electronics,8528,Users,Telephony,million users,Statista,1.66,2.216,2.826,3.491,4.127,4.719,5.286,5.826,6.389,6.942,7.487
Angola,Consumer Electronics,8528,Users,"TV, Radio & Multimedia",million users,Statista,0.83,1.108,1.413,1.745,2.064,2.36,2.643,2.913,3.194,3.471,3.743
Angola,Consumer Electronics,8528,Users,TV Peripheral Devices,million users,Statista,0.622,0.831,1.06,1.309,1.548,1.77,1.982,2.185,2.396,2.603,2.808
Angola,Consumer Electronics,8528,Penetration Rate,Computing,percent,Statista,4.871,6.294,7.771,9.294,10.642,11.789,12.795,13.667,14.528,15.306,16.006
Angola,Consumer Electronics,8528,Penetration Rate,Consumer Electronics,percent,Statista,6.958,8.992,11.101,13.277,15.203,16.841,18.279,19.524,20.754,21.866,22.865
Angola,Consumer Electronics,8528,Penetration Rate,Other Consumer Electronics,percent,Statista,5.566,7.193,8.881,10.622,12.162,13.473,14.623,15.619,16.603,17.493,18.292
Angola,Consumer Electronics,8528,Penetration Rate,Telephony,percent,Statista,5.566,7.193,8.881,10.622,12.162,13.473,14.623,15.619,16.603,17.493,18.292
