Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Argentina,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Argentina,Household Appliances,8516,Revenue,Total,million USD (US$),Statista,236.0,304.5,380,507.3,648.6,665.5,845,999.3,"1,182","1,292","1,418"
Argentina,Household Appliances,8516,Revenue,Major Appliances,million USD (US$),Statista,123.1,158.9,198.3,264.6,338.2,346.9,440.2,520.3,615,672.4,737.8
Argentina,Household Appliances,8516,Revenue,Other Household Appliances,million USD (US$),Statista,49.12,63.38,79.1,105.6,135,138.5,175.9,208,246.1,269.1,295.3
Argentina,Household Appliances,8516,Revenue,Small Appliances,million USD (US$),Statista,63.7,82.2,102.6,137.1,175.3,180,228.8,271,321.1,351,385.3
Argentina,Household Appliances,8516,Revenue Change,Total,percent,Statista,,29.025,24.795,33.5,27.853,2.606,26.972,18.26,18.283,9.306,9.752
Argentina,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,29.082,24.795,33.434,27.816,2.572,26.895,18.196,18.201,9.333,9.726
Argentina,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,29.031,24.803,33.502,27.841,2.593,27.004,18.249,18.317,9.346,9.736
