Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Armenia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Armenia,Household Appliances,8516,Revenue,Total,million USD (US$),Statista,33.92,38.91,45.92,52.63,58.6,69.9,90.37,107,124,135.2,147.8
Armenia,Household Appliances,8516,Revenue,Major Appliances,million USD (US$),Statista,17.23,19.75,23.3,26.69,29.62,34.6,45.11,53.96,62.49,68.13,74.49
Armenia,Household Appliances,8516,Revenue,Other Household Appliances,million USD (US$),Statista,7.095,8.14,9.606,11.01,12.26,14.62,18.91,22.38,25.94,28.28,30.92
Armenia,Household Appliances,8516,Revenue,Small Appliances,million USD (US$),Statista,9.595,11.02,13.01,14.93,16.71,20.68,26.36,30.64,35.56,38.78,42.38
Armenia,Household Appliances,8516,Revenue Change,Total,percent,Statista,,14.711,18.016,14.612,11.343,19.283,29.285,18.402,15.888,9.032,9.32
Armenia,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,14.626,17.975,14.549,10.978,16.813,30.376,19.619,15.808,9.025,9.335
Armenia,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,14.729,18.01,14.616,11.353,19.25,29.343,18.35,15.907,9.021,9.335
