Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Australia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Australia,Household Appliances,8516,Revenue,Total,billion USD (US$),Statista,0.553,0.613,0.676,0.826,0.991,1.041,1.345,1.61,1.915,2.071,2.261
Australia,Household Appliances,8516,Revenue,Major Appliances,billion USD (US$),Statista,0.262,0.291,0.32,0.391,0.469,0.493,0.636,0.761,0.905,0.977,1.064
Australia,Household Appliances,8516,Revenue,Other Household Appliances,billion USD (US$),Statista,0.108,0.12,0.133,0.162,0.194,0.204,0.264,0.316,0.375,0.407,0.445
Australia,Household Appliances,8516,Revenue,Small Appliances,billion USD (US$),Statista,0.182,0.202,0.223,0.273,0.327,0.344,0.445,0.533,0.635,0.688,0.752
Australia,Household Appliances,8516,Revenue Change,Total,percent,Statista,,10.808,10.259,22.234,19.908,5.067,29.203,19.703,18.944,8.146,9.174
Australia,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,10.942,10.103,22.035,20.026,5.007,29.14,19.563,18.886,7.959,8.949
Australia,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,10.783,10.233,22.264,19.938,5.044,29.25,19.636,18.948,8.364,9.292
Australia,Household Appliances,8516,Revenue Change,Small Appliances,percent,Statista,,10.63,10.5,22.501,19.722,5.196,29.343,19.744,19.077,8.365,9.318
Australia,Household Appliances,8516,Average Revenue per User,Total,USD (US$),Statista,129.6,122.8,115.9,125.8,135.3,128.8,152.4,168.5,186.1,188,192.6
Australia,Household Appliances,8516,Average Revenue per User,Major Appliances,USD (US$),Statista,153.6,145.7,137.3,148.8,160.2,152.5,180.2,199.1,219.8,221.6,226.7
