Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,43.2,51.44,62.33,84.93,111.6,111.2,153.3,184.6,214.3,235.4,258.6
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,8.816,10.78,13.35,19.17,25.18,23.82,30.68,35.06,40.02,43.78,47.79
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,5.82,6.197,6.858,7.769,10.83,12.6,18.01,20.64,22.08,24.51,26.78
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,4.44,4.802,5.14,5.939,8.038,10.67,21.84,34.29,44.06,49.04,55.31
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,24.13,29.67,36.98,52.06,67.51,64.1,82.76,94.65,108.1,118.1,128.8
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,19.074,21.17,36.259,31.402,-0.358,37.86,20.417,16.089,9.846,9.856
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,22.278,23.84,43.596,31.351,-5.401,28.799,14.276,14.147,9.395,9.159
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,6.478,10.666,13.284,39.4,16.343,42.937,14.603,6.977,11.005,9.262
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,8.153,7.039,15.545,35.343,32.744,104.686,57.005,28.492,11.303,12.785
Belarus,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,22.959,24.638,40.779,29.677,-5.051,29.111,14.367,14.21,9.251,9.06
Belarus,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,40.23,40.55,43.2,52.27,63.03,58.58,76.11,87.87,97.97,103.9,110.8
Belarus,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,11.73,12.14,13.22,16.85,20.32,17.93,21.76,23.83,26.14,27.6,29.23
Belarus,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,8.468,7.633,7.427,7.472,9.558,10.37,13.97,15.35,15.77,16.89,17.91
Belarus,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,10.88,9.961,9.374,9.62,11.95,14.8,28.54,42.95,53,56.95,62.33
Belarus,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,36.24,37.72,41.34,51.68,61.53,54.47,66.28,72.65,79.74,84.03,88.9
Belarus,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Belarus,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Belarus,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,96.385,95.819,95.083,93.199,91.573,90.43,88.823,87.032,85.444,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,3.615,4.181,4.917,6.801,8.427,9.57,11.177,12.968,14.556,,
Belarus,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,60.282,58.469,56.948,55.734,54.915,54.362,53.924,53.645,53.373,,
