Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belgium,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,8.3,,,,,,
Belgium,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,27.547,,,,,,
Belgium,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,19.623,,,,,,
Belgium,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,27.547,,,,,,
Belgium,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,16.981,,,,,,
Belgium,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,63.396,,,,,,
Belgium,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,36.604,,,,,,
Belgium,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,40.094,,,,,,
Belgium,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,25.472,,,,,,
Belgium,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.434,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Belgium,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Belgium,Personal Care,3304,Revenue,Total,million USD (US$),Statista,423.9,445.7,472.2,533.8,574.6,584.6,755.2,895.7,"1,061","1,134","1,229"
Belgium,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,59.54,62.48,66.08,72.79,77.94,79.43,102.8,122,144.7,154.5,167.2
Belgium,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,59.21,62.15,65.79,78.99,85.86,84.31,105.1,120.2,137.4,146.6,157.7
Belgium,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,41.03,43.06,45.54,50.38,53.98,55.08,71.35,84.81,100.7,107.5,116.4
Belgium,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,30.61,32.12,33.97,37.59,40.27,41.4,54.01,64.67,77.36,82.67,89.67
Belgium,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,142.2,149.5,158.4,179,192.7,196.1,253.3,300.4,356,380.5,412.1
Belgium,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,91.3,96.42,102.4,115,123.8,128.3,168.7,203.5,245.2,262.7,285.6
Belgium,Personal Care,3304,Revenue Change,Total,percent,Statista,,5.143,5.946,13.045,7.643,1.74,29.182,18.604,18.455,6.88,8.377
Belgium,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,4.938,5.762,10.154,7.075,1.912,29.422,18.677,18.607,6.773,8.22
Belgium,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,4.965,5.857,20.064,8.697,-1.805,24.659,14.367,14.309,6.696,7.572
Belgium,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,4.948,5.759,10.628,7.146,2.038,29.539,18.865,18.736,6.753,8.279
Belgium,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,4.933,5.76,10.656,7.13,2.806,30.459,19.737,19.623,6.864,8.467
Belgium,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,5.134,5.953,13.005,7.654,1.764,29.169,18.595,18.509,6.882,8.305
Belgium,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,5.608,6.202,12.305,7.652,3.635,31.489,20.628,20.491,7.137,8.717
Belgium,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,235.7,226.9,218.1,224.2,223.5,213.1,259.9,292.9,330.5,337.4,350.4
Belgium,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,48.69,46.77,44.88,44.97,44.59,42.58,52.02,58.68,66.27,67.56,70.11
