Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,3.378,4.084,4.844,5.911,7.494,8.261,10.49,12.17,13.98,15.27,16.67
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,0.804,0.975,1.158,1.422,1.856,1.988,2.413,2.683,3.027,3.3,3.586
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,0.026,0.03,0.033,0.03,0.055,0.098,0.177,0.248,0.298,0.335,0.376
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,0.331,0.351,0.374,0.435,0.572,0.813,1.392,2.007,2.493,2.772,3.107
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,2.217,2.728,3.278,4.023,5.011,5.362,6.504,7.233,8.159,8.861,9.603
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,20.9,18.609,22.027,26.781,10.235,26.982,16.015,14.873,9.227,9.168
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,21.189,18.818,22.798,30.52,7.112,21.378,11.189,12.821,9.019,8.667
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,14.595,9.585,-7.96,81.355,77.733,80.881,39.932,20.073,12.42,12.272
Belize,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,6.259,6.488,16.382,31.32,42.175,71.197,44.181,24.215,11.191,12.085
