Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Bhutan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Bhutan,Personal Care,3304,Revenue,Total,million USD (US$),Statista,3.251,4.827,6.252,8.93,10.46,10.97,13.1,14.85,17.01,18.55,20.21
Bhutan,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,0.574,0.847,1.09,1.498,1.68,1.784,2.151,2.455,2.828,3.087,3.369
Bhutan,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,0.195,0.289,0.382,0.749,0.817,0.75,0.794,0.814,0.842,0.864,0.88
Bhutan,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,0.511,0.763,0.992,1.382,1.606,1.711,2.072,2.376,2.751,3.01,3.292
Bhutan,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,0.208,0.312,0.407,0.571,0.671,0.719,0.875,1.008,1.173,1.284,1.407
Bhutan,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,1.012,1.505,1.948,2.702,3.098,3.299,3.991,4.572,5.286,5.779,6.316
Bhutan,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,0.753,1.111,1.433,2.028,2.585,2.704,3.215,3.626,4.128,4.527,4.944
Bhutan,Personal Care,3304,Revenue Change,Total,percent,Statista,,48.477,29.521,42.834,17.133,4.876,19.417,13.359,14.545,9.053,8.949
Bhutan,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,47.759,28.629,37.431,12.15,6.19,20.572,14.133,15.193,9.158,9.135
Bhutan,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,48.382,32.191,96.02,9.164,-8.284,6.004,2.492,3.451,2.505,1.899
Bhutan,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,49.432,29.974,39.357,16.208,6.538,21.099,14.672,15.783,9.415,9.369
