Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Bolivia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Bolivia,Personal Care,3304,Revenue,Total,million USD (US$),Statista,65.37,77.6,90.57,111.1,131.9,137.4,163.5,182.4,206.9,223.4,241.4
Bolivia,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,11.19,13.33,15.55,19.03,21.44,22.53,27.03,30.3,34.56,37.28,40.32
Bolivia,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,5.253,6.012,6.993,7.961,9.858,9.567,10.55,11.09,11.76,12.3,12.82
Bolivia,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,10.03,12.08,14.25,17.67,20.61,21.74,26.18,29.49,33.8,36.58,39.67
Bolivia,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,4.316,5.225,6.188,7.701,9.071,9.582,11.56,13.04,14.97,16.22,17.6
Bolivia,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,18.74,22.49,26.42,32.59,37.54,39.53,47.55,53.47,61.17,66.13,71.65
Bolivia,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,15.85,18.46,21.17,26.15,33.34,34.44,40.68,45,50.66,54.85,59.31
Bolivia,Personal Care,3304,Revenue Change,Total,percent,Statista,,18.709,16.714,22.668,18.722,4.17,18.996,11.56,13.432,7.975,8.057
Bolivia,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,19.124,16.654,22.379,12.664,5.084,19.973,12.098,14.059,7.87,8.155
Bolivia,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,14.449,16.317,13.842,23.829,-2.952,10.275,5.118,6.041,4.592,4.228
Bolivia,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,20.439,17.964,24,16.638,5.483,20.423,12.643,14.615,8.225,8.447
Bolivia,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,21.061,18.431,24.451,17.79,5.633,20.643,12.803,14.801,8.35,8.508
Bolivia,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,20.011,17.474,23.354,15.189,5.301,20.288,12.45,14.401,8.109,8.347
Bolivia,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,16.467,14.68,23.524,27.495,3.299,18.118,10.619,12.578,8.271,8.131
Bolivia,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,141.8,142.4,143.7,151.4,158.2,146.7,158.1,162.2,170.3,170.6,172.2
Bolivia,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,35.68,35.97,36.29,38.14,37.83,35.38,38.42,39.63,41.82,41.88,42.3
Bolivia,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,22.79,22.06,22.19,21.71,23.66,20.43,20.4,19.72,19.35,18.8,18.29
Bolivia,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,41.83,42.63,43.48,46.32,47.56,44.64,48.67,50.43,53.48,53.74,54.43
Bolivia,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,19.11,19.56,20.04,21.42,22.21,20.88,22.8,23.66,25.14,25.28,25.63
Bolivia,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,90.34,91.71,93.17,98.74,100.1,93.81,102.1,105.7,111.9,112.3,113.6
Bolivia,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,78.14,77,76.33,81,90.9,83.59,89.38,90.95,94.74,95.22,96.17
Bolivia,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bolivia,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bolivia,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bolivia,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,87.218,85.427,83.659,78.487,76.363,75.517,74.261,72.502,70.184,,
Bolivia,Personal Care,3304,Online & Offline Split,Online,percent,Statista,12.782,14.573,16.341,21.513,23.637,24.483,25.739,27.498,29.816,,
Bolivia,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,56.485,54.862,53.775,52.957,52.383,51.992,51.734,51.568,51.465,,
Bolivia,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,43.515,45.138,46.225,47.043,47.617,48.008,48.266,48.432,48.535,,
Bolivia,Personal Care,3304,Users,Total,million users,Statista,0.461,0.545,0.63,0.734,0.833,0.937,1.034,1.125,1.215,1.309,1.402
Bolivia,Personal Care,3304,Users,Body Care,million users,Statista,0.313,0.371,0.429,0.499,0.567,0.637,0.703,0.765,0.826,0.89,0.953
Bolivia,Personal Care,3304,Users,Eye Care,million users,Statista,0.23,0.272,0.315,0.367,0.417,0.468,0.517,0.562,0.608,0.655,0.701
Bolivia,Personal Care,3304,Users,Hair Care,million users,Statista,0.24,0.283,0.328,0.381,0.433,0.487,0.538,0.585,0.632,0.681,0.729
Bolivia,Personal Care,3304,Users,Oral Care,million users,Statista,0.226,0.267,0.309,0.359,0.408,0.459,0.507,0.551,0.595,0.641,0.687
Bolivia,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.207,0.245,0.284,0.33,0.375,0.421,0.465,0.506,0.547,0.589,0.631
Bolivia,Personal Care,3304,Users,Skin Care,million users,Statista,0.203,0.24,0.277,0.323,0.367,0.412,0.455,0.495,0.535,0.576,0.617
Bolivia,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,2.801,3.264,3.722,4.273,4.79,5.31,5.788,6.211,6.628,7.051,7.457
Bolivia,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,2.059,2.4,2.737,3.142,3.522,3.905,4.256,4.567,4.873,5.184,5.483
Bolivia,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,2.142,2.496,2.846,3.268,3.663,4.061,4.426,4.75,5.068,5.392,5.703
Bolivia,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,2.018,2.352,2.682,3.079,3.451,3.826,4.171,4.476,4.776,5.081,5.374
Bolivia,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,1.853,2.16,2.463,2.828,3.17,3.514,3.83,4.11,4.386,4.666,4.935
Bolivia,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,4.119,4.8,5.473,6.284,7.044,7.809,8.512,9.134,9.747,10.369,10.966
Bolivia,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,1.812,2.112,2.408,2.765,3.099,3.436,3.745,4.019,4.289,4.562,4.825
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Bolivia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Bolivia,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,44.75,44.41,44.4,47.3,51.5,47.73,51.44,52.78,55.45,55.72,56.36
Bolivia,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,25.0,24.38,24.05,25.55,27.22,25.23,27.21,27.97,29.45,29.53,29.84
Bolivia,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,3.738,3.196,2.807,3.093,3.18,2.866,3.008,3.063,3.158,3.129,3.128
Bolivia,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,100.0,101.7,103.5,110.3,122.2,113.4,122.4,125.4,131.7,132.7,134.4
Bolivia,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,23.29,27.33,31.59,39.18,48.46,50.47,60.08,67.01,76.08,82.36,89.18
Bolivia,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,9.108,10.5,11.98,14.81,17.93,18.67,22.24,24.86,28.29,30.56,33.06
Bolivia,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,1.167,1.18,1.198,1.537,1.795,1.819,2.108,2.333,2.6,2.775,2.97
Bolivia,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,13.01,15.64,18.42,22.83,28.74,29.98,35.73,39.81,45.19,49.03,53.15
