Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,11.89,13.84,15.49,18.26,19.71,17.76,20.2,21.49,23.17,23.82,24.61
Bosnia and Herzegovina,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,14.79,17.3,19.47,22.56,24.61,22.27,25.39,27.05,29.2,30.03,31.04
Bosnia and Herzegovina,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,2.565,2.886,3.1,4.118,4.137,3.619,4.043,4.265,4.557,4.644,4.759
Bosnia and Herzegovina,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,3.008,3.975,4.985,6.532,7.723,7.631,9.37,10.56,12.03,13.08,14.21
Bosnia and Herzegovina,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,2.619,3.478,4.387,5.648,6.75,6.698,8.245,9.307,10.61,11.54,12.54
Bosnia and Herzegovina,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,0.39,0.497,0.599,0.884,0.973,0.933,1.125,1.258,1.419,1.537,1.664
Bosnia and Herzegovina,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Beauty Care,3305,Revenue Change,Total,percent,Statista,,32.148,25.409,31.033,18.233,-1.191,22.789,12.7,13.92,8.728,8.639
Bosnia and Herzegovina,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,32.799,26.136,28.744,19.511,-0.77,23.096,12.881,14,8.765,8.666
Bosnia and Herzegovina,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,27.651,20.394,47.661,10.046,-4.081,20.579,11.822,12.798,8.316,8.263
Bosnia and Herzegovina,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,�,�,�,�,�,�,�,�,�,�
Bosnia and Herzegovina,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bosnia and Herzegovina,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bosnia and Herzegovina,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bosnia and Herzegovina,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,96.577,95.418,94.165,92.007,90.477,89.832,89.03,87.779,86.227,,
Bosnia and Herzegovina,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,3.423,4.582,5.835,7.993,9.523,10.168,10.97,12.221,13.773,,
Bosnia and Herzegovina,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,62.707,61.091,59.094,57.891,56.751,55.816,54.888,54.428,54.428,,
Bosnia and Herzegovina,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,37.293,38.909,40.906,42.109,43.249,44.184,45.112,45.572,45.572,,
Bosnia and Herzegovina,Beauty Care,3305,Users by Segment,Total,million users,Statista,0.253,0.287,0.322,0.358,0.392,0.43,0.464,0.492,0.519,0.549,0.577
Bosnia and Herzegovina,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,0.177,0.201,0.225,0.25,0.274,0.301,0.325,0.344,0.363,0.384,0.404
Bosnia and Herzegovina,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,0.152,0.172,0.193,0.215,0.235,0.258,0.278,0.295,0.311,0.331,0.35
Bosnia and Herzegovina,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.063,0.072,0.08,0.089,0.098,0.107,0.116,0.123,0.13,0.138,0.146
Bosnia and Herzegovina,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,7.55,8.64,9.75,10.902,12.007,13.224,14.329,15.242,16.158,17.169,18.148
Bosnia and Herzegovina,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,5.285,6.048,6.825,7.632,8.405,9.257,10.031,10.669,11.311,12.019,12.706
Bosnia and Herzegovina,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,4.53,5.184,5.85,6.541,7.204,7.934,8.598,9.145,9.695,10.353,10.993
Bosnia and Herzegovina,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,1.887,2.16,2.437,2.726,3.002,3.306,3.582,3.811,4.04,4.313,4.579
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Bosnia and Herzegovina,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,5.059,4.783,4.802,5.222,6.782,7.989,10.65,11.8,12.19,12.87,13.47
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,8.298,7.757,7.629,7.791,9.708,11.06,14.45,15.75,16.03,16.76,17.37
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,3.395,3.184,3.152,3.262,4.138,4.79,6.319,6.923,7.063,7.405,7.688
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,1.956,1.929,2.044,2.38,3.433,4.317,5.881,6.489,6.596,7.007,7.331
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.484,0.544,0.658,1.158,1.634,2.147,3.229,4.066,4.729,4.995,5.315
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.054,0.06,0.067,0.087,0.136,0.196,0.303,0.369,0.398,0.424,0.449
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,1.606,1.451,1.401,1.438,1.803,1.995,2.456,2.506,2.394,2.5,2.558
Bosnia and Herzegovina,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,1.217,1.139,1.131,1.179,1.506,1.74,2.273,2.468,2.501,2.623,2.72
Bosnia and Herzegovina,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,"1,170","1,256","1,413","1,708","2,430","3,139","4,518","5,305","5,784","6,461","7,110"
Bosnia and Herzegovina,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,383.9,407.4,449,509.6,695.6,869.2,"1,226","1,416","1,521","1,691","1,850"
Bosnia and Herzegovina,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,314.1,334.4,371,426.7,593,752.7,"1,072","1,245","1,341","1,494","1,638"
