Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Botswana,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Botswana,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,22.57,22.13,21.58,22.8,24.67,23.61,26.28,27.91,30.17,30.41,30.98
Botswana,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,11.03,10.74,10.41,11.01,11.74,11.23,12.5,13.29,14.37,14.47,14.74
Botswana,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,1.481,1.337,1.228,1.685,1.565,1.39,1.456,1.49,1.547,1.545,1.555
Botswana,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,55.85,55.22,54.23,56.31,62.07,59.66,66.64,70.87,76.74,77.48,79.06
Botswana,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,2.826,3.224,3.619,4.438,5.564,5.969,7.292,8.342,9.67,10.49,11.41
