Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Brazil,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Brazil,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,13.96,13.34,12.78,13.82,14.78,13.4,15.46,17.19,19.29,19.26,19.58
Brazil,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,12.35,11.87,11.46,12.41,13.27,12.2,14.27,16.06,18.2,18.16,18.48
Brazil,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,2.083,1.918,1.733,1.852,1.987,1.596,1.624,1.586,1.555,1.532,1.512
Brazil,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,16.24,15.52,14.87,16.08,17.19,15.59,17.99,20.01,22.44,22.5,22.96
Brazil,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,271.5,303.9,341.4,425,518.4,546.9,716.2,876.5,"1,077","1,163","1,273"
Brazil,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,168.2,189.3,214.3,267.2,325.8,348.7,462.7,573.1,711.6,768,841.1
Brazil,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,24.31,26.22,27.78,34.17,41.83,39.09,45.14,48.5,52.09,55.53,59
Brazil,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,78.97,88.41,99.31,123.6,150.8,159.1,208.3,255,313.3,339.8,373.3
Brazil,Beauty Care,3305,Revenue Change,Total,percent,Statista,,11.934,12.34,24.487,21.976,5.498,30.956,22.382,22.875,7.985,9.458
Brazil,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,12.545,13.207,24.685,21.931,7.029,32.693,23.86,24.167,7.926,9.518
Brazil,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,7.857,5.95,23.002,22.417,-6.55,15.477,7.444,7.402,6.604,6.249
Brazil,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,11.954,12.329,24.459,22.006,5.504,30.924,22.42,22.863,8.458,9.859
Brazil,Beauty Care,3305,Comparable Estimates - eCommerce (Brazil),*Statista,billion USD (US$),,19.92,21.62,23.72,31.02,39.25,39.59,53.86,65.81,80.62,86.75,94.63
Brazil,Beauty Care,3305,Comparable Estimates - eCommerce (Brazil),Privacy Shield Framework,billion USD (US$),,,15,168,,,,,,,,
Brazil,Beauty Care,3305,Comparable Estimates - eCommerce (Brazil),UNCTAD,billion USD (US$),,,,16,,,,,,,,
Brazil,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,92.892,92.369,91.782,88.293,87.228,85.929,84.158,82.022,79.321,,
Brazil,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,7.108,7.631,8.218,11.707,12.772,14.071,15.842,17.978,20.679,,
Brazil,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,72.754,68.789,62.321,56.466,52.782,51.174,49.57,49.529,49.493,,
Brazil,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,27.246,31.211,37.679,43.534,47.218,48.826,50.43,50.471,50.507,,
Brazil,Beauty Care,3305,Users by Segment,Total,million users,Statista,19.451,22.779,26.72,30.747,35.081,40.816,46.333,50.978,55.841,60.415,65.031
