Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Bulgaria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,11.05,11.76,12.21,14.87,22.13,27.93,42.74,51.02,54.4,57.62,60.73
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,12.25,12,12.1,14.02,19.93,24.32,36.47,42.96,45.48,47.76,49.93
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,10.05,9.788,9.837,11.31,15.92,19.31,28.91,34.09,36.18,38.19,40.14
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.216,1.853,2.416,3.866,7.248,10.55,17.45,21.79,23.69,25.29,26.88
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.175,0.274,0.337,0.645,1.02,1.395,2.351,3.109,3.618,3.821,4.071
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.122,0.357,0.409,0.588,1.016,1.463,2.442,3.057,3.314,3.514,3.712
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,12.33,13.07,13.56,16.5,24.51,30.89,47.23,56.35,60.07,63.61,67.04
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,1.154,1.415,1.54,2.02,3.198,4.088,6.106,7.008,7.144,7.627,8.021
Bulgaria,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,2.253,2.277,2.355,2.822,4.144,5.161,7.819,9.274,9.874,10.44,11
Bulgaria,Health Care,3003,Revenue,Total,million USD (US$),Statista,5.185,6.491,7.937,11.2,18.81,26.69,44.77,57.26,64.94,73.52,82.17
Bulgaria,Health Care,3003,Revenue,Analgesics,million USD (US$),Statista,1.149,1.325,1.573,2.111,3.388,4.649,7.641,9.642,10.86,12.26,13.67
Bulgaria,Health Care,3003,Revenue,Cold & Cough Remedies,million USD (US$),Statista,1.886,2.16,2.558,3.406,5.414,7.384,12.11,15.3,17.28,19.49,21.72
Bulgaria,Health Care,3003,Revenue,Digestives & Intestinal Remedies,million USD (US$),Statista,0.03,0.307,0.471,0.874,1.848,3.026,5.486,7.335,8.484,9.683,10.91
Bulgaria,Health Care,3003,Revenue,Hand Sanitizer,million USD (US$),Statista,0.033,0.06,0.088,0.194,0.347,0.533,0.985,1.396,1.728,1.95,2.204
Bulgaria,Health Care,3003,Revenue,Incontinence,million USD (US$),Statista,0.011,0.039,0.053,0.089,0.173,0.28,0.512,0.686,0.791,0.902,1.016
Bulgaria,Health Care,3003,Revenue,Other Health Care,million USD (US$),Statista,1.33,1.659,2.027,2.858,4.792,6.792,11.38,14.55,16.49,18.67,20.87
Bulgaria,Health Care,3003,Revenue,Skin Treatment,million USD (US$),Statista,0.217,0.312,0.401,0.609,1.087,1.563,2.559,3.146,3.411,3.893,4.342
Bulgaria,Health Care,3003,Revenue,Vitamins & Minerals,million USD (US$),Statista,0.528,0.628,0.766,1.063,1.761,2.467,4.096,5.204,5.894,6.665,7.442
Bulgaria,Health Care,3003,Revenue Change,Total,percent,Statista,,25.188,22.277,41.111,67.946,41.893,67.741,27.898,13.413,13.212,11.766
Bulgaria,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,15.318,18.717,34.202,60.493,37.22,64.358,26.188,12.632,12.891,11.501
Bulgaria,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,14.528,18.426,33.151,58.955,36.387,64.003,26.342,12.941,12.789,11.442
Bulgaria,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,906.564,53.635,85.378,111.563,63.745,81.295,33.704,15.665,14.132,12.672
Bulgaria,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,84.472,44.981,121.627,78.435,53.851,84.739,41.668,23.782,12.847,13.026
Bulgaria,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,244.746,34.95,66.629,95.075,62.015,82.881,34.082,15.333,14.04,12.589
Bulgaria,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,24.737,22.182,40.997,67.67,41.736,67.55,27.856,13.333,13.22,11.784
Bulgaria,Health Care,3003,Revenue Change,Skin Treatment,percent,Statista,,44.183,28.242,51.96,78.607,43.79,63.724,22.939,8.423,14.131,11.534
Bulgaria,Health Care,3003,Revenue Change,Vitamins & Minerals,percent,Statista,,18.906,21.853,38.845,65.663,40.091,66.032,27.051,13.259,13.081,11.658
Bulgaria,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bulgaria,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bulgaria,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bulgaria,Health Care,3003,Online & Offline Split,Offline,percent,Statista,98.181,97.786,97.367,96.333,94.114,90.5,86.486,83.475,81.896,,
Bulgaria,Health Care,3003,Online & Offline Split,Online,percent,Statista,1.819,2.214,2.633,3.667,5.886,9.5,13.514,16.525,18.104,,
Bulgaria,Health Care,3003,Mobile/Desktop Split,Desktop,percent,Statista,69.076,65.401,62.619,59.674,56.862,54.261,51.738,49.532,47.462,,
Bulgaria,Health Care,3003,Mobile/Desktop Split,Mobile,percent,Statista,30.924,34.599,37.381,40.326,43.138,45.739,48.262,50.468,52.538,,
Bulgaria,Health Care,3003,Users by Segment,Total,million users,Statista,0.469,0.552,0.65,0.753,0.85,0.956,1.048,1.122,1.194,1.276,1.353
Bulgaria,Health Care,3003,Users by Segment,Analgesics,million users,Statista,0.094,0.11,0.13,0.151,0.17,0.191,0.21,0.224,0.239,0.257,0.274
