Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Burundi,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Burundi,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,3.604,2.814,2.355,1.936,1.735,1.46,1.352,1.173,1.034,1.002,0.961
Burundi,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,3.434,2.678,2.235,1.771,1.604,1.347,1.236,1.055,0.913,0.882,0.842
Burundi,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,1.289,1.007,0.842,0.669,0.608,0.512,0.472,0.404,0.35,0.339,0.324
Burundi,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,1.423,1.105,0.919,0.726,0.656,0.549,0.503,0.429,0.37,0.357,0.341
Burundi,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.431,0.375,0.35,0.412,0.359,0.312,0.315,0.305,0.301,0.298,0.295
Burundi,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.985,0.773,0.65,0.523,0.462,0.406,0.375,0.324,0.284,0.276,0.265
Burundi,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,4.691,3.661,3.063,2.521,2.262,1.899,1.758,1.525,1.346,1.304,1.251
Burundi,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.783,0.576,0.454,0.341,0.293,0.234,0.205,0.168,0.139,0.131,0.121
Burundi,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.427,0.333,0.279,0.222,0.201,0.17,0.156,0.134,0.116,0.112,0.107
