Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Cambodia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Cambodia,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,1.217,1.047,0.871,0.769,0.839,1.117,1.947,2.941,3.643,3.715,3.903
Cambodia,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.024,0.147,0.126,0.122,0.187,0.405,1.021,1.835,2.417,2.472,2.622
Cambodia,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.614,0.503,0.418,0.353,0.358,0.418,0.648,0.921,1.106,1.122,1.17
Cambodia,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.212,0.191,0.159,0.141,0.167,0.26,0.525,0.861,1.092,1.118,1.181
Cambodia,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.05,0.067,0.069,0.111,0.169,0.295,0.558,0.843,1.072,1.102,1.166
Cambodia,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.095,0.082,0.069,0.063,0.07,0.098,0.179,0.281,0.355,0.361,0.379
Cambodia,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,1.678,1.444,1.201,1.06,1.156,1.537,2.678,4.044,5.006,5.102,5.359
