Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Canada,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Canada,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,133.8,129.2,127,169.8,246.5,230,266.6,283.2,300.7,311.3,321.7
Canada,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,152.6,147.4,144.8,193.9,281.7,262.3,303.2,321.3,340.4,350.7,361
Canada,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,61.64,59.53,58.49,78.47,114.2,106.9,124.3,132.4,141,146.6,152.1
Canada,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,39.38,38.02,37.36,49.98,72.53,67.83,78.79,83.86,89.21,92.69,96.14
Canada,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,1.24,1.198,1.177,2.478,5.459,4.978,5.639,5.858,6.088,6.444,6.73
Canada,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,10.04,9.836,9.815,10.39,10.88,9.582,10.51,10.58,10.65,10.72,10.79
Canada,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,155.3,150,147.5,197.2,286.3,267.1,309.6,328.9,349.2,360.3,371.4
Canada,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,21.36,20.63,20.27,27.22,39.65,37.11,43.13,45.93,48.89,50.81,52.71
Canada,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,38.36,37.04,36.4,48.59,70.37,65.77,76.34,81.2,86.33,89.69,93
Canada,Health Care,3003,Revenue,Total,million USD (US$),Statista,616.6,657.9,714.7,"1,051","1,676","1,701","2,112","2,379","2,667","2,922","3,181"
Canada,Health Care,3003,Revenue,Analgesics,million USD (US$),Statista,140.7,150.1,163,240,383.2,387.9,480.4,539.8,603.9,658.6,713.9
Canada,Health Care,3003,Revenue,Cold & Cough Remedies,million USD (US$),Statista,119.4,127.3,138.3,203.9,326.1,332.1,413.5,467.1,525.3,577.9,631.6
Canada,Health Care,3003,Revenue,Digestives & Intestinal Remedies,million USD (US$),Statista,54.46,58.09,63.09,92.78,148,150.5,187.2,211.3,237.4,261.1,285.2
Canada,Health Care,3003,Revenue,Hand Sanitizer,million USD (US$),Statista,2.287,2.44,2.65,6.132,14.85,14.73,17.87,19.68,21.6,24.2,26.62
Canada,Health Care,3003,Revenue,Incontinence,million USD (US$),Statista,9.253,10.02,11.05,12.86,14.79,14.17,16.64,17.77,18.9,20.13,21.33
Canada,Health Care,3003,Revenue,Other Health Care,million USD (US$),Statista,164.7,175.7,190.9,280.6,447.7,454.4,564.1,635.3,712.4,778,844.7
Canada,Health Care,3003,Revenue,Skin Treatment,million USD (US$),Statista,37.42,39.91,43.35,64,102.5,104.3,129.8,146.6,164.8,181.3,198.1
Canada,Health Care,3003,Revenue,Vitamins & Minerals,million USD (US$),Statista,88.43,94.32,102.4,150.3,239.3,243.2,302.4,341,382.9,421,459.8
Canada,Health Care,3003,Revenue Change,Total,percent,Statista,,6.698,8.634,47.055,59.467,1.492,24.162,12.642,12.106,9.561,8.864
Canada,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,6.681,8.594,47.239,59.667,1.227,23.846,12.365,11.875,9.058,8.397
Canada,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,6.616,8.641,47.433,59.931,1.84,24.511,12.963,12.46,10.013,9.292
Canada,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,6.665,8.607,47.06,59.517,1.689,24.385,12.874,12.352,9.983,9.23
Canada,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,6.69,8.607,131.396,142.172,-0.808,21.317,10.129,9.756,12.037,10
Canada,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,8.289,10.279,16.38,15.008,-4.192,17.431,6.791,6.359,6.508,5.961
Canada,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,6.679,8.651,46.988,59.551,1.497,24.142,12.622,12.136,9.208,8.573
Canada,Health Care,3003,Revenue Change,Skin Treatment,percent,Statista,,6.654,8.619,47.636,60.156,1.756,24.449,12.943,12.415,10.012,9.266
Canada,Health Care,3003,Revenue Change,Vitamins & Minerals,percent,Statista,,6.661,8.567,46.777,59.215,1.63,24.342,12.765,12.287,9.95,9.216
Canada,Health Care,3003,Comparable Estimates - eCommerce (Canada),*Statista,billion USD (US$),,31.1,33.22,35.79,46.09,58.01,57.92,75.55,87.85,102,109.5,118.2
Canada,Health Care,3003,Comparable Estimates - eCommerce (Canada),UNCTAD,billion USD (US$),,,,53,,,,,,,,
Canada,Health Care,3003,Online & Offline Split,Offline,percent,Statista,80.534,79.828,78.763,68.558,57.097,54.899,52.059,48.802,45.52,,
Canada,Health Care,3003,Online & Offline Split,Online,percent,Statista,19.466,20.172,21.237,31.442,42.903,45.101,47.941,51.198,54.48,,
Canada,Health Care,3003,Mobile/Desktop Split,Desktop,percent,Statista,70.516,68.856,67.204,65.557,64.57,63.705,63.055,63.035,63.019,,
Canada,Health Care,3003,Mobile/Desktop Split,Mobile,percent,Statista,29.484,31.144,32.796,34.443,35.43,36.295,36.945,36.965,36.981,,
Canada,Health Care,3003,Users by Segment,Total,million users,Statista,4.61,5.092,5.628,6.188,6.8,7.396,7.921,8.399,8.872,9.389,9.889
Canada,Health Care,3003,Users by Segment,Analgesics,million users,Statista,0.922,1.018,1.126,1.238,1.36,1.479,1.584,1.68,1.774,1.878,1.978
Canada,Health Care,3003,Users by Segment,Cold & Cough Remedies,million users,Statista,1.936,2.139,2.364,2.599,2.856,3.106,3.327,3.528,3.726,3.943,4.153
Canada,Health Care,3003,Users by Segment,Digestives & Intestinal Remedies,million users,Statista,1.383,1.528,1.688,1.856,2.04,2.219,2.376,2.52,2.661,2.817,2.967
Canada,Health Care,3003,Users by Segment,Hand Sanitizer,million users,Statista,1.844,2.037,2.251,2.475,2.72,2.958,3.168,3.36,3.549,3.756,3.955
Canada,Health Care,3003,Users by Segment,Incontinence,million users,Statista,0.922,1.018,1.126,1.238,1.36,1.479,1.584,1.68,1.774,1.878,1.978
Canada,Health Care,3003,Users by Segment,Other Health Care,million users,Statista,1.06,1.171,1.294,1.423,1.564,1.701,1.822,1.932,2.04,2.159,2.274
Canada,Health Care,3003,Users by Segment,Skin Treatment,million users,Statista,1.752,1.935,2.139,2.351,2.584,2.81,3.01,3.192,3.371,3.568,3.758
Canada,Health Care,3003,Users by Segment,Vitamins & Minerals,million users,Statista,2.305,2.546,2.814,3.094,3.4,3.698,3.96,4.199,4.436,4.694,4.944
Canada,Health Care,3003,Penetration Rate by Segment,Analgesics,percent,Statista,2.51,2.747,3.009,3.279,3.573,3.853,4.093,4.305,4.512,4.738,4.952
Canada,Health Care,3003,Penetration Rate by Segment,Cold & Cough Remedies,percent,Statista,5.271,5.769,6.319,6.886,7.503,8.092,8.595,9.041,9.475,9.949,10.399
Canada,Health Care,3003,Penetration Rate by Segment,Digestives & Intestinal Remedies,percent,Statista,3.765,4.121,4.513,4.918,5.359,5.78,6.14,6.458,6.768,7.107,7.428
Canada,Health Care,3003,Penetration Rate by Segment,Hand Sanitizer,percent,Statista,5.02,5.494,6.018,6.558,7.145,7.706,8.186,8.611,9.023,9.476,9.904
Canada,Health Care,3003,Penetration Rate by Segment,Health Care,percent,Statista,12.551,13.736,15.044,16.394,17.863,19.266,20.465,21.526,22.558,23.689,24.759
Canada,Health Care,3003,Penetration Rate by Segment,Incontinence,percent,Statista,2.51,2.747,3.009,3.279,3.573,3.853,4.093,4.305,4.512,4.738,4.952
Canada,Health Care,3003,Penetration Rate by Segment,Other Health Care,percent,Statista,2.887,3.159,3.46,3.771,4.109,4.431,4.707,4.951,5.188,5.448,5.695
Canada,Health Care,3003,Penetration Rate by Segment,Skin Treatment,percent,Statista,4.769,5.22,5.717,6.23,6.788,7.321,7.777,8.18,8.572,9.002,9.409
Canada,Health Care,3003,Penetration Rate by Segment,Vitamins & Minerals,percent,Statista,6.275,6.868,7.522,8.197,8.932,9.633,10.233,10.763,11.279,11.844,12.38
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Canada,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Canada,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,103.9,100.7,99.85,113.2,127.9,127.1,159.4,185.8,219.3,224.2,233.9
Canada,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,10.41,10.02,9.898,11.74,13.87,14.45,18.85,22.74,27.68,28.52,30.04
Canada,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,20.27,19.52,19.28,23.38,28.31,29.43,38.3,46.07,55.95,57.71,60.81
Canada,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,37.77,37.01,36.94,42.56,49.02,41.51,43.79,42.46,41.27,40.65,39.85
Canada,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,45.86,44.16,43.61,47.53,51.26,56.65,77.74,97.67,122.4,125.9,133
Canada,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,199.1,193,191.3,217,245,243.5,305.4,356.1,420.2,430.2,449.2
Canada,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,6.229,6.105,6.092,6.33,6.496,5.761,6.358,6.442,6.53,6.562,6.606
Canada,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,20.85,20.08,19.83,21.71,23.53,26.1,35.96,45.34,57.01,58.65,62.03
Canada,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,32.37,31.73,31.66,36.27,41.36,35.18,37.27,36.29,35.42,34.97,34.37
Canada,Household Care,3402,Revenue,Total,million USD (US$),Statista,284.4,304.5,333.7,416,516.3,558.1,749.6,926.7,"1,155","1,250","1,373"
Canada,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,11.96,12.73,13.89,18.11,23.52,26.66,37.24,47.63,61.25,66.78,74.09
Canada,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,24.97,26.56,28.99,38.66,51.44,58.16,81.05,103.4,132.6,144.8,160.7
Canada,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,23.78,25.74,28.39,35.96,45.52,41.93,47.37,48.7,50,52.12,53.81
Canada,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,50.21,53.4,58.3,69.85,82.79,99.51,146.3,194.8,257.8,280.6,312.4
Canada,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,119.9,128.4,140.7,175.4,217.7,235.3,316,390.7,486.9,527.6,580.2
Canada,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,5.456,5.907,6.514,7.441,8.394,8.095,9.569,10.28,11.01,11.71,12.41
Canada,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,17.12,18.21,19.88,23.93,28.5,34.39,50.73,67.83,90.1,98.08,109.2
Canada,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,31.02,33.58,37.03,46.64,58.45,54.07,61.35,63.35,65.31,68.23,70.63
Canada,Household Care,3402,Revenue Change,Total,percent,Statista,,7.068,9.589,24.663,24.111,8.096,34.313,23.626,24.636,8.225,9.84
Canada,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,6.438,9.112,30.382,29.873,13.35,39.685,27.9,28.595,9.029,10.946
Canada,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,6.368,9.149,33.356,33.057,13.064,39.357,27.576,28.24,9.201,10.981
Canada,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,8.242,10.295,26.664,26.585,-7.887,12.974,2.808,2.669,4.24,3.243
Canada,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,6.353,9.176,19.811,18.525,20.196,47.02,33.151,32.341,8.844,11.333
Canada,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,7.089,9.579,24.662,24.116,8.085,34.297,23.639,24.622,8.359,9.97
Canada,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,8.266,10.276,14.231,12.807,-3.562,18.209,7.43,7.101,6.358,5.978
Canada,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,6.367,9.171,20.372,19.097,20.667,47.514,33.708,32.832,8.857,11.338
Canada,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,8.253,10.274,25.952,25.322,-7.494,13.464,3.26,3.094,4.471,3.518
