Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Chad,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Chad,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,6.986,6.246,5.275,4.752,4.917,5.97,10.08,14.96,18.06,18.19,18.85
Chad,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,0.966,0.85,0.699,0.63,0.665,0.861,1.551,2.349,2.815,2.845,2.951
Chad,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,1.061,0.949,0.792,0.739,0.804,1.061,1.914,2.9,3.497,3.535,3.67
Chad,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,5.41,4.65,3.902,3.24,2.962,2.629,2.568,2.357,2.157,2.091,2.019
Chad,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,3.652,3.263,2.716,2.396,2.464,3.171,5.852,9.106,11.08,11.19,11.62
Chad,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,11.84,10.55,8.771,7.832,8.171,10.58,19.39,29.91,36.26,36.62,38.02
Chad,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.666,0.581,0.494,0.396,0.365,0.345,0.341,0.316,0.291,0.284,0.275
Chad,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,1.189,1.062,0.883,0.773,0.793,1.025,1.902,2.97,3.618,3.651,3.792
Chad,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,0.638,0.746,0.824,1.057,1.304,1.464,1.966,2.593,3.472,3.46,3.589
Chad,Household Care,3402,Revenue,Total,million USD (US$),Statista,0.982,1.067,1.136,1.301,1.639,2.432,4.855,8.352,11.52,12.73,14.43
Chad,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.057,0.061,0.063,0.072,0.093,0.147,0.314,0.551,0.754,0.836,0.949
Chad,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.067,0.073,0.077,0.091,0.121,0.194,0.415,0.729,1.004,1.113,1.264
Chad,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,0.175,0.183,0.193,0.204,0.227,0.246,0.285,0.303,0.317,0.337,0.355
Chad,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,0.205,0.223,0.234,0.262,0.329,0.517,1.128,2.034,2.828,3.131,3.556
Chad,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,0.366,0.397,0.416,0.472,0.599,0.948,2.055,3.675,5.089,5.637,6.401
Chad,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.03,0.032,0.034,0.035,0.039,0.045,0.053,0.056,0.059,0.064,0.067
Chad,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.05,0.054,0.057,0.063,0.079,0.125,0.275,0.497,0.693,0.766,0.871
Chad,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,0.031,0.045,0.062,0.101,0.152,0.209,0.332,0.507,0.775,0.847,0.962
Chad,Household Care,3402,Revenue Change,Total,percent,Statista,,8.645,6.467,14.525,25.98,48.383,99.63,72.029,37.931,10.503,13.354
Chad,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,6.906,3.624,14.636,28.502,58.217,113.103,75.534,36.86,10.874,13.467
Chad,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,8.639,5.319,18.511,32.469,61.194,113.426,75.681,37.742,10.857,13.567
Chad,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,4.46,5.802,5.535,11.373,8.407,15.55,6.36,4.559,6.319,5.587
Chad,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,8.569,4.978,12.089,25.229,57.212,118.351,80.319,39.036,10.714,13.574
Chad,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,8.331,4.816,13.495,27.024,58.218,116.726,78.832,38.476,10.768,13.553
Chad,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,6.039,7.269,1.819,12.158,15.566,16.715,7.389,5.444,6.879,6.105
Chad,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,8.531,4.848,11.158,25.055,57.762,119.569,80.975,39.196,10.686,13.607
Chad,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,42.043,39.144,63.124,50.247,37.122,58.84,52.851,53.01,9.287,13.478
