Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Chile,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Chile,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,8.103,8.868,9.529,11.52,14.17,16.61,23.17,30.78,41.14,42.86,46.17
Chile,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,0.672,0.739,0.795,0.946,1.148,1.337,1.854,2.453,3.272,3.407,3.668
Chile,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,0.971,1.068,1.148,1.417,1.773,2.055,2.837,3.737,4.963,5.173,5.57
Chile,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,3.924,4.27,4.586,6.23,8.357,9.76,13.53,17.81,23.52,24.59,26.5
Chile,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,3.652,4.017,4.318,4.756,5.423,6.29,8.701,11.5,15.36,15.95,17.16
Chile,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,16.06,17.58,18.89,22.83,28.09,32.93,45.92,61.01,81.55,84.94,91.48
Chile,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.534,0.581,0.624,0.804,1.032,1.231,1.742,2.341,3.157,3.293,3.554
Chile,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,0.926,1.018,1.095,1.182,1.327,1.53,2.107,2.776,3.7,3.84,4.126
Chile,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,2.966,3.227,3.466,4.322,5.407,6.483,9.225,12.47,16.91,17.63,19.02
Chile,Household Care,3402,Revenue,Total,million USD (US$),Statista,8.363,10.47,12.8,17.65,24.2,30.88,46.05,64.4,90.49,99.05,111.4
Chile,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.291,0.366,0.449,0.609,0.824,1.044,1.548,2.155,3.022,3.306,3.717
Chile,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.451,0.567,0.694,0.977,1.362,1.719,2.537,3.519,4.912,5.38,6.047
Chile,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,0.932,1.159,1.417,2.195,3.282,4.172,6.185,8.573,11.9,13.07,14.71
Chile,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,1.508,1.896,2.321,2.915,3.703,4.676,6.918,9.628,13.51,14.75,16.56
Chile,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,3.647,4.564,5.584,7.695,10.55,13.46,20.08,28.08,39.46,43.19,48.58
Chile,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.176,0.22,0.269,0.394,0.564,0.732,1.108,1.568,2.222,2.435,2.744
Chile,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.287,0.36,0.441,0.543,0.68,0.853,1.257,1.743,2.441,2.662,2.987
Chile,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,1.071,1.333,1.63,2.318,3.231,4.217,6.418,9.134,13.02,14.26,16.06
Chile,Household Care,3402,Revenue Change,Total,percent,Statista,,25.194,22.254,37.891,37.11,27.603,49.126,39.848,40.512,9.46,12.468
Chile,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,25.781,22.407,35.741,35.266,26.776,48.276,39.212,40.232,9.398,12.432
Chile,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,25.771,22.395,40.787,39.378,26.211,47.586,38.707,39.585,9.528,12.398
Chile,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,24.41,22.261,54.905,49.522,27.118,48.25,38.61,38.808,9.832,12.548
Chile,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,25.729,22.416,25.592,27.033,26.276,47.947,39.173,40.32,9.178,12.271
Chile,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,25.144,22.349,37.804,37.102,27.583,49.183,39.841,40.527,9.453,12.48
Chile,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,24.419,22.268,46.816,43.024,29.833,51.366,41.516,41.709,9.586,12.69
Chile,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,25.785,22.413,23.136,25.083,25.555,47.293,38.663,40.046,9.054,12.209
Chile,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,24.463,22.281,42.209,39.387,30.517,52.194,42.318,42.544,9.524,12.623
Chile,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Chile,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Chile,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Chile,Household Care,3402,Online & Offline Split,Offline,percent,Statista,99.401,99.271,99.133,98.807,98.416,97.966,97.303,96.366,95.09,,
Chile,Household Care,3402,Online & Offline Split,Online,percent,Statista,0.599,0.729,0.867,1.193,1.584,2.034,2.697,3.634,4.91,,
Chile,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,73.254,69.031,66.195,64.32,62.729,61.81,60.808,59.891,58.952,,
Chile,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,26.746,30.969,33.805,35.68,37.271,38.19,39.192,40.109,41.048,,
Chile,Household Care,3402,Users by Segment,Total,million users,Statista,1.032,1.18,1.344,1.532,1.707,1.859,1.988,2.092,2.199,2.311,2.413
Chile,Household Care,3402,Users by Segment,Dishwashing Detergents,million users,Statista,0.434,0.496,0.564,0.644,0.717,0.781,0.835,0.879,0.924,0.971,1.013
Chile,Household Care,3402,Users by Segment,Household Cleaners,million users,Statista,0.464,0.531,0.605,0.689,0.768,0.836,0.894,0.942,0.99,1.04,1.086
Chile,Household Care,3402,Users by Segment,Household Paper,million users,Statista,0.237,0.271,0.309,0.352,0.393,0.427,0.457,0.481,0.506,0.532,0.555
Chile,Household Care,3402,Users by Segment,Laundry Care,million users,Statista,0.413,0.472,0.538,0.613,0.683,0.743,0.795,0.837,0.88,0.924,0.965
Chile,Household Care,3402,Users by Segment,Other Household Care,million users,Statista,0.227,0.26,0.296,0.337,0.376,0.409,0.437,0.46,0.484,0.509,0.531
Chile,Household Care,3402,Users by Segment,Paper Tissues,million users,Statista,0.33,0.378,0.43,0.49,0.546,0.595,0.636,0.67,0.704,0.739,0.772
Chile,Household Care,3402,Users by Segment,"Polishes, Room Scents & Insecticides",million users,Statista,0.31,0.354,0.403,0.46,0.512,0.558,0.596,0.628,0.66,0.693,0.724
Chile,Household Care,3402,Users by Segment,Toilet Paper,million users,Statista,0.361,0.413,0.47,0.536,0.598,0.651,0.696,0.732,0.77,0.809,0.844
Chile,Household Care,3402,Penetration Rate by Segment,Dishwashing Detergents,percent,Statista,2.347,2.647,2.978,3.366,3.732,4.055,4.337,4.568,4.801,5.039,5.252
Chile,Household Care,3402,Penetration Rate by Segment,Household Care,percent,Statista,5.588,6.301,7.091,8.015,8.886,9.655,10.326,10.876,11.431,11.999,12.507
Chile,Household Care,3402,Penetration Rate by Segment,Household Cleaners,percent,Statista,2.515,2.836,3.191,3.607,3.999,4.345,4.647,4.894,5.144,5.399,5.627
Chile,Household Care,3402,Penetration Rate by Segment,Household Paper,percent,Statista,1.285,1.449,1.631,1.843,2.044,2.221,2.375,2.501,2.629,2.76,2.877
Chile,Household Care,3402,Penetration Rate by Segment,Laundry Care,percent,Statista,2.235,2.521,2.836,3.206,3.554,3.862,4.13,4.35,4.572,4.799,5.002
Chile,Household Care,3402,Penetration Rate by Segment,Other Household Care,percent,Statista,1.229,1.386,1.56,1.763,1.955,2.124,2.272,2.393,2.515,2.64,2.752
Chile,Household Care,3402,Penetration Rate by Segment,Paper Tissues,percent,Statista,1.788,2.016,2.269,2.565,2.844,3.09,3.304,3.48,3.658,3.839,4.002
Chile,Household Care,3402,Penetration Rate by Segment,"Polishes, Room Scents & Insecticides",percent,Statista,1.676,1.89,2.127,2.405,2.666,2.897,3.098,3.263,3.429,3.599,3.752
Chile,Household Care,3402,Penetration Rate by Segment,Toilet Paper,percent,Statista,1.956,2.205,2.482,2.805,3.11,3.379,3.614,3.807,4.001,4.199,4.377
Chile,"Toys, Hobby & DIY",950,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,17.631,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,30.854,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.416,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,18.457,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,9.64,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,53.444,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,46.556,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,43.599,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,25.606,,,,,,
Chile,"Toys, Hobby & DIY",950,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,30.796,,,,,,
Chile,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Chile,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Chile,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
