Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
China,"Toys, Hobby & DIY",950,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.286,,,,,,
China,"Toys, Hobby & DIY",950,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,34.357,,,,,,
China,"Toys, Hobby & DIY",950,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,29.214,,,,,,
China,"Toys, Hobby & DIY",950,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,18.786,,,,,,
China,"Toys, Hobby & DIY",950,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,4.36,,,,,,
China,"Toys, Hobby & DIY",950,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,49.857,,,,,,
China,"Toys, Hobby & DIY",950,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,50.143,,,,,,
China,"Toys, Hobby & DIY",950,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,39.234,,,,,,
China,"Toys, Hobby & DIY",950,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,25.824,,,,,,
China,"Toys, Hobby & DIY",950,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.943,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
China,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
China,"Toys, Hobby & DIY",950,Revenue,Total,billion USD (US$),Statista,134.9,152.6,169.9,199.4,222.6,197.3,228.4,239.1,250.6,263.5,275.9
China,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",billion USD (US$),Statista,12.29,17.35,21.53,27.67,32.55,30.49,36.57,38.95,41.27,44.71,47.85
China,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,billion USD (US$),Statista,70.95,82.82,95.33,111.6,128.5,111.9,127.7,132.2,137,144.6,151.4
China,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,billion USD (US$),Statista,18.53,18.67,18.83,22,22.79,20.35,23.79,25.27,26.92,27.66,28.55
China,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,billion USD (US$),Statista,33.14,33.72,34.21,38.14,38.81,34.57,40.34,42.74,45.37,46.58,48.09
China,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,13.121,11.337,17.363,11.635,-11.366,15.763,4.685,4.81,5.148,4.706
China,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,41.172,24.092,28.518,17.636,-6.329,19.941,6.508,5.956,8.335,7.023
China,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,16.73,15.105,17.067,15.143,-12.918,14.12,3.524,3.631,5.547,4.703
China,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,0.756,0.857,16.835,3.591,-10.706,16.904,6.221,6.529,2.749,3.218
China,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,1.75,1.453,11.488,1.757,-10.925,16.691,5.949,6.153,2.667,3.242
China,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,589.2,543.5,495.8,488.5,463.5,355.6,363.1,347.2,333.6,322.6,313
China,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,"DIY, Garden & Pets",USD (US$),Statista,77.61,90.65,93.85,104.3,108.3,90.79,98.64,97.27,95.69,96.67,97.12
China,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Hobby & Stationery,USD (US$),Statista,503.8,481.2,451.5,440.9,424.5,316.3,315,296.2,280.2,271.3,262.6
China,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Sports & Outdoor,USD (US$),Statista,165.1,134.5,110.6,107.8,94.19,71.93,73.41,70.85,68.87,64.92,61.97
China,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Toys & Baby,USD (US$),Statista,369.5,304,251.3,233.5,202.2,156.8,162.6,158,154.4,145.8,139.6
China,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (China),*Statista,trillion USD (US$),,1.015,1.053,1.098,1.26,1.368,1.156,1.396,1.457,1.544,1.593,1.649
China,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (China),UNCTAD,trillion USD (US$),,,,1.539,,,,,,,,
China,"Toys, Hobby & DIY",950,Online & Offline Split,Offline,percent,Statista,87.442,88.352,87.022,85.101,84.059,83.849,83.631,83.394,83.113,,
China,"Toys, Hobby & DIY",950,Online & Offline Split,Online,percent,Statista,12.558,11.648,12.978,14.899,15.941,16.151,16.369,16.606,16.887,,
China,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Desktop,percent,Statista,33.759,31.66,29.52,28.82,28.129,27.436,26.758,26.271,25.797,,
China,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Mobile,percent,Statista,66.241,68.34,70.48,71.18,71.871,72.564,73.242,73.729,74.203,,
China,"Toys, Hobby & DIY",950,Users by Segment,Total,million users,Statista,228.995,280.681,342.68,408.278,480.301,554.998,628.981,688.634,751.129,816.796,881.269
China,"Toys, Hobby & DIY",950,Users by Segment,"DIY, Garden & Pets",million users,Statista,158.392,191.368,229.431,265.381,300.643,335.874,370.775,400.441,431.293,462.477,492.688
China,"Toys, Hobby & DIY",950,Users by Segment,Hobby & Stationery,million users,Statista,140.829,172.118,211.134,253.133,302.654,353.857,405.298,446.126,488.864,532.923,576.398
China,"Toys, Hobby & DIY",950,Users by Segment,Sports & Outdoor,million users,Statista,112.238,138.785,170.265,204.139,241.955,282.883,324.024,356.671,390.848,426.013,460.728
China,"Toys, Hobby & DIY",950,Users by Segment,Toys & Baby,million users,Statista,89.679,110.917,136.138,163.311,191.951,220.493,248.043,270.49,293.919,319.548,344.472
China,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"DIY, Garden & Pets",percent,Statista,11.089,13.336,15.919,18.342,20.709,23.067,25.399,27.372,29.426,31.506,33.524
China,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Hobby & Stationery,percent,Statista,9.86,11.994,14.65,17.496,20.847,24.302,27.764,30.495,33.354,36.305,39.22
China,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Sports & Outdoor,percent,Statista,7.858,9.671,11.814,14.11,16.666,19.428,22.197,24.38,26.667,29.022,31.349
China,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"Toys, Hobby & DIY",percent,Statista,16.032,19.559,23.777,28.219,33.084,38.116,43.087,47.071,51.248,55.644,59.964
China,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Toys & Baby,percent,Statista,6.279,7.729,9.446,11.288,13.222,15.143,16.992,18.489,20.054,21.769,23.439
China,Toys & Baby,9503,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,6.69,,,,,,
China,Toys & Baby,9503,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,42.05,,,,,,
China,Toys & Baby,9503,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,29.916,,,,,,
China,Toys & Baby,9503,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,17.155,,,,,,
China,Toys & Baby,9503,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,4.18,,,,,,
China,Toys & Baby,9503,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,55.021,,,,,,
China,Toys & Baby,9503,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,44.979,,,,,,
China,Toys & Baby,9503,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,39.866,,,,,,
China,Toys & Baby,9503,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,24.276,,,,,,
China,Toys & Baby,9503,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.857,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
China,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
China,Toys & Baby,9503,Revenue,Total,billion USD (US$),Statista,33.14,33.72,34.21,38.14,38.81,34.57,40.34,42.74,45.37,46.58,48.09
China,Toys & Baby,9503,Revenue,Baby,billion USD (US$),Statista,2.906,3.125,3.315,3.878,3.983,3.551,4.135,4.357,4.585,4.734,4.891
China,Toys & Baby,9503,Revenue,Other Toys & Baby,billion USD (US$),Statista,13.93,14.17,14.37,16.02,16.29,14.49,16.89,17.88,18.97,19.5,20.16
China,Toys & Baby,9503,Revenue,Toys,billion USD (US$),Statista,16.3,16.42,16.52,18.25,18.55,16.53,19.31,20.5,21.82,22.34,23.04
China,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,1.75,1.453,11.488,1.757,-10.925,16.691,5.949,6.153,2.667,3.242
China,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,7.536,6.08,16.983,2.708,-10.846,16.446,5.369,5.233,3.25,3.316
China,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,1.723,1.411,11.482,1.685,-11.05,16.563,5.861,6.096,2.794,3.385
China,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,0.736,0.609,10.472,1.644,-10.889,16.818,6.163,6.439,2.383,3.133
China,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,369.5,304,251.3,233.5,202.2,156.8,162.6,158,154.4,145.8,139.6
China,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,54.01,46.96,40.59,39.58,34.58,26.84,27.79,26.85,26,24.69,23.66
China,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,863.2,709.8,586.6,544.9,471.4,365,378.3,367.3,358.5,339,325.2
China,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,227.2,185.1,151.7,139.7,120.8,93.7,97.32,94.74,92.8,87.41,83.59
China,Toys & Baby,9503,Comparable Estimates - eCommerce (China),*Statista,trillion USD (US$),,1.015,1.053,1.098,1.26,1.368,1.156,1.396,1.457,1.544,1.593,1.649
China,Toys & Baby,9503,Comparable Estimates - eCommerce (China),UNCTAD,trillion USD (US$),,,,1.539,,,,,,,,
China,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,39.999,45.371,49.773,51.113,53.187,51.829,51.531,51.031,50.356,,
China,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,60.001,54.629,50.227,48.887,46.813,48.171,48.469,48.969,49.644,,
China,Toys & Baby,9503,Mobile/Desktop Split,Desktop,percent,Statista,21.868,19.382,17.718,16.407,15.538,14.777,14.034,13.507,12.988,,
China,Toys & Baby,9503,Mobile/Desktop Split,Mobile,percent,Statista,78.132,80.618,82.282,83.593,84.462,85.223,85.966,86.493,87.012,,
China,Toys & Baby,9503,Users,Total,million users,Statista,89.679,110.917,136.138,163.311,191.951,220.493,248.043,270.49,293.919,319.548,344.472
China,Toys & Baby,9503,Users,Baby,million users,Statista,53.808,66.55,81.683,97.987,115.171,132.296,148.826,162.294,176.351,191.729,206.683
China,Toys & Baby,9503,Users,Other Toys & Baby,million users,Statista,16.142,19.965,24.505,29.396,34.551,39.689,44.648,48.688,52.905,57.519,62.005
China,Toys & Baby,9503,Users,Toys,million users,Statista,71.743,88.734,108.91,130.649,153.561,176.394,198.434,216.392,235.135,255.638,275.578
China,Toys & Baby,9503,Penetration Rate,Baby,percent,Statista,3.767,4.638,5.668,6.773,7.933,9.086,10.195,11.094,12.032,13.061,14.063
China,Toys & Baby,9503,Penetration Rate,Other Toys & Baby,percent,Statista,1.13,1.391,1.7,2.032,2.38,2.726,3.059,3.328,3.61,3.918,4.219
China,Toys & Baby,9503,Penetration Rate,Toys,percent,Statista,5.023,6.183,7.557,9.03,10.577,12.114,13.593,14.791,16.043,17.415,18.751
China,Toys & Baby,9503,Penetration Rate,Toys & Baby,percent,Statista,6.279,7.729,9.446,11.288,13.222,15.143,16.992,18.489,20.054,21.769,23.439
China,Sports & Outdoor,9506,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,9.74,,,,,,
China,Sports & Outdoor,9506,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,35.512,,,,,,
China,Sports & Outdoor,9506,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,31.319,,,,,,
China,Sports & Outdoor,9506,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,18.249,,,,,,
China,Sports & Outdoor,9506,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,5.18,,,,,,
China,Sports & Outdoor,9506,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,44.143,,,,,,
China,Sports & Outdoor,9506,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,55.857,,,,,,
China,Sports & Outdoor,9506,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,44.016,,,,,,
China,Sports & Outdoor,9506,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,20.745,,,,,,
China,Sports & Outdoor,9506,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.239,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
China,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
China,Sports & Outdoor,9506,Revenue,Total,billion USD (US$),Statista,18.53,18.67,18.83,22,22.79,20.35,23.79,25.27,26.92,27.66,28.55
China,Sports & Outdoor,9506,Revenue,Athletic Footwear,billion USD (US$),Statista,5.102,4.887,4.746,5.133,5.191,4.609,5.365,5.684,6.042,6.149,6.313
China,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,billion USD (US$),Statista,2.034,2.046,2.057,2.48,2.561,2.215,2.516,2.601,2.699,2.752,2.81
China,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,billion USD (US$),Statista,4.124,4.144,4.174,4.862,5.015,4.45,5.178,5.474,5.803,5.972,6.174
