Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Costa Rica,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Costa Rica,Household Appliances,8516,Revenue,Total,million USD (US$),Statista,79.93,95.55,113.1,146.7,171.6,196.5,240.4,280.6,324.9,354.5,387.4
Costa Rica,Household Appliances,8516,Revenue,Major Appliances,million USD (US$),Statista,40.03,47.82,56.56,73.33,85.68,97.24,119.2,139.8,161.8,176.5,192.9
Costa Rica,Household Appliances,8516,Revenue,Other Household Appliances,million USD (US$),Statista,17.29,20.67,24.46,31.74,37.12,42.51,52.01,60.7,70.29,76.7,83.81
Costa Rica,Household Appliances,8516,Revenue,Small Appliances,million USD (US$),Statista,22.61,27.06,32.06,41.64,48.77,56.77,69.18,80.11,92.85,101.3,110.7
Costa Rica,Household Appliances,8516,Revenue Change,Total,percent,Statista,,19.542,18.367,29.708,16.973,14.51,22.341,16.722,15.788,9.11,9.281
Costa Rica,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,19.46,18.277,29.65,16.842,13.492,22.583,17.282,15.737,9.085,9.292
Costa Rica,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,19.549,18.336,29.763,16.95,14.52,22.348,16.708,15.799,9.119,9.27
Costa Rica,Household Appliances,8516,Revenue Change,Small Appliances,percent,Statista,,19.682,18.477,29.881,17.123,16.404,21.86,15.799,15.903,9.101,9.279
Costa Rica,Household Appliances,8516,Average Revenue per User,Total,USD (US$),Statista,155.7,153.1,146.7,156.3,152.4,148.3,157.9,166.2,175,174.9,176.4
Costa Rica,Household Appliances,8516,Average Revenue per User,Major Appliances,USD (US$),Statista,195,191.6,183.4,195.3,190.3,183.5,195.8,207,217.9,217.7,219.6
Costa Rica,Household Appliances,8516,Average Revenue per User,Other Household Appliances,USD (US$),Statista,168.5,165.6,158.7,169,164.9,160.5,170.8,179.8,189.3,189.2,190.8
Costa Rica,Household Appliances,8516,Average Revenue per User,Small Appliances,USD (US$),Statista,55.06,54.22,52,55.44,54.17,53.56,56.81,59.32,62.52,62.51,63.04
Costa Rica,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),*Statista,billion USD (US$),,128.4,145.6,163.7,197.3,233.1,221.4,264.4,291.3,322.3,342.6,365.2
Costa Rica,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),Million Insights,billion USD (US$),,,,,316,329.6,,,,,,
Costa Rica,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),The BRC,billion USD (US$),,,,307.6,,,,433.4,,,,
Costa Rica,Household Appliances,8516,Online & Offline Split,Offline,percent,Statista,85.984,83.633,81.071,77.906,73.98,68.931,65.097,60.816,56.488,,
