Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Croatia,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Croatia,Household Appliances,8516,Revenue,Total,million USD (US$),Statista,49.12,55.27,63.25,74.94,91.99,89.49,115.8,133.5,153.9,166.4,180.7
Croatia,Household Appliances,8516,Revenue,Major Appliances,million USD (US$),Statista,25.39,28.56,32.65,38.65,47.39,45.76,59.33,68.47,78.8,85.2,92.5
Croatia,Household Appliances,8516,Revenue,Other Household Appliances,million USD (US$),Statista,9.065,10.2,11.67,13.83,16.97,16.51,21.36,24.63,28.39,30.7,33.34
Croatia,Household Appliances,8516,Revenue,Small Appliances,million USD (US$),Statista,14.67,16.52,18.93,22.46,27.62,27.21,35.07,40.38,46.66,50.48,54.85
Croatia,Household Appliances,8516,Revenue Change,Total,percent,Statista,,12.52,14.438,18.482,22.752,-2.718,29.4,15.285,15.281,8.122,8.594
Croatia,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,12.485,14.321,18.377,22.613,-3.44,29.655,15.405,15.087,8.122,8.568
Croatia,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,12.521,14.412,18.509,22.704,-2.711,29.376,15.309,15.266,8.137,8.599
Croatia,Household Appliances,8516,Revenue Change,Small Appliances,percent,Statista,,12.611,14.588,18.648,22.974,-1.484,28.886,15.141,15.552,8.187,8.657
Croatia,Household Appliances,8516,Average Revenue per User,Total,USD (US$),Statista,71.71,70.22,68.33,69.25,73.57,63.06,73.14,77.85,83.39,83.49,84.59
Croatia,Household Appliances,8516,Average Revenue per User,Major Appliances,USD (US$),Statista,92.65,90.7,88.17,89.29,94.75,80.62,93.72,99.84,106.8,106.9,108.3
Croatia,Household Appliances,8516,Average Revenue per User,Other Household Appliances,USD (US$),Statista,66.16,64.79,63.05,63.89,67.88,58.18,67.49,71.83,76.94,77.03,78.05
Croatia,Household Appliances,8516,Average Revenue per User,Small Appliances,USD (US$),Statista,26.77,26.23,25.56,25.95,27.61,23.97,27.7,29.44,31.61,31.66,32.1
Croatia,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),*Statista,billion USD (US$),,128.4,145.6,163.7,197.3,233.1,221.4,264.4,291.3,322.3,342.6,365.2
Croatia,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),Million Insights,billion USD (US$),,,,,316,329.6,,,,,,
Croatia,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),The BRC,billion USD (US$),,,,307.6,,,,433.4,,,,
Croatia,Household Appliances,8516,Online & Offline Split,Offline,percent,Statista,83.241,81.461,79.018,76.809,73.339,67.215,62.757,57.77,52.688,,
Croatia,Household Appliances,8516,Online & Offline Split,Online,percent,Statista,16.759,18.539,20.982,23.191,26.661,32.785,37.243,42.23,47.312,,
Croatia,Household Appliances,8516,Mobile/Desktop Split,Desktop,percent,Statista,59.493,57.98,56.682,55.607,54.74,54.057,53.529,53.125,52.822,,
Croatia,Household Appliances,8516,Mobile/Desktop Split,Mobile,percent,Statista,40.507,42.02,43.318,44.393,45.26,45.943,46.471,46.875,47.178,,
Croatia,Household Appliances,8516,Users,Total,million users,Statista,0.685,0.787,0.926,1.082,1.25,1.419,1.583,1.715,1.845,1.993,2.136
