Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Cuba,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Cuba,Household Appliances,8516,Revenue,Total,million USD (US$),Statista,37.72,47.95,61.6,89.16,120.1,134.4,172.5,208.3,251.3,276.5,305.5
Cuba,Household Appliances,8516,Revenue,Major Appliances,million USD (US$),Statista,18.88,23.99,30.79,44.55,59.82,66.96,85.79,103.3,124.6,137,151.4
Cuba,Household Appliances,8516,Revenue,Other Household Appliances,million USD (US$),Statista,8.208,10.44,13.41,19.4,26.14,29.25,37.53,45.32,54.68,60.17,66.49
Cuba,Household Appliances,8516,Revenue,Small Appliances,million USD (US$),Statista,10.63,13.53,17.4,25.21,34.13,38.18,49.14,59.61,72.01,79.26,87.63
Cuba,Household Appliances,8516,Revenue Change,Total,percent,Statista,,27.121,28.467,44.74,34.702,11.907,28.348,20.754,20.643,10.028,10.488
Cuba,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,27.066,28.345,44.69,34.276,11.936,28.121,20.41,20.62,9.952,10.511
Cuba,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,27.193,28.448,44.668,34.742,11.897,28.308,20.757,20.653,10.04,10.504
Cuba,Household Appliances,8516,Revenue Change,Small Appliances,percent,Statista,,27.281,28.603,44.885,35.383,11.866,28.706,21.306,20.802,10.068,10.56
Cuba,Household Appliances,8516,Average Revenue per User,Total,USD (US$),Statista,49.13,54.72,60.84,76.56,91.02,91.58,108.3,123.9,142,147.3,154.8
Cuba,Household Appliances,8516,Average Revenue per User,Major Appliances,USD (US$),Statista,61.49,68.43,76.03,95.63,113.4,114.1,134.7,153.7,176,182.6,191.7
Cuba,Household Appliances,8516,Average Revenue per User,Other Household Appliances,USD (US$),Statista,53.46,59.55,66.2,83.31,99.04,99.65,117.9,134.8,154.6,160.3,168.3
Cuba,Household Appliances,8516,Average Revenue per User,Small Appliances,USD (US$),Statista,17.3,19.3,21.49,27.06,32.34,32.52,38.58,44.33,50.88,52.8,55.49
Cuba,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),*Statista,billion USD (US$),,128.4,145.6,163.7,197.3,233.1,221.4,264.4,291.3,322.3,342.6,365.2
Cuba,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),Million Insights,billion USD (US$),,,,,316,329.6,,,,,,
Cuba,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),The BRC,billion USD (US$),,,,307.6,,,,433.4,,,,
Cuba,Household Appliances,8516,Online & Offline Split,Offline,percent,Statista,96.129,95.201,93.987,92.318,90.132,87.605,85.256,82.589,79.728,,
Cuba,Household Appliances,8516,Online & Offline Split,Online,percent,Statista,3.871,4.799,6.013,7.682,9.868,12.395,14.744,17.411,20.272,,
Cuba,Household Appliances,8516,Mobile/Desktop Split,Desktop,percent,Statista,77.453,78.993,79.488,78.807,77.015,74.359,71.194,67.884,64.729,,
Cuba,Household Appliances,8516,Mobile/Desktop Split,Mobile,percent,Statista,22.547,21.007,20.512,21.193,22.985,25.641,28.806,32.116,35.271,,
Cuba,Household Appliances,8516,Users,Total,million users,Statista,0.768,0.876,1.013,1.165,1.319,1.467,1.592,1.681,1.769,1.877,1.974
Cuba,Household Appliances,8516,Users,Major Appliances,million users,Statista,0.307,0.35,0.405,0.466,0.528,0.587,0.637,0.672,0.708,0.751,0.79
