Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Dell Technologies, Inc.",billion USD (US$),Statista Company DB,78.66,90.62,92.15,94.22,,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Hp, Inc.",billion USD (US$),Statista Company DB,52.06,58.47,58.76,56.64,63.49,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),Lenovo Group Ltd.,billion USD (US$),Statista Company DB,45.35,51.04,50.72,60.74,,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Samsung Electronics Co., Ltd.",billion USD (US$),Statista Company DB,214.8,223.3,198.8,201.6,248,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Cyprus,Household Appliances,8516,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Cyprus,Household Appliances,8516,Revenue,Total,million USD (US$),Statista,24.63,28.69,32.71,39.04,39.47,38.07,44,46.19,47.89,49.35,50.64
Cyprus,Household Appliances,8516,Revenue,Major Appliances,million USD (US$),Statista,12.56,14.66,16.75,20.01,20.22,19.56,22.51,23.63,24.5,25.23,25.87
Cyprus,Household Appliances,8516,Revenue,Other Household Appliances,million USD (US$),Statista,5.01,5.838,6.655,7.942,8.029,7.745,8.951,9.396,9.743,10.04,10.3
Cyprus,Household Appliances,8516,Revenue,Small Appliances,million USD (US$),Statista,7.058,8.193,9.31,11.09,11.22,10.76,12.53,13.16,13.65,14.09,14.47
Cyprus,Household Appliances,8516,Revenue Change,Total,percent,Statista,,16.484,14.012,19.352,1.101,-3.547,15.577,4.977,3.68,3.049,2.614
Cyprus,Household Appliances,8516,Revenue Change,Major Appliances,percent,Statista,,16.72,14.256,19.463,1.049,-3.264,15.082,4.976,3.682,2.98,2.537
Cyprus,Household Appliances,8516,Revenue Change,Other Household Appliances,percent,Statista,,16.527,13.995,19.339,1.095,-3.537,15.571,4.972,3.693,3.048,2.59
Cyprus,Household Appliances,8516,Revenue Change,Small Appliances,percent,Statista,,16.081,13.634,19.119,1.172,-4.1,16.45,5.028,3.723,3.223,2.697
Cyprus,Household Appliances,8516,Average Revenue per User,Total,USD (US$),Statista,117.4,120.5,119,122.5,107.9,91.18,95.12,92.16,88.66,84.77,81.25
Cyprus,Household Appliances,8516,Average Revenue per User,Major Appliances,USD (US$),Statista,149.7,153.9,152.3,157,138.2,117.1,121.7,117.9,113.4,108.5,104
Cyprus,Household Appliances,8516,Average Revenue per User,Other Household Appliances,USD (US$),Statista,119.5,122.5,121.1,124.6,109.7,92.75,96.76,93.75,90.19,86.36,82.89
Cyprus,Household Appliances,8516,Average Revenue per User,Small Appliances,USD (US$),Statista,42.08,43,42.33,43.52,38.33,32.22,33.87,32.82,31.59,30.24,29.02
Cyprus,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),*Statista,billion USD (US$),,128.4,145.6,163.7,197.3,233.1,221.4,264.4,291.3,322.3,342.6,365.2
Cyprus,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),Million Insights,billion USD (US$),,,,,316,329.6,,,,,,
Cyprus,Household Appliances,8516,Comparable Estimates - Household Appliances (Worldwide),The BRC,billion USD (US$),,,,307.6,,,,433.4,,,,
Cyprus,Household Appliances,8516,Online & Offline Split,Offline,percent,Statista,76.19,73.074,70.156,67.515,65.838,64.377,63.169,62.235,61.599,,
Cyprus,Household Appliances,8516,Online & Offline Split,Online,percent,Statista,23.81,26.926,29.844,32.485,34.162,35.623,36.831,37.765,38.401,,
Cyprus,Household Appliances,8516,Mobile/Desktop Split,Desktop,percent,Statista,56.766,55.138,53.913,53.106,52.752,52.49,52.343,52.264,52.227,,
Cyprus,Household Appliances,8516,Mobile/Desktop Split,Mobile,percent,Statista,43.234,44.862,46.087,46.894,47.248,47.51,47.657,47.736,47.773,,
Cyprus,Household Appliances,8516,Users,Total,million users,Statista,0.21,0.238,0.275,0.319,0.366,0.418,0.463,0.501,0.54,0.582,0.623
Cyprus,Household Appliances,8516,Users,Major Appliances,million users,Statista,0.084,0.095,0.11,0.127,0.146,0.167,0.185,0.2,0.216,0.233,0.249
Cyprus,Household Appliances,8516,Users,Other Household Appliances,million users,Statista,0.042,0.048,0.055,0.064,0.073,0.084,0.093,0.1,0.108,0.116,0.124
Cyprus,Household Appliances,8516,Users,Small Appliances,million users,Statista,0.168,0.191,0.22,0.255,0.293,0.334,0.37,0.401,0.432,0.466,0.499
Cyprus,Household Appliances,8516,Penetration Rate,Household Appliances,percent,Statista,17.774,20.028,22.934,26.387,30.095,34.131,37.579,40.484,43.398,46.532,49.569
Cyprus,Household Appliances,8516,Penetration Rate,Major Appliances,percent,Statista,7.109,8.011,9.174,10.555,12.038,13.652,15.032,16.194,17.359,18.59,19.782
Cyprus,Household Appliances,8516,Penetration Rate,Other Household Appliances,percent,Statista,3.555,4.006,4.587,5.277,6.019,6.826,7.516,8.097,8.68,9.292,9.884
Cyprus,Household Appliances,8516,Penetration Rate,Small Appliances,percent,Statista,14.219,16.022,18.347,21.11,24.076,27.305,30.064,32.387,34.719,37.226,39.656
Cyprus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Cyprus,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
