Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,21.968,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,29.748,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,24.256,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,13.272,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,10.755,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,59.725,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,40.275,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,39.645,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.994,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.361,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,51.13,60.69,72.3,94.4,117.5,130.7,165.3,199.6,242.9,264.7,291.1
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,6.388,7.401,8.571,10.87,13.06,14.35,17.88,21.22,25.3,27.49,30.1
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,2.989,4.431,6.435,10.06,15.09,16.88,21.42,25.86,31.39,34.73,38.52
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,5.647,6.522,7.568,10.33,12.83,15.82,22.18,29.71,40.14,43.81,48.94
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,36.11,42.33,49.73,63.13,76.51,83.64,103.8,122.8,146.1,158.7,173.5
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,18.697,19.13,30.567,24.47,11.234,26.473,20.75,21.693,8.975,9.974
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,15.858,15.809,26.823,20.147,9.877,24.599,18.68,19.227,8.656,9.494
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,48.244,45.227,56.333,50,11.862,26.896,20.728,21.384,10.64,10.913
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,15.495,16.038,36.496,24.201,23.305,40.202,33.95,35.106,9.143,11.71
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,17.225,17.482,26.946,21.194,9.319,24.103,18.304,18.974,8.624,9.326
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,35.22,35.13,36.93,42.35,47.51,48.3,56.77,64.73,74.58,77.23,81.19
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,6.287,6.12,6.253,6.97,7.544,7.577,8.775,9.829,11.1,11.46,11.99
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,3.218,4.008,5.135,7.056,9.531,9.748,11.49,13.11,15.06,15.83,16.79
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,10.24,9.935,10.17,12.2,13.66,15.39,20.05,25.36,32.43,33.63,35.92
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,40.12,39.52,40.97,45.68,49.9,49.86,57.51,64.23,72.35,74.68,78.07
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,96.083,95.539,94.903,93.283,92.171,91.375,90.334,88.939,87.261,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,3.917,4.461,5.097,6.717,7.829,8.625,9.666,11.061,12.739,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,76.083,71.196,65.743,60.796,57.389,55.717,54.009,53.625,53.249,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,23.917,28.804,34.257,39.204,42.611,44.283,45.991,46.375,46.751,,
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,Statista,1.452,1.728,1.958,2.229,2.473,2.706,2.912,3.083,3.257,3.428,3.586
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,Statista,1.016,1.209,1.371,1.56,1.731,1.894,2.038,2.158,2.28,2.399,2.51
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,Statista,0.929,1.106,1.253,1.426,1.583,1.732,1.863,1.973,2.085,2.194,2.295
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Household Care,million users,Statista,0.552,0.656,0.744,0.847,0.94,1.028,1.106,1.172,1.238,1.303,1.363
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Personal Care,million users,Statista,0.9,1.071,1.214,1.382,1.533,1.678,1.805,1.912,2.019,2.125,2.223
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,"Beauty, Health, Personal & Household Care",percent,Statista,13.807,16.257,18.232,20.546,22.577,24.473,26.099,27.401,28.708,29.97,31.113
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Beauty Care,percent,Statista,9.665,11.38,12.763,14.382,15.804,17.131,18.269,19.181,20.096,20.979,21.778
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Health Care,percent,Statista,8.837,10.404,11.669,13.149,14.449,15.663,16.703,17.537,18.373,19.18,19.91
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Household Care,percent,Statista,5.247,6.177,6.928,7.807,8.579,9.3,9.918,10.412,10.909,11.389,11.824
Dominican Republic,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Personal Care,percent,Statista,8.56,10.079,11.304,12.738,13.997,15.173,16.181,16.989,17.799,18.581,19.289
Dominican Republic,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,22.917,,,,,,
Dominican Republic,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,31.25,,,,,,
Dominican Republic,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.75,,,,,,
Dominican Republic,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,12.917,,,,,,
Dominican Republic,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,9.17,,,,,,
Dominican Republic,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,69.583,,,,,,
Dominican Republic,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,30.417,,,,,,
Dominican Republic,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,41.935,,,,,,
Dominican Republic,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,26.344,,,,,,
Dominican Republic,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.72,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Dominican Republic,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Dominican Republic,Personal Care,3304,Revenue,Total,million USD (US$),Statista,36.11,42.33,49.73,63.13,76.51,83.64,103.8,122.8,146.1,158.7,173.5
Dominican Republic,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,5.543,6.408,7.435,9.274,11.08,12.41,15.75,19.01,23.05,25.07,27.52
Dominican Republic,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,3.279,4.133,5.157,6.966,8.926,8.952,10.19,11.04,12.04,12.91,13.75
Dominican Republic,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,6.085,7.035,8.163,10.22,12.22,13.64,17.26,20.78,25.11,27.31,29.97
Dominican Republic,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,2.368,2.737,3.176,3.974,4.753,5.315,6.735,8.117,9.826,10.68,11.73
Dominican Republic,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,14.94,17.52,20.58,26.12,31.66,34.61,42.96,50.81,60.47,65.75,71.98
Dominican Republic,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,3.89,4.502,5.219,6.572,7.874,8.708,10.92,13.03,15.62,16.98,18.6
Dominican Republic,Personal Care,3304,Revenue Change,Total,percent,Statista,,17.225,17.482,26.946,21.194,9.319,24.103,18.304,18.974,8.624,9.326
Dominican Republic,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,15.605,16.027,24.734,19.474,12.004,26.914,20.698,21.252,8.764,9.773
Dominican Republic,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,26.045,24.776,35.079,28.137,0.291,13.829,8.342,9.058,7.226,6.507
Dominican Republic,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,15.612,16.034,25.199,19.569,11.62,26.54,20.394,20.837,8.761,9.74
Dominican Republic,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,15.583,16.039,25.126,19.602,11.824,26.717,20.52,21.055,8.691,9.831
Dominican Republic,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,17.269,17.466,26.919,21.21,9.318,24.126,18.273,19.012,8.732,9.475
Dominican Republic,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,15.733,15.926,25.925,19.811,10.592,25.402,19.322,19.877,8.707,9.541
Dominican Republic,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,40.12,39.52,40.97,45.68,49.9,49.86,57.51,64.23,72.35,74.68,78.07
Dominican Republic,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,9.058,8.798,9.007,9.869,10.62,10.88,12.83,14.63,16.79,17.35,18.2
Dominican Republic,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,7.286,7.718,8.497,10.08,11.64,10.67,11.29,11.55,11.92,12.15,12.37
Dominican Republic,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,13,12.63,12.93,14.22,15.33,15.64,18.39,20.9,23.92,24.71,25.92
Dominican Republic,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,5.369,5.215,5.339,5.869,6.326,6.466,7.614,8.666,9.93,10.26,10.77
Dominican Republic,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,36.89,36.35,37.67,42.01,45.89,45.85,52.88,59.07,66.54,68.75,71.94
Dominican Republic,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,9.824,9.552,9.77,10.81,11.67,11.8,13.74,15.49,17.58,18.15,19.02
Dominican Republic,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Dominican Republic,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Dominican Republic,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Dominican Republic,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,93.142,92.353,91.464,88.814,87.544,86.614,85.499,83.885,82.008,,
Dominican Republic,Personal Care,3304,Online & Offline Split,Online,percent,Statista,6.858,7.647,8.536,11.186,12.456,13.386,14.501,16.115,17.992,,
Dominican Republic,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,76.083,71.196,65.743,60.796,57.389,55.717,54.009,53.625,53.249,,
Dominican Republic,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,23.917,28.804,34.257,39.204,42.611,44.283,45.991,46.375,46.751,,
Dominican Republic,Personal Care,3304,Users,Total,million users,Statista,0.9,1.071,1.214,1.382,1.533,1.678,1.805,1.912,2.019,2.125,2.223
Dominican Republic,Personal Care,3304,Users,Body Care,million users,Statista,0.612,0.728,0.825,0.94,1.043,1.141,1.228,1.3,1.373,1.445,1.512
Dominican Republic,Personal Care,3304,Users,Eye Care,million users,Statista,0.45,0.536,0.607,0.691,0.767,0.839,0.903,0.956,1.01,1.063,1.112
Dominican Republic,Personal Care,3304,Users,Hair Care,million users,Statista,0.468,0.557,0.631,0.719,0.797,0.872,0.939,0.994,1.05,1.105,1.156
Dominican Republic,Personal Care,3304,Users,Oral Care,million users,Statista,0.441,0.525,0.595,0.677,0.751,0.822,0.885,0.937,0.99,1.041,1.089
Dominican Republic,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.405,0.482,0.546,0.622,0.69,0.755,0.812,0.86,0.909,0.956,1
Dominican Republic,Personal Care,3304,Users,Skin Care,million users,Statista,0.396,0.471,0.534,0.608,0.675,0.738,0.794,0.841,0.889,0.935,0.978
Dominican Republic,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,5.821,6.854,7.687,8.662,9.518,10.318,11.003,11.552,12.103,12.636,13.118
Dominican Republic,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,4.28,5.04,5.652,6.369,6.999,7.587,8.091,8.494,8.899,9.291,9.646
Dominican Republic,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,4.451,5.241,5.878,6.624,7.279,7.89,8.414,8.834,9.255,9.663,10.031
Dominican Republic,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,4.195,4.939,5.539,6.242,6.859,7.435,7.929,8.324,8.721,9.105,9.453
Dominican Republic,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,3.852,4.536,5.087,5.732,6.299,6.828,7.282,7.645,8.009,8.362,8.681
Dominican Republic,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,8.56,10.079,11.304,12.738,13.997,15.173,16.181,16.989,17.799,18.581,19.289
Dominican Republic,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,3.767,4.435,4.974,5.605,6.159,6.676,7.12,7.475,7.832,8.176,8.488
