Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Ecuador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Ecuador,Personal Care,3304,Revenue,Total,million USD (US$),Statista,85.54,103.9,129.3,170.7,229.3,240.5,287.5,323.7,366.2,400.4,436.1
Ecuador,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,13.44,16.58,20.92,28.02,36.65,38.66,46.52,52.66,59.97,65.6,71.55
Ecuador,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,12.21,13.82,16.06,18.59,24.93,25.36,28.87,31.09,33,35.63,38.07
Ecuador,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,12.17,15.2,19.37,26.25,35.12,37.23,45.04,51.28,58.77,64.4,70.39
Ecuador,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,5.668,7.063,8.984,12.15,16.28,17.2,20.73,23.53,26.9,29.46,32.18
Ecuador,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,22.47,27.9,35.4,47.71,63.25,66.86,80.65,91.57,104.6,114.5,125.1
Ecuador,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,19.57,23.34,28.59,37.96,53.04,55.23,65.65,73.6,82.93,90.73,98.79
Ecuador,Personal Care,3304,Revenue Change,Total,percent,Statista,,21.464,24.447,32.019,34.329,4.884,19.543,12.591,13.129,9.339,8.916
Ecuador,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,23.363,26.176,33.939,30.799,5.484,20.331,13.199,13.882,9.388,9.07
Ecuador,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,13.186,16.208,15.753,34.104,1.725,13.841,7.69,6.143,7.97,6.848
Ecuador,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,24.897,27.434,35.519,33.79,6.008,20.978,13.854,14.606,9.58,9.301
Ecuador,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,24.612,27.198,35.24,33.992,5.651,20.523,13.507,14.322,9.517,9.233
Ecuador,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,24.166,26.882,34.774,32.572,5.708,20.625,13.54,14.23,9.465,9.258
Ecuador,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,19.264,22.494,32.774,39.726,4.129,18.867,12.11,12.677,9.406,8.884
Ecuador,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,120.2,120.9,128,145.6,171.2,159.6,174,182.5,193.3,197.6,202.8
Ecuador,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,27.78,28.38,30.45,35.14,40.25,37.73,41.4,43.67,46.57,47.62,48.93
Ecuador,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,34.33,32.17,31.78,31.71,37.24,33.67,34.95,35.06,34.85,35.17,35.4
Ecuador,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,32.89,34.01,36.87,43.05,50.43,47.51,52.42,55.6,59.67,61.12,62.94
Ecuador,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,16.25,16.78,18.15,21.15,24.82,23.29,25.6,27.07,28.98,29.68,30.54
Ecuador,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,70.17,72.16,77.85,90.42,105,98.61,108.5,114.7,122.7,125.6,129.2
Ecuador,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,62.5,61.75,64.31,73.58,90.03,83.3,90.31,94.31,99.52,101.8,104.4
Ecuador,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
