Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Egypt,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,23.162,,,,,,
Egypt,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,38.603,,,,,,
Egypt,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,19.485,,,,,,
Egypt,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,15.809,,,,,,
Egypt,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,2.94,,,,,,
Egypt,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,70.956,,,,,,
Egypt,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,29.044,,,,,,
Egypt,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,44.39,,,,,,
Egypt,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.317,,,,,,
Egypt,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,28.293,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Egypt,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Egypt,Personal Care,3304,Revenue,Total,million USD (US$),Statista,121.9,155.4,216.4,377.8,575.2,616.5,775.2,916.7,"1,092","1,208","1,335"
Egypt,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,17.4,22.43,31.83,56.92,88.21,94.99,120,142.6,170.7,189.1,209.4
Egypt,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,4.117,5.715,7.611,10.22,13.08,12.82,14.74,15.95,17.39,18.5,19.57
Egypt,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,15.57,20.07,28.48,51.09,79.19,85.29,107.8,128.1,153.3,169.8,188.1
Egypt,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,6.581,8.484,12.04,21.57,33.43,36.16,45.87,54.74,65.78,72.86,80.74
Egypt,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,51.96,66.24,92.24,161,245.2,262.8,330.4,390.8,465.4,515,569.7
Egypt,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,26.27,32.45,44.19,76.92,116.1,124.5,156.3,184.6,219.2,242.4,268
Egypt,Personal Care,3304,Revenue Change,Total,percent,Statista,,27.482,39.254,74.584,52.25,7.18,25.742,18.253,19.123,10.623,10.513
Egypt,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,28.908,41.908,78.825,54.972,7.686,26.329,18.833,19.705,10.779,10.735
Egypt,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,38.815,33.176,34.279,27.984,-1.988,14.977,8.209,9.028,6.383,5.784
Egypt,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,28.902,41.903,79.389,55.001,7.703,26.392,18.831,19.672,10.763,10.777
Egypt,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,28.917,41.914,79.153,54.984,8.166,26.853,19.337,20.168,10.763,10.815
