Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
El Salvador,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
El Salvador,Personal Care,3304,Revenue,Total,million USD (US$),Statista,28.36,36.99,46.55,65.08,88.48,91.78,108.7,121.3,136.1,149.2,162.6
El Salvador,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,5.04,6.628,8.396,11.74,15.19,15.83,18.82,21.07,23.71,25.97,28.29
El Salvador,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,0.987,1.174,1.376,1.712,2.241,2.249,2.551,2.744,2.956,3.173,3.38
El Salvador,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,4.556,6.037,7.694,10.86,14.51,15.13,18.02,20.23,22.83,25.05,27.33
El Salvador,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,2.081,2.762,3.526,4.982,6.706,6.993,8.324,9.338,10.54,11.56,12.62
El Salvador,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,8.422,11.13,14.15,19.89,26.26,27.38,32.57,36.52,41.17,45.14,49.22
El Salvador,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,7.272,9.258,11.41,15.89,23.58,24.2,28.38,31.38,34.91,38.34,41.75
El Salvador,Personal Care,3304,Revenue Change,Total,percent,Statista,,30.43,25.845,39.807,35.956,3.73,18.435,11.592,12.201,9.625,8.981
El Salvador,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,31.508,26.675,39.828,29.387,4.213,18.888,11.955,12.53,9.532,8.933
El Salvador,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,18.958,17.206,24.419,30.9,0.357,13.428,7.566,7.726,7.341,6.524
El Salvador,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,32.507,27.447,41.149,33.61,4.273,19.101,12.264,12.852,9.724,9.102
