Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Estonia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Estonia,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,39.38,40.37,42.64,47.75,55.01,49.5,62.67,69.63,77.47,81.01,85.39
Estonia,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,27.07,27.63,28.93,32.16,36.81,33.12,41.94,46.62,51.88,53.57,55.84
Estonia,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,4.103,4.324,4.579,5.633,6.467,5.827,7.408,8.304,9.192,9.551,9.989
Estonia,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,71.85,73.76,78.59,87.41,101.5,91.26,115.5,128,142.5,147.3,153.7
Estonia,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,7.158,8.052,9.218,11.31,13.9,13.3,17.67,20.43,23.57,25.55,27.8
