Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Ethiopia,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Ethiopia,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,4.12,4.294,4.41,5.374,5.674,5.389,5.924,6.281,6.808,6.82,6.911
Ethiopia,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,1.732,1.781,1.808,2.224,2.287,2.172,2.391,2.542,2.762,2.765,2.802
Ethiopia,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,0.224,0.208,0.191,0.368,0.332,0.29,0.301,0.307,0.318,0.318,0.32
Ethiopia,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,11.09,11.69,12.12,14.38,15.5,14.78,16.28,17.27,18.73,18.77,19.03
Ethiopia,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,9.931,14.18,19.64,31.2,41.41,47.23,60.67,73.28,89.32,98.58,109.3
Ethiopia,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,2.923,4.115,5.637,9.039,11.68,13.33,17.14,20.76,25.37,27.98,31
Ethiopia,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,0.325,0.413,0.51,1.283,1.455,1.527,1.852,2.15,2.501,2.76,3.036
Ethiopia,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,6.683,9.649,13.49,20.87,28.27,32.38,41.67,50.37,61.45,67.85,75.22
Ethiopia,Beauty Care,3305,Revenue Change,Total,percent,Statista,,42.785,38.505,58.859,32.724,14.055,28.456,20.785,21.889,10.367,10.874
Ethiopia,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,40.78,36.987,60.351,29.218,14.127,28.582,21.12,22.206,10.288,10.793
Ethiopia,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,27.211,23.668,151.322,13.406,4.948,21.284,16.091,16.326,10.356,10
Ethiopia,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,44.381,39.807,54.707,35.458,14.538,28.691,20.878,21.997,10.415,10.862
Ethiopia,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Ethiopia,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Ethiopia,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Ethiopia,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,98.547,98.024,97.4,95.958,94.967,94.234,93.403,92.421,91.227,,
