Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Fiji,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Fiji,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,49.68,48.61,48.88,52.63,59.49,54.77,58.79,61.33,64.53,64.91,65.74
Fiji,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,27.3,26.63,26.7,28.58,31.95,29.46,31.66,33.07,34.84,35.03,35.48
Fiji,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,4.642,4.199,3.913,3.792,3.963,3.761,4.126,4.395,4.705,4.699,4.752
Fiji,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,111.1,109.8,111.3,121.4,139,127.6,136.6,142.2,149.3,150.3,152.3
Fiji,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,1.49,1.832,2.332,3.044,4.109,4.397,5.318,6.073,6.934,7.598,8.302
Fiji,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,0.573,0.703,0.892,1.157,1.545,1.656,2.005,2.292,2.621,2.87,3.135
Fiji,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,0.084,0.095,0.112,0.132,0.164,0.181,0.224,0.261,0.303,0.33,0.36
Fiji,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,0.833,1.035,1.328,1.755,2.4,2.56,3.09,3.519,4.01,4.398,4.806
Fiji,Beauty Care,3305,Revenue Change,Total,percent,Statista,,22.953,27.293,30.532,34.987,7.009,20.946,14.197,14.178,9.576,9.266
Fiji,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,22.635,26.925,29.723,33.535,7.184,21.075,14.314,14.354,9.5,9.233
Fiji,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,13.735,17.92,17.5,24.848,10.286,23.565,16.615,16.201,8.767,9.091
Fiji,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,24.205,28.309,32.154,36.752,6.667,20.703,13.883,13.953,9.676,9.277
