Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,11.658,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.027,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,24.92,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,19.679,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,18.717,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,64.492,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,35.508,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.318,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,29.506,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.176,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,393.3,409.6,427.7,532.1,547.6,552.7,708.9,835.5,985.2,"1,053","1,139"
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,53.78,56.34,58.95,72.35,74.14,75.41,97.25,115,135.7,145.1,157.1
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,46.52,49.45,52.7,73.7,78.71,78.93,100.5,117.5,137.4,148,160.6
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,24.62,25.34,26.19,32.95,33.68,37.58,53.53,70.39,93.02,100.2,110.8
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,268.4,278.4,289.8,353.1,361.1,360.8,457.6,532.5,619,659.6,710.8
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,4.144,4.419,24.41,2.913,0.931,28.261,17.859,17.917,6.882,8.167
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,4.76,4.633,22.731,2.474,1.713,28.962,18.252,18,6.927,8.27
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,6.298,6.572,39.848,6.798,0.28,27.328,16.915,16.936,7.715,8.514
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,2.924,3.354,25.811,2.215,11.58,42.443,31.496,32.149,7.719,10.579
Finland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,3.726,4.095,21.843,2.266,-0.083,26.829,16.368,16.244,6.559,7.762
Finland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,288,281.4,270.1,311.9,296.3,282.8,347.7,395,451.3,465.5,488.4
Finland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,56.26,55.29,53.19,60.59,57.3,55.12,68.14,77.68,88.8,91.65,96.22
Finland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,53.23,53.08,52.02,67.51,66.53,63.1,77.02,86.84,98.36,102.2,107.6
Finland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,47.44,45.81,43.54,50.83,47.95,50.61,69.09,87.59,112.1,116.6,125
Finland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,317,308.5,295.3,333.9,315.1,297.8,362,406.1,457.4,470.4,491.6
Finland,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Finland),*Statista,billion USD (US$),,4.875,5.24,5.655,7.427,8.022,7.394,9.376,10.56,11.92,12.68,13.55
Finland,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Finland),Finnish eCommerce Federation,billion USD (US$),,,,5.038,,,,,,,,
Finland,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,84.53,84.204,83.86,79.648,79.844,77.721,75.305,72.509,69.491,,
Finland,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,15.47,15.796,16.14,20.352,20.156,22.279,24.695,27.491,30.509,,
Finland,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,68.786,67.056,65.632,64.557,63.694,63.104,62.609,62.175,61.74,,
Finland,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,31.214,32.944,34.368,35.443,36.306,36.896,37.391,37.825,38.26,,
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,Statista,1.366,1.456,1.583,1.706,1.848,1.954,2.039,2.115,2.183,2.262,2.333
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,Statista,0.956,1.019,1.108,1.194,1.294,1.368,1.427,1.481,1.528,1.583,1.633
Finland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,Statista,0.874,0.932,1.013,1.092,1.183,1.251,1.305,1.354,1.397,1.448,1.493
