Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
France,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
France,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,62.74,61.8,60.25,76.93,84.06,76.93,93.46,103.5,114.9,120.1,126.6
France,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,64.27,63.17,61.45,77.94,83.57,77.08,94.34,105.1,117.4,122.7,129.5
France,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,35.97,35.36,34.4,43.45,46.47,42.4,51.33,56.58,62.51,65.25,68.66
France,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,27.77,27.29,26.55,33.55,35.89,32.75,39.65,43.71,48.29,50.41,53.04
France,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,2.592,2.548,2.479,5.272,9.298,8.046,9.239,9.66,10.12,10.76,11.31
France,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,11.79,12.1,12.28,13.96,14.14,14.05,18.54,22.31,26.94,28.21,30.17
France,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,65.64,64.66,63.04,80.49,87.95,80.48,97.79,108.2,120.2,125.7,132.5
France,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,12.81,12.59,12.25,15.48,16.55,15,18.04,19.75,21.67,22.6,23.74
France,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,7.097,6.976,6.786,8.582,9.185,8.369,10.12,11.14,12.29,12.83,13.49
