Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Gambia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Gambia,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,6.927,5.752,4.985,4.801,4.946,5.214,6.218,6.671,6.781,6.835,6.903
Gambia,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.837,0.733,0.713,0.791,1.078,1.388,1.809,1.97,1.97,2.041,2.093
Gambia,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.308,0.272,0.269,0.305,0.425,0.558,0.737,0.81,0.814,0.844,0.867
Gambia,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.245,0.218,0.219,0.256,0.368,0.488,0.645,0.705,0.704,0.73,0.748
Gambia,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,2.18,1.995,1.884,2.313,2.251,2.336,2.908,3.382,3.754,3.796,3.893
Gambia,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.632,0.538,0.492,0.481,0.586,0.74,0.936,1.013,1.015,1.041,1.062
Gambia,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,9.484,7.872,6.815,6.56,6.734,7.064,8.409,9.02,9.174,9.26,9.367
