Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Georgia,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Georgia,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,12.59,10.88,9.748,9.644,10.39,10.32,12.23,12.64,12.62,12.83,13
Georgia,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,1.54,1.493,1.707,2.245,3.589,4.447,5.664,5.867,5.749,6.07,6.275
Georgia,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.804,0.768,0.852,1.08,1.673,2.03,2.557,2.635,2.575,2.712,2.798
Georgia,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.737,0.712,0.816,1.076,1.709,2.085,2.614,2.676,2.6,2.745,2.833
Georgia,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,4.414,4.223,4.091,5.186,4.878,4.501,5.464,6.162,6.793,6.875,7.054
Georgia,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.404,0.387,0.421,0.558,0.86,1.164,1.672,1.909,1.983,2.09,2.183
Georgia,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,15.35,13.24,11.85,11.69,12.53,12.37,14.59,15.04,14.99,15.17,15.31
Georgia,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,6.473,5.057,3.971,3.016,2.71,2.196,2.156,1.837,1.468,1.339,1.202
