Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Ghana,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Ghana,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,4.949,4.114,3.567,3.175,3.306,3.488,4.099,4.318,4.321,4.352,4.384
Ghana,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,1.146,0.987,0.917,0.892,1.12,1.382,1.774,1.936,1.957,2.019,2.07
Ghana,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.403,0.347,0.321,0.311,0.388,0.478,0.614,0.671,0.679,0.701,0.718
Ghana,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.464,0.396,0.364,0.35,0.433,0.526,0.666,0.72,0.723,0.744,0.761
Ghana,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.762,0.679,0.625,0.74,0.673,0.652,0.758,0.84,0.901,0.906,0.921
Ghana,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.127,0.126,0.152,0.215,0.367,0.591,0.857,0.999,1.046,1.098,1.143
Ghana,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,6.651,5.523,4.777,4.231,4.366,4.552,5.305,5.563,5.554,5.583,5.615
Ghana,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,4.42,3.567,2.974,2.413,2.362,2.301,2.53,2.545,2.463,2.425,2.393
Ghana,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,1.583,1.33,1.155,0.98,1.009,1.033,1.183,1.227,1.217,1.218,1.22
Ghana,Health Care,3003,Revenue,Total,million USD (US$),Statista,4.744,4.951,5.283,5.759,7,8.382,11,12.72,13.88,15.18,16.48
Ghana,Health Care,3003,Revenue,Analgesics,million USD (US$),Statista,0.22,0.238,0.272,0.324,0.474,0.664,0.952,1.141,1.257,1.408,1.556
Ghana,Health Care,3003,Revenue,Cold & Cough Remedies,million USD (US$),Statista,0.155,0.167,0.19,0.226,0.329,0.46,0.659,0.791,0.873,0.977,1.079
Ghana,Health Care,3003,Revenue,Digestives & Intestinal Remedies,million USD (US$),Statista,0.133,0.143,0.162,0.191,0.275,0.379,0.536,0.636,0.696,0.779,0.858
Ghana,Health Care,3003,Revenue,Hand Sanitizer,million USD (US$),Statista,0.292,0.327,0.37,0.537,0.57,0.626,0.814,0.99,1.158,1.263,1.384
Ghana,Health Care,3003,Revenue,Incontinence,million USD (US$),Statista,0.024,0.03,0.045,0.078,0.156,0.284,0.46,0.589,0.672,0.765,0.859
Ghana,Health Care,3003,Revenue,Other Health Care,million USD (US$),Statista,1.466,1.529,1.627,1.765,2.126,2.516,3.275,3.769,4.102,4.478,4.853
Ghana,Health Care,3003,Revenue,Skin Treatment,million USD (US$),Statista,1.695,1.717,1.762,1.751,2.001,2.212,2.716,2.998,3.164,3.383,3.597
Ghana,Health Care,3003,Revenue,Vitamins & Minerals,million USD (US$),Statista,0.759,0.8,0.855,0.889,1.068,1.241,1.588,1.806,1.954,2.124,2.294
Ghana,Health Care,3003,Revenue Change,Total,percent,Statista,,4.363,6.706,9.01,21.549,19.743,31.234,15.636,9.119,9.366,8.564
Ghana,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,8.242,14.262,19.146,46.601,40.008,43.391,19.803,10.167,12.013,10.511
Ghana,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,7.951,13.892,18.559,45.898,39.726,43.463,19.939,10.329,11.986,10.406
Ghana,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,7.277,13.217,17.665,44.409,37.841,41.429,18.59,9.465,11.864,10.221
Ghana,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,11.871,13.242,44.91,6.224,9.912,29.944,21.57,17.005,9.067,9.58
Ghana,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,24.138,48.611,73.854,99.155,82.519,61.937,27.963,14.189,13.914,12.253
Ghana,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,4.297,6.409,8.482,20.453,18.344,30.167,15.084,8.835,9.166,8.374
Ghana,Health Care,3003,Revenue Change,Skin Treatment,percent,Statista,,1.298,2.621,-0.624,14.278,10.545,22.785,10.383,5.537,6.922,6.326
Ghana,Health Care,3003,Revenue Change,Vitamins & Minerals,percent,Statista,,5.443,6.887,3.941,20.148,16.199,27.961,13.728,8.195,8.7,8.004
Ghana,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Ghana,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Ghana,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Ghana,Health Care,3003,Online & Offline Split,Offline,percent,Statista,96.053,96.025,95.905,95.496,94.831,93.775,92.604,91.76,91.3,,
Ghana,Health Care,3003,Online & Offline Split,Online,percent,Statista,3.947,3.975,4.095,4.504,5.169,6.225,7.396,8.24,8.7,,
Ghana,Health Care,3003,Mobile/Desktop Split,Desktop,percent,Statista,69.18,65.367,62.166,59.254,56.928,54.996,53.199,51.715,50.254,,
Ghana,Health Care,3003,Mobile/Desktop Split,Mobile,percent,Statista,30.82,34.633,37.834,40.746,43.072,45.004,46.801,48.285,49.746,,
Ghana,Health Care,3003,Users by Segment,Total,million users,Statista,0.959,1.203,1.481,1.814,2.117,2.403,2.684,2.945,3.211,3.488,3.759
