Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Greece,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Greece,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,43.9,52.63,62.47,79.06,99.78,90.53,116.7,135.9,159.1,166.4,176.5
Greece,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,7.05,8.393,9.891,13.26,17.36,15.39,19.38,22.05,25.25,26.46,27.99
Greece,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,8.061,9.597,11.31,15.58,20.81,18.35,22.99,26.02,29.64,31.09,32.88
Greece,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,17.33,21.03,25.27,30.48,37.29,35.35,47.44,57.3,69.38,72.52,77.24
Greece,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,20.8,24.76,29.18,36.18,44.86,39.98,50.66,57.98,66.79,69.78,73.75
Greece,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,82.89,99.37,118,149.3,188.4,170.9,220.4,256.5,300.3,314.1,333
Greece,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,2.756,3.344,4.019,4.974,6.191,5.841,7.814,9.418,11.39,11.92,12.69
Greece,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,4.896,5.829,6.87,8.436,10.39,9.23,11.66,13.3,15.27,15.94,16.84
Greece,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,12.63,15.33,18.42,22.96,28.73,26.98,35.91,43.06,51.84,54.24,57.75
Greece,Household Care,3402,Revenue,Total,million USD (US$),Statista,29.4,39.56,52.51,73.74,102.5,101.5,139.8,170.8,209.3,230,254.6
Greece,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,1.983,2.649,3.492,5.193,7.491,7.243,9.754,11.64,13.96,15.36,16.97
Greece,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,2.43,3.246,4.278,6.538,9.618,9.252,12.4,14.72,17.55,19.34,21.35
Greece,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,2.669,3.635,4.885,6.539,8.81,9.111,13.08,16.57,21,23.06,25.65
Greece,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,5.572,7.444,9.81,13.5,18.43,17.92,24.28,29.15,35.16,38.59,42.57
Greece,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,12.21,16.43,21.81,30.63,42.58,42.14,58.09,70.94,86.95,95.56,105.8
Greece,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.591,0.804,1.081,1.484,2.035,2.095,2.996,3.788,4.797,5.272,5.863
Greece,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.984,1.314,1.732,2.36,3.202,3.103,4.19,5.015,6.028,6.613,7.29
Greece,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,2.96,4.032,5.418,7.494,10.33,10.58,15.06,18.95,23.87,26.24,29.17
Greece,Household Care,3402,Revenue Change,Total,percent,Statista,,34.558,32.735,40.43,39.002,-0.976,37.734,22.175,22.541,9.89,10.696
Greece,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,33.585,31.823,48.711,44.252,-3.311,34.668,19.336,19.931,10.029,10.482
Greece,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,33.58,31.793,52.828,47.109,-3.805,34.025,18.71,19.226,10.199,10.393
