Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Guinea,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Guinea,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,11.55,11.55,15.17,17.08,18.65,18.34,21.06,23.57,26.96,26.98,27.53
Guinea,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,1.537,1.598,2.247,2.701,2.994,2.918,3.333,3.706,4.206,4.219,4.304
Guinea,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,1.717,1.811,2.584,3.256,3.667,3.6,4.136,4.625,5.276,5.295,5.408
Guinea,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,11.5,9.378,7.642,6.23,5.596,4.933,4.771,4.358,3.982,3.848,3.707
Guinea,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,5.98,6.328,9.037,10.24,11.3,11.19,12.97,14.64,16.85,16.88,17.25
Guinea,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,18.81,19.85,28.3,32.94,36.5,36.01,41.59,46.77,53.64,53.77,54.93
Guinea,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.06,0.05,0.04,0.03,0.025,0.022,0.02,0.06,0.119,0.113,0.117
Guinea,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,1.958,2.082,2.984,3.349,3.694,3.663,4.253,4.806,5.537,5.548,5.668
Guinea,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,0.994,1.047,1.587,1.977,2.271,2.434,3.07,3.783,4.752,4.744,4.889
Guinea,Household Care,3402,Revenue,Total,thousand USD (US$),Statista,"1,325","1,701","2,906","4,244","5,752","6,960","9,555","12,470","16,330","18,000","20,130"
Guinea,Household Care,3402,Revenue,Dishwashing Detergents,thousand USD (US$),Statista,74.1,98.82,180.9,281.8,387.7,465.2,635.2,823.2,"1,070","1,182","1,322"
Guinea,Household Care,3402,Revenue,Household Cleaners,thousand USD (US$),Statista,88.69,120,222.8,364.1,508.9,615,844.6,"1,101","1,438","1,589","1,780"
Guinea,Household Care,3402,Revenue,Household Paper,thousand USD (US$),Statista,303.6,317.7,336.8,356,396.9,430.7,498,530.1,554.9,590.2,623.6
Guinea,Household Care,3402,Revenue,Laundry Care,thousand USD (US$),Statista,274.5,372.8,692.6,"1,018","1,393","1,699","2,355","3,097","4,084","4,505","5,047"
Guinea,Household Care,3402,Revenue,Other Household Care,thousand USD (US$),Statista,474.9,643.2,"1,193","1,800","2,476","3,007","4,153","5,441","7,150","7,890","8,838"
Guinea,Household Care,3402,Revenue,Paper Tissues,thousand USD (US$),Statista,2.221,2.341,2.464,2.4,2.501,2.679,2.972,10.15,23.02,24,27.49
Guinea,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",thousand USD (US$),Statista,67.41,92,171.6,249.6,341.7,417.2,579,762.5,"1,007","1,110","1,244"
Guinea,Household Care,3402,Revenue,Toilet Paper,thousand USD (US$),Statista,39.92,53.98,106.4,171.9,245.1,323.4,487.6,700.3,"1,008","1,107","1,252"
Guinea,Household Care,3402,Revenue Change,Total,percent,Statista,,28.377,70.841,46.043,35.533,21.001,37.284,30.508,30.954,10.227,11.833
Guinea,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,33.36,83.06,55.777,37.58,19.99,36.543,29.597,29.981,10.467,11.844
Guinea,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,35.303,85.667,63.42,39.769,20.849,37.333,30.358,30.609,10.501,12.02
Guinea,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,4.644,6.012,5.701,11.489,8.516,15.626,6.446,4.678,6.362,5.659
Guinea,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,35.811,85.783,46.982,36.837,21.967,38.611,31.507,31.87,10.309,12.031
Guinea,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,35.439,85.479,50.88,37.556,21.446,38.111,31.014,31.41,10.35,12.015
Guinea,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,5.403,5.254,-2.597,4.208,7.117,10.937,241.521,126.798,4.257,14.542
Guinea,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,36.478,86.522,45.455,36.899,22.095,38.782,31.693,32.066,10.228,12.072
Guinea,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,35.22,97.11,61.56,42.583,31.946,50.773,43.622,43.938,9.821,13.098
Guinea,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Guinea,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Guinea,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Guinea,Household Care,3402,Online & Offline Split,Offline,percent,Statista,99.091,98.878,98.166,97.442,96.705,96.028,95.079,93.875,92.352,,
Guinea,Household Care,3402,Online & Offline Split,Online,percent,Statista,0.909,1.122,1.834,2.558,3.295,3.972,4.921,6.125,7.648,,
Guinea,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,78.854,77.012,58.833,53.404,48.363,43.87,39.62,35.954,32.544,,
Guinea,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,21.146,22.988,41.167,46.596,51.637,56.13,60.38,64.046,67.456,,
Guinea,Household Care,3402,Users by Segment,Total,million users,Statista,0.115,0.147,0.192,0.248,0.308,0.38,0.454,0.529,0.606,0.667,0.732
Guinea,Household Care,3402,Users by Segment,Dishwashing Detergents,million users,Statista,0.048,0.062,0.08,0.104,0.13,0.159,0.191,0.222,0.254,0.28,0.307
Guinea,Household Care,3402,Users by Segment,Household Cleaners,million users,Statista,0.052,0.066,0.086,0.112,0.139,0.171,0.204,0.238,0.273,0.3,0.329
Guinea,Household Care,3402,Users by Segment,Household Paper,million users,Statista,0.026,0.034,0.044,0.057,0.071,0.087,0.104,0.122,0.139,0.153,0.168
Guinea,Household Care,3402,Users by Segment,Laundry Care,million users,Statista,0.046,0.059,0.077,0.099,0.123,0.152,0.182,0.212,0.242,0.267,0.293
Guinea,Household Care,3402,Users by Segment,Other Household Care,million users,Statista,0.025,0.032,0.042,0.055,0.068,0.084,0.1,0.116,0.133,0.147,0.161
Guinea,Household Care,3402,Users by Segment,Paper Tissues,million users,Statista,0.037,0.047,0.061,0.079,0.099,0.121,0.145,0.169,0.194,0.213,0.234
Guinea,Household Care,3402,Users by Segment,"Polishes, Room Scents & Insecticides",million users,Statista,0.034,0.044,0.057,0.075,0.093,0.114,0.136,0.159,0.182,0.2,0.219
Guinea,Household Care,3402,Users by Segment,Toilet Paper,million users,Statista,0.04,0.052,0.067,0.087,0.108,0.133,0.159,0.185,0.212,0.233,0.256
Guinea,Household Care,3402,Penetration Rate by Segment,Dishwashing Detergents,percent,Statista,0.399,0.498,0.63,0.795,0.959,1.15,1.339,1.52,1.696,1.819,1.945
Guinea,Household Care,3402,Penetration Rate by Segment,Household Care,percent,Statista,0.951,1.186,1.5,1.892,2.284,2.738,3.187,3.618,4.038,4.332,4.631
