Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Guyana,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Guyana,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,54.71,53.19,50,35.29,42.64,41.66,44.5,49.65,56.53,55.91,56.69
Guyana,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,5.464,5.67,5.571,4.548,5.954,5.737,6.173,6.955,8.025,7.971,8.115
Guyana,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,6.815,7.135,7.058,5.982,7.929,7.628,8.193,9.23,10.65,10.58,10.78
Guyana,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,98.17,85.33,72.49,39.06,39.16,37.99,36.81,36.35,35.09,34.18,33.47
Guyana,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,20.34,21.34,21.19,16.24,20.28,19.82,21.63,24.78,29.06,28.79,29.34
Guyana,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,61.71,64.62,64.05,50.47,64.29,62.45,67.77,77.16,89.93,89.2,90.87
Guyana,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,1.098,0.965,0.821,0.448,0.43,0.381,0.346,0.333,0.318,0.304,0.293
Guyana,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,6.748,7.096,7.058,5.326,6.631,6.465,7.042,8.063,9.449,9.362,9.539
Guyana,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,7.669,7.942,8.176,6.76,9.094,9.586,11.35,13.72,17.01,16.87,17.33
Guyana,Household Care,3402,Revenue,Total,thousand USD (US$),Statista,614,713.6,837.3,"1,080","1,506","1,879","2,601","3,210","3,988","4,391","4,875"
Guyana,Household Care,3402,Revenue,Dishwashing Detergents,thousand USD (US$),Statista,25.76,31.95,39.18,58.46,88.29,108.7,151.5,188.9,237.8,262.8,293
