Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Hungary,Toys & Baby,9503,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,5.17,,,,,,
Hungary,Toys & Baby,9503,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,27.586,,,,,,
Hungary,Toys & Baby,9503,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,32.184,,,,,,
Hungary,Toys & Baby,9503,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,16.667,,,,,,
Hungary,Toys & Baby,9503,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,18.391,,,,,,
Hungary,Toys & Baby,9503,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,59.77,,,,,,
Hungary,Toys & Baby,9503,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,40.23,,,,,,
Hungary,Toys & Baby,9503,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,36.62,,,,,,
Hungary,Toys & Baby,9503,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.465,,,,,,
Hungary,Toys & Baby,9503,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.915,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Hungary,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Hungary,Toys & Baby,9503,Revenue,Total,million USD (US$),Statista,30.67,38.88,49.98,73.58,98.03,91.13,124.6,146.3,171.6,188.4,207.1
Hungary,Toys & Baby,9503,Revenue,Baby,million USD (US$),Statista,6.64,8.14,10.06,14,17.86,16.33,21.94,25.28,29.07,31.77,34.71
Hungary,Toys & Baby,9503,Revenue,Other Toys & Baby,million USD (US$),Statista,10.96,13.9,17.87,26.3,35.04,32.58,44.54,52.29,61.33,67.35,74.03
Hungary,Toys & Baby,9503,Revenue,Toys,million USD (US$),Statista,13.07,16.84,22.05,33.28,45.13,42.22,58.11,68.7,81.18,89.29,98.36
Hungary,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,26.769,28.549,47.219,33.229,-7.039,36.728,17.416,17.293,9.79,9.926
Hungary,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,22.59,23.587,39.165,27.571,-8.567,34.354,15.223,14.992,9.288,9.254
Hungary,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,26.825,28.561,47.174,33.232,-7.021,36.71,17.4,17.288,9.816,9.918
Hungary,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,28.845,30.938,50.93,35.607,-6.448,37.636,18.224,18.166,9.99,10.158
Hungary,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,46.31,51.85,57.95,74.69,87.34,72.37,90.54,100,110.8,113.8,118
Hungary,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,16.71,18.09,19.45,23.68,26.51,21.62,26.58,28.81,31.29,31.98,32.95
Hungary,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,91.96,103,115.1,148.3,173.4,143.7,179.8,198.6,220.1,225.4,233
Hungary,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,24.66,28.07,31.96,42.23,50.26,41.91,52.79,58.72,65.54,67.42,70.04
Hungary,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Hungary,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Hungary,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Hungary,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,89.741,87.528,84.704,79.159,74.156,70.963,68.115,64.813,61.242,,
Hungary,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,10.259,12.472,15.296,20.841,25.844,29.037,31.885,35.187,38.758,,
Hungary,Toys & Baby,9503,Mobile/Desktop Split,Desktop,percent,Statista,72.518,68.233,64.034,60.406,58.07,56.703,55.596,55.173,54.763,,
Hungary,Toys & Baby,9503,Mobile/Desktop Split,Mobile,percent,Statista,27.482,31.767,35.966,39.594,41.93,43.297,44.404,44.827,45.237,,
Hungary,Toys & Baby,9503,Users,Total,million users,Statista,0.662,0.75,0.862,0.985,1.122,1.259,1.376,1.463,1.548,1.656,1.756
Hungary,Toys & Baby,9503,Users,Baby,million users,Statista,0.397,0.45,0.517,0.591,0.673,0.756,0.826,0.878,0.929,0.993,1.053
Hungary,Toys & Baby,9503,Users,Other Toys & Baby,million users,Statista,0.119,0.135,0.155,0.177,0.202,0.227,0.248,0.263,0.279,0.299,0.318
Hungary,Toys & Baby,9503,Users,Toys,million users,Statista,0.53,0.6,0.69,0.788,0.898,1.007,1.101,1.17,1.239,1.324,1.404
Hungary,Toys & Baby,9503,Penetration Rate,Baby,percent,Statista,4.085,4.635,5.343,6.119,6.99,7.865,8.621,9.192,9.764,10.476,11.148
Hungary,Toys & Baby,9503,Penetration Rate,Other Toys & Baby,percent,Statista,1.225,1.39,1.603,1.836,2.097,2.359,2.586,2.758,2.929,3.152,3.363
Hungary,Toys & Baby,9503,Penetration Rate,Toys,percent,Statista,5.446,6.18,7.124,8.159,9.32,10.487,11.495,12.256,13.019,13.968,14.864
Hungary,Toys & Baby,9503,Penetration Rate,Toys & Baby,percent,Statista,6.808,7.725,8.905,10.198,11.65,13.108,14.369,15.321,16.274,17.461,18.582
Hungary,Sports & Outdoor,9506,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.385,,,,,,
Hungary,Sports & Outdoor,9506,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,21.893,,,,,,
Hungary,Sports & Outdoor,9506,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.219,,,,,,
Hungary,Sports & Outdoor,9506,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,24.26,,,,,,
Hungary,Sports & Outdoor,9506,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,11.243,,,,,,
Hungary,Sports & Outdoor,9506,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,42.012,,,,,,
