Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Iceland,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Iceland,Toys & Baby,9503,Revenue,Total,million USD (US$),Statista,6.401,7.036,7.84,9.752,11.86,12.29,15.53,17.86,20.54,22.26,24.2
Iceland,Toys & Baby,9503,Revenue,Baby,million USD (US$),Statista,1.502,1.762,2.064,2.862,3.511,3.465,4.232,4.694,5.204,5.661,6.128
Iceland,Toys & Baby,9503,Revenue,Other Toys & Baby,million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Iceland,Toys & Baby,9503,Revenue,Toys,million USD (US$),Statista,4.899,5.274,5.776,6.89,8.353,8.821,11.3,13.17,15.34,16.6,18.07
Iceland,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,9.92,11.427,24.388,21.616,3.626,26.363,15.003,15.006,8.374,8.715
Iceland,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,17.31,17.14,38.663,22.676,-1.31,22.136,10.917,10.865,8.782,8.249
Iceland,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,�,�,�,�,�,�,�,�,�,�
Iceland,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,7.655,9.518,19.287,21.234,5.603,28.103,16.549,16.477,8.214,8.855
Iceland,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,252.3,224.4,207.9,218.8,226.8,203,227.8,239.4,253.1,252.9,255.4
Iceland,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,98.67,93.65,91.25,107,111.8,95.42,103.5,104.8,106.9,107.2,107.8
Iceland,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Iceland,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,241.4,210.3,191.5,193.3,199.6,182.2,207.2,220.6,236.2,235.7,238.4
Iceland,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Iceland,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Iceland,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Iceland,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,79.604,78.543,77.02,72.197,68.362,63.835,60.044,55.74,50.871,,
Iceland,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,20.396,21.457,22.98,27.803,31.638,36.165,39.956,44.26,49.129,,
Iceland,Toys & Baby,9503,Mobile/Desktop Split,Desktop,percent,Statista,56.224,54.08,52.878,52.214,51.89,51.742,51.682,51.666,51.666,,
Iceland,Toys & Baby,9503,Mobile/Desktop Split,Mobile,percent,Statista,43.776,45.92,47.122,47.786,48.11,48.258,48.318,48.334,48.334,,
Iceland,Toys & Baby,9503,Users,Total,million users,Statista,0.025,0.031,0.038,0.045,0.052,0.061,0.068,0.075,0.081,0.088,0.095
Iceland,Toys & Baby,9503,Users,Baby,million users,Statista,0.015,0.019,0.023,0.027,0.031,0.036,0.041,0.045,0.049,0.053,0.057
Iceland,Toys & Baby,9503,Users,Other Toys & Baby,million users,Statista,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.015,0.016,0.017
Iceland,Toys & Baby,9503,Users,Toys,million users,Statista,0.02,0.025,0.03,0.036,0.042,0.048,0.055,0.06,0.065,0.07,0.076
Iceland,Toys & Baby,9503,Penetration Rate,Baby,percent,Statista,4.552,5.587,6.673,7.835,9.141,10.514,11.776,12.82,13.866,14.961,16.021
Iceland,Toys & Baby,9503,Penetration Rate,Other Toys & Baby,percent,Statista,1.366,1.676,2.002,2.351,2.742,3.154,3.533,3.846,4.16,4.488,4.806
Iceland,Toys & Baby,9503,Penetration Rate,Toys,percent,Statista,6.069,7.449,8.897,10.447,12.188,14.018,15.702,17.093,18.488,19.949,21.362
Iceland,Toys & Baby,9503,Penetration Rate,Toys & Baby,percent,Statista,7.587,9.311,11.121,13.058,15.236,17.523,19.627,21.366,23.11,24.937,26.704
Iceland,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Iceland,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
