Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
India,eCommerce,4907,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,30.315,,,,,,
India,eCommerce,4907,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,37.908,,,,,,
India,eCommerce,4907,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.301,,,,,,
India,eCommerce,4907,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,5.7,,,,,,
India,eCommerce,4907,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,0.774,,,,,,
India,eCommerce,4907,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,41.003,,,,,,
India,eCommerce,4907,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,58.997,,,,,,
India,eCommerce,4907,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.553,,,,,,
India,eCommerce,4907,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.465,,,,,,
India,eCommerce,4907,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.982,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"Apple, Inc.",billion USD (US$),Statista Company DB,229.2,265.6,260.2,274.5,365.8,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"Best Buy Co., Inc.",billion USD (US$),Statista Company DB,42.15,42.88,43.64,47.26,51.76,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
India,eCommerce,4907,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
India,eCommerce,4907,Revenue,Total,billion USD (US$),Statista,28.77,36.28,45.77,64.77,85.42,88.29,113.5,135.1,162.1,175.5,191.4
India,eCommerce,4907,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,1.134,1.599,2.184,3.065,3.927,4.349,5.504,6.684,8.225,8.959,9.85
India,eCommerce,4907,Revenue,Beverages,billion USD (US$),Statista,0.372,0.53,0.735,1.082,1.542,1.61,1.927,2.228,2.629,2.831,3.065
India,eCommerce,4907,Revenue,Electronics,billion USD (US$),Statista,4.136,5.47,7.158,10.36,12.36,11.83,15.05,17.37,20.25,21.82,23.59
India,eCommerce,4907,Revenue,Fashion,billion USD (US$),Statista,3.761,5.373,7.488,11.77,16.85,18.51,23.11,27.54,33.09,36.01,39.42
India,eCommerce,4907,Revenue,Food,billion USD (US$),Statista,1.928,2.753,3.82,7.583,11.35,13.65,18.65,24.3,31.93,34.91,38.83
India,eCommerce,4907,Revenue,Furniture,billion USD (US$),Statista,13.47,15.65,18.33,22.12,28.4,26.53,35.11,40.85,47.7,51.1,55.14
India,eCommerce,4907,Revenue,Media,billion USD (US$),Statista,1.222,1.592,2.03,3.087,3.8,4.026,4.656,4.973,5.21,5.729,6.182
India,eCommerce,4907,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,2.746,3.311,4.025,5.704,7.191,7.787,9.541,11.13,13.09,14.15,15.36
