Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,22.886,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,33.499,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,29.685,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,13.93,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,61.857,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,38.143,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,42.569,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,25.138,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.294,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,billion USD (US$),Statista,1.228,1.874,2.767,4.162,6.212,6.587,7.935,9.121,10.56,11.53,12.56
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,billion USD (US$),Statista,0.156,0.244,0.371,0.571,0.881,0.92,1.088,1.225,1.387,1.511,1.635
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,billion USD (US$),Statista,0.272,0.376,0.498,0.67,0.933,0.989,1.19,1.363,1.57,1.724,1.888
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,billion USD (US$),Statista,0.208,0.329,0.505,0.826,1.352,1.504,1.906,2.311,2.828,3.095,3.406
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,billion USD (US$),Statista,0.592,0.924,1.393,2.094,3.045,3.174,3.751,4.222,4.778,5.202,5.634
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,52.606,47.652,50.416,49.255,6.037,20.465,14.946,15.777,9.186,8.933
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,56.84,51.761,54.128,54.307,4.357,18.287,12.592,13.224,8.94,8.206
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,38.12,32.491,34.477,39.263,5.99,20.311,14.538,15.187,9.809,9.513
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,58.241,53.325,63.656,63.621,11.243,26.729,21.249,22.371,9.441,10.048
Indonesia,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,56.011,50.774,50.323,45.415,4.236,18.179,12.557,13.169,8.874,8.304
Indonesia,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,50.53,59.51,74.13,92.38,118.8,110.9,119.7,126.2,134.2,135.3,137.2
Indonesia,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,9.15,11.08,14.18,18.11,24.09,22.13,23.45,24.21,25.16,25.33,25.51
Indonesia,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,17.51,18.66,20.86,23.24,27.9,26.03,28.03,29.45,31.15,31.61,32.21
Indonesia,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,22.53,27.52,35.59,48.27,68.08,66.68,75.66,84.11,94.52,95.57,97.87
Indonesia,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,39.3,47.33,60.2,74.98,93.96,86.22,91.26,94.2,97.89,98.46,99.21
Indonesia,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Southeast Asia),*Statista,billion USD (US$),,28.85,40.7,56.22,84.2,124.6,126.4,158.5,183.2,212.5,230.3,249.7
Indonesia,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Southeast Asia),"Google, Temasek and Bain & Company",billion USD (US$),,,,,74,120,,,,,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,93.879,91.245,87.966,82.925,77.059,76.017,74.465,72.55,70.342,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,6.121,8.755,12.034,17.075,22.941,23.983,25.535,27.45,29.658,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,41.277,38.087,36.047,33.966,32.782,32.674,32.582,32.503,32.436,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,58.723,61.913,63.953,66.034,67.218,67.326,67.418,67.497,67.564,,
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,Statista,24.308,31.484,37.329,45.053,52.268,59.366,66.301,72.297,78.728,85.22,91.585
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,Statista,17.016,22.039,26.13,31.537,36.588,41.556,46.411,50.608,55.109,59.654,64.11
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,Statista,15.557,20.15,23.89,28.834,33.452,37.994,42.433,46.27,50.386,54.541,58.614
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Household Care,million users,Statista,9.237,11.964,14.185,17.12,19.862,22.559,25.195,27.473,29.917,32.384,34.802
Indonesia,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Personal Care,million users,Statista,15.071,19.52,23.144,27.933,32.406,36.807,41.107,44.824,48.811,52.837,56.783
Indonesia,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,"Beauty, Health, Personal & Household Care",percent,Statista,9.185,11.762,13.793,16.471,18.913,21.268,23.524,25.412,27.423,29.424,31.353
Indonesia,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Beauty Care,percent,Statista,6.429,8.234,9.655,11.53,13.239,14.887,16.467,17.789,19.196,20.597,21.947
Indonesia,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Health Care,percent,Statista,5.878,7.528,8.828,10.542,12.104,13.611,15.055,16.264,17.551,18.831,20.066
Indonesia,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Household Care,percent,Statista,3.49,4.47,5.242,6.259,7.187,8.082,8.939,9.657,10.421,11.181,11.914
Indonesia,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Personal Care,percent,Statista,5.695,7.293,8.552,10.212,11.726,13.186,14.585,15.756,17.002,18.243,19.439
Indonesia,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,23.245,,,,,,
Indonesia,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,35.593,,,,,,
Indonesia,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,29.54,,,,,,
Indonesia,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,11.622,,,,,,
Indonesia,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,77.24,,,,,,
Indonesia,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,22.76,,,,,,
Indonesia,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,45.455,,,,,,
Indonesia,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,21.39,,,,,,
Indonesia,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.155,,,,,,
Indonesia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
