Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,310.6,442.9,565,761.5,"1,084","1,157","1,625","2,038","2,577","2,834","3,151"
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,72.77,103.7,131.1,175.9,248.8,259.4,355.2,433.7,535.5,588.6,652.2
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,5.473,5.846,6.621,7.394,11.78,16.87,29.45,39.76,46.89,52.64,58.91
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,34.17,47.26,60.95,89.22,138.3,161.5,248.4,345.7,480.2,527.6,593.9
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,198.2,286.1,366.3,489,684.8,719.2,991.9,"1,219","1,515","1,665","1,846"
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,42.595,27.568,34.779,42.351,6.734,40.449,25.415,26.447,9.973,11.186
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,42.504,26.422,34.172,41.444,4.26,36.931,22.1,23.472,9.916,10.805
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,6.815,13.257,11.675,59.318,43.209,74.57,35.008,17.933,12.263,11.911
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,38.308,28.967,46.382,55.01,16.775,53.808,39.171,38.907,9.871,12.566
Iran,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,44.349,28.032,33.497,40.041,5.023,37.917,22.895,24.282,9.901,10.871
Iran,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,27.88,33.51,36.32,42.43,53.95,53.15,69.47,82.4,98.49,103.2,110
Iran,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,9.332,11.21,12.04,14,17.7,17.02,21.69,25.05,29.24,30.62,32.51
Iran,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,0.768,0.691,0.665,0.644,0.916,1.211,1.967,2.511,2.8,2.995,3.211
Iran,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,8.072,9.41,10.31,13.08,18.12,19.52,27.94,36.78,48.3,50.55,54.53
Iran,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,28.69,34.91,37.99,43.94,54.99,53.29,68.4,79.49,93.36,97.78,103.9
Iran,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Iran,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Iran,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Iran,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,96.546,95.228,94.072,91.525,88.878,86.912,84.404,81.271,77.454,,
Iran,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,3.454,4.772,5.928,8.475,11.122,13.088,15.596,18.729,22.546,,
Iran,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,66.292,61.229,57.1,54.862,53.712,53.111,52.696,52.423,52.212,,
Iran,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,33.708,38.771,42.9,45.138,46.288,46.889,47.304,47.577,47.788,,
Iran,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,Statista,11.14,13.217,15.555,17.949,20.086,21.768,23.391,24.737,26.167,27.464,28.661
Iran,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,Statista,7.798,9.252,10.888,12.564,14.06,15.238,16.374,17.316,18.317,19.225,20.063
Iran,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,Statista,7.13,8.459,9.955,11.487,12.855,13.932,14.97,15.832,16.747,17.577,18.343
Iran,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Household Care,million users,Statista,4.233,5.022,5.911,6.821,7.633,8.272,8.889,9.4,9.944,10.437,10.892
Iran,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Personal Care,million users,Statista,6.907,8.195,9.644,11.128,12.453,13.496,14.503,15.337,16.224,17.028,17.77
Iran,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,"Beauty, Health, Personal & Household Care",percent,Statista,13.809,16.158,18.76,21.37,23.623,25.305,26.894,28.144,29.476,30.644,31.693
Iran,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Beauty Care,percent,Statista,9.666,11.31,13.132,14.959,16.536,17.714,18.826,19.701,20.633,21.451,22.186
Iran,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Health Care,percent,Statista,8.837,10.341,12.007,13.676,15.118,16.195,17.212,18.012,18.865,19.613,20.284
Iran,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Household Care,percent,Statista,5.247,6.14,7.129,8.12,8.977,9.616,10.22,10.695,11.201,11.645,12.044
Iran,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Personal Care,percent,Statista,8.561,10.018,11.631,13.249,14.646,15.689,16.674,17.45,18.275,19,19.65
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Iran,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Iran,Personal Care,3304,Revenue,Total,million USD (US$),Statista,198.2,286.1,366.3,489,684.8,719.2,991.9,"1,219","1,515","1,665","1,846"
Iran,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,35.7,51.31,65.52,85.05,118.1,125.3,174.3,215.5,269.2,295.7,328.2
Iran,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,8.424,12.74,16.86,30.91,39.6,37.54,47.36,54.9,64.31,70.78,77.82
Iran,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,32.13,46.62,59.92,78.3,110.1,116.8,162.4,200.7,250.6,275.6,305.9
Iran,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,14.14,20.5,26.2,34.06,47.68,50.38,69.79,85.94,106.9,117.5,130.3
Iran,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,60.09,86.8,111.1,144.7,202.2,214.4,298,368.1,459.4,504.7,559.9
Iran,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,47.68,68.13,86.7,116,167.1,174.8,240.1,294.1,364.3,400.6,444.2
Iran,Personal Care,3304,Revenue Change,Total,percent,Statista,,44.349,28.032,33.497,40.041,5.023,37.917,22.895,24.282,9.901,10.871
Iran,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,43.725,27.694,29.808,38.859,6.097,39.106,23.637,24.919,9.844,10.991
Iran,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,51.235,32.339,83.333,28.114,-5.202,26.159,15.921,17.14,10.061,9.946
Iran,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,45.098,28.529,30.674,40.613,6.085,39.041,23.584,24.863,9.976,10.994
Iran,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,44.979,27.805,30,39.988,5.663,38.527,23.141,24.389,9.916,10.894
Iran,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,44.45,27.995,30.243,39.737,6.034,38.993,23.523,24.803,9.861,10.937
Iran,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,42.89,27.257,33.795,44.052,4.608,37.357,22.491,23.869,9.964,10.884
Iran,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,28.69,34.91,37.99,43.94,54.99,53.29,68.4,79.49,93.36,97.78,103.9
Iran,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,7.602,9.207,9.991,11.24,13.95,13.66,17.67,20.66,24.4,25.54,27.16
Iran,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,2.439,3.109,3.496,5.555,6.36,5.562,6.531,7.159,7.928,8.313,8.759
Iran,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,8.947,10.94,11.95,13.53,17,16.64,21.54,25.17,29.71,31.12,33.1
Iran,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,4.178,5.105,5.545,6.246,7.814,7.618,9.821,11.44,13.45,14.08,14.97
Iran,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,19.33,23.54,25.61,28.89,36.09,35.3,45.66,53.33,62.92,65.87,70.02
