Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,108.9,169.5,232.5,319.4,489.7,474.2,608.8,708,826.1,910.7,"1,002"
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,25.89,40,54.38,74.52,115.1,109.4,137.4,155.7,177.1,195.4,214.2
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,0.916,0.954,1.005,1.045,1.258,1.552,2.5,3.458,4.211,4.635,5.15
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,10.93,17.9,25.93,38.81,73.25,77.4,108.9,140.2,179.1,198.4,222
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,71.16,110.7,151.2,205.1,300.1,285.9,359.9,408.6,465.6,512.3,560.7
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,55.647,37.168,37.376,53.319,-3.165,28.385,16.294,16.681,10.241,10.025
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,54.5,35.95,37.036,54.455,-4.952,25.594,13.319,13.744,10.333,9.621
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,4.215,5.313,3.98,20.383,23.37,61.082,38.32,21.776,10.069,11.111
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,63.769,44.86,49.672,88.74,5.666,40.698,28.742,27.746,10.776,11.895
Iraq,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,55.565,36.585,35.648,46.319,-4.732,25.883,13.532,13.95,10.03,9.448
Iraq,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,30.28,34.93,39.52,46.27,61.65,53.58,62.96,67.9,73.77,76.69,80.06
Iraq,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,10.29,11.78,13.2,15.42,20.71,17.65,20.3,21.33,22.6,23.5,24.45
Iraq,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,0.398,0.307,0.267,0.236,0.247,0.274,0.404,0.518,0.588,0.61,0.643
Iraq,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,7.996,9.705,11.6,14.8,24.27,23.02,29.65,35.38,42.1,43.97,46.68
Iraq,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,31.91,36.78,41.45,47.91,60.93,52.1,60.04,63.2,67.07,69.57,72.26
Iraq,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Iraq,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Iraq,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
