Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.767,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.621,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,30.402,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,20.459,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,9.75,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,62.715,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,37.285,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.557,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,29.186,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.258,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,321.3,364.3,409.8,511.1,598.7,639.9,845.6,"1,041","1,282","1,390","1,528"
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,43.39,46.16,52.5,63.55,74.03,79.73,106,131,161.8,175.2,192.5
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,35.72,37.24,39.78,48.32,59,63.25,83.74,103.1,127,137.4,150.9
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,14.31,16.33,18.64,23.87,29.13,33.45,47.66,63.47,84.96,92.47,103
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,227.9,264.6,298.9,375.4,436.6,463.4,608.2,742.9,907.9,984.9,"1,081"
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,13.383,12.49,24.719,17.14,6.882,32.146,23.108,23.151,8.424,9.928
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,6.384,13.735,21.048,16.491,7.7,32.949,23.585,23.511,8.282,9.874
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,4.255,6.821,21.468,22.103,7.203,32.395,23.119,23.181,8.189,9.825
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,14.116,14.146,28.058,22.036,14.83,42.481,33.172,33.859,8.839,11.387
Ireland,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,16.104,12.963,25.594,16.303,6.138,31.247,22.147,22.21,8.481,9.757
Ireland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,275.2,296.3,314.8,363.3,394.8,392.1,488.8,573.5,675.9,698.6,734.4
Ireland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,53.09,53.64,57.62,64.53,69.74,69.81,87.54,103.2,121.9,125.8,132.2
Ireland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,47.8,47.33,47.75,53.67,60.79,60.56,75.64,88.82,104.6,107.9,113.3
Ireland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,32.26,34.96,37.69,44.65,50.55,53.95,72.5,92.07,117.9,122.3,130.3
Ireland,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,314.8,347.1,370.3,430.3,464.3,458.1,567.1,660.5,772.3,798.4,838.5
Ireland,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Ireland),*Statista,billion USD (US$),,2.942,3.475,4.103,5.578,7.017,6.721,8.668,9.995,11.54,12.51,13.59
Ireland,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Ireland),UNCTAD,billion USD (US$),,,,25,,,,,,,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,84.87,83.406,81.954,77.216,75.077,71.706,67.766,62.997,57.634,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,15.13,16.594,18.046,22.784,24.923,28.294,32.234,37.003,42.366,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,64.734,60.239,57.424,54.625,52.614,50.272,47.899,45.664,43.328,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,35.266,39.761,42.576,45.375,47.386,49.728,52.101,54.336,56.672,,
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,,1.168,1.229,1.302,1.407,1.516,1.632,1.73,1.814,1.896,1.99,2.08
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,,0.817,0.861,0.911,0.985,1.062,1.142,1.211,1.27,1.327,1.393,1.456
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,,0.747,0.787,0.833,0.9,0.971,1.044,1.107,1.161,1.214,1.273,1.331
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Household Care,million users,,0.444,0.467,0.495,0.535,0.576,0.62,0.657,0.689,0.721,0.756,0.79
Ireland,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Personal Care,million users,,0.724,0.762,0.807,0.872,0.94,1.012,1.073,1.125,1.176,1.234,1.29
Ireland,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.9,,,,,,
Ireland,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.788,,,,,,
Ireland,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,28.94,,,,,,
Ireland,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,21.49,,,,,,
Ireland,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,8.88,,,,,,
Ireland,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,74.785,,,,,,
Ireland,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,25.215,,,,,,
Ireland,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.966,,,,,,
Ireland,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.586,,,,,,
Ireland,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.448,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Ireland,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Ireland,Personal Care,3304,Revenue,Total,million USD (US$),Statista,227.9,264.6,298.9,375.4,436.6,463.4,608.2,742.9,907.9,984.9,"1,081"
Ireland,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,32.37,35.62,40.4,50.4,56.89,62.39,84.43,106.2,133.4,144.7,159.5
Ireland,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,42.83,46.67,53.09,67.1,84.5,84.15,103.4,118.2,134.8,145.9,158.3
Ireland,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,21.8,34.65,37.74,47.63,47.63,51.5,68.72,85.24,105.6,114.6,126.1
Ireland,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,19.32,23.74,24.86,32.23,35.3,38.59,52.06,65.28,81.77,88.66,97.69
Ireland,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,81.51,94.63,106.9,134.3,156.2,165.8,217.5,265.8,324.8,352.3,386.8
Ireland,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,30.05,29.24,35.87,43.72,56.08,61.04,81.98,102.3,127.5,138.7,153
