Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Israel,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,18.121,,,,,,
Israel,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,24.161,,,,,,
Israel,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.181,,,,,,
Israel,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,20.134,,,,,,
Israel,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,10.403,,,,,,
Israel,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,71.812,,,,,,
Israel,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,28.188,,,,,,
Israel,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,39.594,,,,,,
Israel,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,31.98,,,,,,
Israel,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,28.426,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Israel,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Israel,Personal Care,3304,Revenue,Total,million USD (US$),Statista,189.0,231.4,286.9,394.8,492,519.4,638.2,731.5,837.3,914.8,997.9
Israel,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,27.22,32.95,40.49,55.19,62.04,66.55,83.01,96.53,112,122.1,133.3
Israel,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,9.436,13.18,17.94,26.32,40.81,40.73,47.34,51.39,55.79,60.61,65.05
Israel,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,25.66,31.07,38.18,52.24,60.44,64.61,80.31,93.06,107.6,117.4,128.2
Israel,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,15.52,18.79,23.08,31.6,36.91,39.45,49.03,56.8,65.66,71.66,78.27
Israel,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,74.43,91.14,113,155.5,193.8,204.6,251.3,288.1,329.7,360.6,393.8
Israel,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,36.73,44.31,54.19,73.98,98.05,103.5,127.2,145.6,166.5,182.4,199.3
Israel,Personal Care,3304,Revenue Change,Total,percent,Statista,,22.434,23.984,37.609,24.62,5.569,22.873,14.619,14.463,9.256,9.084
Israel,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,21.051,22.883,36.305,12.412,7.27,24.733,16.287,16.026,9.018,9.173
Israel,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,39.678,36.115,46.711,55.053,-0.196,16.229,8.555,8.562,8.64,7.326
Israel,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,21.083,22.884,36.826,15.697,6.899,24.3,15.876,15.624,9.108,9.199
Israel,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,21.07,22.831,36.915,16.804,6.882,24.284,15.847,15.599,9.138,9.224
Israel,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,22.451,23.985,37.611,24.63,5.573,22.825,14.644,14.439,9.372,9.207
Israel,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,20.637,22.297,36.52,32.536,5.558,22.899,14.465,14.354,9.55,9.265
Israel,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,277.5,307.1,341.7,416.1,476.5,450.1,505.2,537.2,574,587.6,603.3
Israel,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,58.76,64.3,70.94,85.54,88.35,84.8,96.65,104.3,112.9,115.3,118.5
Israel,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,27.7,34.98,42.76,55.49,79.05,70.59,74.96,75.48,76.49,77.87,78.66
Israel,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,72.45,79.28,87.47,105.9,112.6,107.7,122.3,131.4,141.9,145,149
Israel,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,46.49,50.87,56.13,67.97,72.95,69.76,79.21,85.13,91.86,93.94,96.57
Israel,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,242.8,268.7,299.1,364.1,417,393.9,442.2,470.1,502.3,514.8,529.1
Israel,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,122.5,133.6,146.7,177.2,215.8,203.9,228.8,243.1,259.4,266.3,273.8
Israel,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Israel,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Israel,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Israel,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,88.215,86.316,83.986,76.731,74.159,72.94,71.208,69.294,66.844,,
Israel,Personal Care,3304,Online & Offline Split,Online,percent,Statista,11.785,13.684,16.014,23.269,25.841,27.06,28.792,30.706,33.156,,
Israel,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,64.614,62.827,61.329,60.006,59.38,58.59,58.083,57.83,57.591,,
Israel,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,35.386,37.173,38.671,39.994,40.62,41.41,41.917,42.17,42.409,,
Israel,Personal Care,3304,Users,Total,million users,Statista,0.681,0.754,0.839,0.949,1.033,1.154,1.263,1.362,1.459,1.557,1.654
Israel,Personal Care,3304,Users,Body Care,million users,Statista,0.463,0.513,0.571,0.645,0.702,0.785,0.859,0.926,0.992,1.059,1.125
Israel,Personal Care,3304,Users,Eye Care,million users,Statista,0.341,0.377,0.42,0.474,0.516,0.577,0.632,0.681,0.729,0.778,0.827
Israel,Personal Care,3304,Users,Hair Care,million users,Statista,0.354,0.392,0.436,0.493,0.537,0.6,0.657,0.708,0.759,0.809,0.86
Israel,Personal Care,3304,Users,Oral Care,million users,Statista,0.334,0.369,0.411,0.465,0.506,0.565,0.619,0.667,0.715,0.763,0.81
Israel,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.307,0.339,0.378,0.427,0.465,0.519,0.568,0.613,0.656,0.701,0.744
Israel,Personal Care,3304,Users,Skin Care,million users,Statista,0.3,0.332,0.369,0.417,0.454,0.508,0.556,0.599,0.642,0.685,0.728
Israel,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,5.619,6.115,6.7,7.454,7.989,8.795,9.485,10.079,10.645,11.2,11.737
Israel,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,4.132,4.496,4.926,5.481,5.874,6.467,6.975,7.411,7.827,8.236,8.63
Israel,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,4.297,4.676,5.123,5.7,6.109,6.726,7.254,7.707,8.14,8.565,8.975
Israel,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,4.049,4.406,4.828,5.371,5.756,6.338,6.835,7.262,7.67,8.071,8.457
Israel,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,3.718,4.046,4.434,4.933,5.287,5.82,6.277,6.67,7.044,7.412,7.767
Israel,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,8.263,8.992,9.852,10.962,11.748,12.934,13.949,14.821,15.654,16.471,17.26
Israel,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,3.636,3.957,4.335,4.823,5.169,5.691,6.138,6.521,6.888,7.247,7.594
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Israel,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Israel,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,49.35,53.5,58.3,69.96,81.09,77.25,87.39,93.59,100.7,103.2,106.1
Israel,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,46.85,51,55.88,67.27,77.86,74.08,83.72,89.57,96.25,98.64,101.5
Israel,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,4.523,4.66,4.72,5.416,6.415,6.205,7.123,7.736,8.434,8.621,8.875
Israel,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,55.37,60.02,65.41,78.49,90.98,86.66,98.04,105,112.9,115.7,119
Israel,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,43.38,52.03,63.14,85.66,108,115,142.4,164.4,189.5,207.2,226.5
Israel,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,28.83,34.72,42.37,57.66,72.62,77.22,95.52,110.2,126.8,138.7,151.6
Israel,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,2.385,2.719,3.067,3.979,5.129,5.544,6.966,8.155,9.525,10.39,11.37
Israel,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,12.17,14.59,17.71,24.02,30.3,32.26,39.95,46.12,53.15,58.11,63.51
Israel,Beauty Care,3305,Revenue Change,Total,percent,Statista,,19.94,21.353,35.667,26.08,6.481,23.826,15.449,15.268,9.34,9.315
Israel,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,20.43,22.033,36.087,25.945,6.334,23.699,15.369,15.064,9.385,9.301
Israel,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,14.004,12.799,29.736,28.902,8.091,25.649,17.069,16.8,9.081,9.432
Israel,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,19.885,21.385,35.63,26.145,6.469,23.838,15.444,15.243,9.332,9.293
Israel,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Israel,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Israel,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Israel,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,89.149,87.69,85.856,79.159,76.63,75.406,73.65,71.683,69.129,,
Israel,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,10.851,12.31,14.144,20.841,23.37,24.594,26.35,28.317,30.871,,
Israel,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,64.614,62.827,61.329,60.006,59.38,58.59,58.083,57.83,57.591,,
Israel,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,35.386,37.173,38.671,39.994,40.62,41.41,41.917,42.17,42.409,,
Israel,Beauty Care,3305,Users by Segment,Total,million users,Statista,0.879,0.972,1.083,1.224,1.332,1.489,1.63,1.757,1.882,2.009,2.134
Israel,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,0.615,0.681,0.758,0.857,0.933,1.042,1.141,1.23,1.318,1.406,1.494
Israel,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,0.527,0.583,0.65,0.735,0.799,0.893,0.978,1.054,1.129,1.205,1.281
Israel,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.22,0.243,0.271,0.306,0.333,0.372,0.407,0.439,0.471,0.502,0.534
Israel,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,10.662,11.603,12.713,14.145,15.159,16.689,17.999,19.124,20.199,21.253,22.271
Israel,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,7.463,8.122,8.899,9.901,10.611,11.682,12.599,13.387,14.139,14.877,15.59
Israel,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,6.397,6.962,7.628,8.487,9.095,10.013,10.799,11.475,12.119,12.752,13.363
Israel,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,2.665,2.901,3.178,3.536,3.79,4.172,4.5,4.781,5.05,5.313,5.568
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Israel,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
