Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Italy,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,11.87,,,,,,
Italy,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,20.325,,,,,,
Italy,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.114,,,,,,
Italy,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,30.081,,,,,,
Italy,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,15.61,,,,,,
Italy,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,68.293,,,,,,
Italy,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,31.707,,,,,,
Italy,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,34.591,,,,,,
Italy,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,29.14,,,,,,
Italy,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,36.268,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Italy,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Italy,Personal Care,3304,Revenue,Total,billion USD (US$),Statista,1.336,1.673,2.093,2.93,3.708,3.612,4.605,5.321,6.15,6.595,7.095
Italy,Personal Care,3304,Revenue,Body Care,billion USD (US$),Statista,0.201,0.257,0.326,0.457,0.582,0.567,0.724,0.837,0.967,1.035,1.111
Italy,Personal Care,3304,Revenue,Eye Care,billion USD (US$),Statista,0.139,0.159,0.183,0.248,0.297,0.281,0.349,0.392,0.44,0.476,0.514
Italy,Personal Care,3304,Revenue,Hair Care,billion USD (US$),Statista,0.125,0.16,0.203,0.286,0.365,0.355,0.452,0.522,0.602,0.658,0.72
Italy,Personal Care,3304,Revenue,Oral Care,billion USD (US$),Statista,0.124,0.158,0.201,0.283,0.362,0.353,0.452,0.523,0.607,0.664,0.727
Italy,Personal Care,3304,Revenue,Other Personal Care,billion USD (US$),Statista,0.48,0.601,0.751,1.052,1.331,1.296,1.653,1.91,2.207,2.337,2.487
Italy,Personal Care,3304,Revenue,Skin Care,billion USD (US$),Statista,0.267,0.339,0.429,0.604,0.771,0.758,0.976,1.138,1.328,1.424,1.535
Italy,Personal Care,3304,Revenue Change,Total,percent,Statista,,25.225,25.105,39.99,26.553,-2.589,27.492,15.548,15.58,7.236,7.582
Italy,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,27.571,27.025,40.221,27.263,-2.525,27.564,15.584,15.599,7.021,7.343
Italy,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,14.286,15.075,35.153,20.073,-5.314,23.872,12.274,12.286,8.235,8.134
Italy,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,27.614,27.017,40.817,27.587,-2.686,27.316,15.373,15.395,9.404,9.355
Italy,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,27.522,27.089,40.986,27.729,-2.295,27.88,15.87,15.893,9.428,9.459
Italy,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,25.209,25.112,40.024,26.521,-2.63,27.546,15.547,15.55,5.89,6.418
Italy,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,27.034,26.505,41.017,27.565,-1.66,28.713,16.61,16.696,7.229,7.795
Italy,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,215.8,239,264.8,330.6,376.8,332,392.4,427.5,467,472,481.6
Italy,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,47.81,53.94,60.7,75.9,86.99,76.7,90.7,98.85,108,108.9,110.9
Italy,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,44.99,45.48,46.36,55.87,60.42,51.75,59.43,62.92,66.76,68.1,69.85
Italy,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,38.92,43.92,49.42,62.05,71.31,62.76,74.08,80.59,87.88,90.63,94.01
Italy,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,40.83,46.07,51.84,65.2,74.98,66.28,78.57,85.84,94.01,96.97,100.7
Italy,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,172.1,190.7,211.2,263.7,300.5,264.8,313,341,372.5,371.7,375.2
Italy,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,97.88,110,123.2,155,178.1,158.4,189,207.8,229.1,231.7,236.8
Italy,Personal Care,3304,Comparable Estimates - eCommerce (Italy),*Statista,billion USD (US$),,17.32,20.84,25.12,36.82,47.37,45.19,60.14,70.45,82.6,89.2,96.79
Italy,Personal Care,3304,Comparable Estimates - eCommerce (Italy),UNCTAD,billion USD (US$),,,,35,,,,,,,,
Italy,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,87.554,84.895,81.789,73.426,69.472,67.299,64.688,61.182,57.415,,
Italy,Personal Care,3304,Online & Offline Split,Online,percent,Statista,12.446,15.105,18.211,26.574,30.528,32.701,35.312,38.818,42.585,,
Italy,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,70.203,66.332,63.594,61.375,60.091,59.02,58.473,57.932,57.388,,
Italy,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,29.797,33.668,36.406,38.625,39.909,40.98,41.527,42.068,42.612,,
Italy,Personal Care,3304,Users,Total,million users,Statista,6.193,7,7.904,8.863,9.841,10.879,11.735,12.446,13.17,13.973,14.732
Italy,Personal Care,3304,Users,Body Care,million users,Statista,4.211,4.76,5.375,6.027,6.692,7.398,7.98,8.463,8.956,9.501,10.018
Italy,Personal Care,3304,Users,Eye Care,million users,Statista,3.097,3.5,3.952,4.432,4.92,5.44,5.868,6.223,6.585,6.986,7.366
Italy,Personal Care,3304,Users,Hair Care,million users,Statista,3.22,3.64,4.11,4.609,5.117,5.657,6.102,6.472,6.849,7.266,7.661
Italy,Personal Care,3304,Users,Oral Care,million users,Statista,3.035,3.43,3.873,4.343,4.822,5.331,5.75,6.099,6.454,6.847,7.219
Italy,Personal Care,3304,Users,Other Personal Care,million users,Statista,2.787,3.15,3.557,3.988,4.428,4.896,5.281,5.601,5.927,6.288,6.629
Italy,Personal Care,3304,Users,Skin Care,million users,Statista,2.725,3.08,3.478,3.9,4.33,4.787,5.164,5.476,5.795,6.148,6.482
Italy,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,6.941,7.851,8.876,9.968,11.085,12.276,13.268,14.101,14.957,15.91,16.821
Italy,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,5.104,5.773,6.527,7.33,8.151,9.027,9.756,10.368,10.998,11.698,12.368
Italy,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,5.308,6.004,6.788,7.623,8.477,9.388,10.146,10.783,11.438,12.166,12.863
Italy,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,5.002,5.657,6.396,7.183,7.988,8.846,9.56,10.161,10.778,11.464,12.121
Italy,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,4.593,5.196,5.874,6.597,7.336,8.124,8.78,9.332,9.898,10.528,11.131
Italy,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,10.207,11.546,13.053,14.659,16.302,18.053,19.511,20.737,21.996,23.397,24.736
Italy,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,4.491,5.08,5.744,6.45,7.173,7.943,8.585,9.124,9.678,10.294,10.884
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Italy,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Italy,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,39.7,44.37,49.39,62.12,71.25,64.01,77.1,85.55,95.11,96.51,99.09
