Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Ivory Coast,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Ivory Coast,Personal Care,3304,Revenue,Total,million USD (US$),Statista,18.48,26.88,35.87,55.82,64.5,64.29,73.35,79.33,87.08,92.94,98.89
Ivory Coast,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,1.987,2.865,3.774,5.18,5.751,6.095,7.331,8.253,9.464,10.32,11.25
Ivory Coast,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,8.08,11.83,15.97,28.16,32.19,30.14,32.36,33.27,34.34,35.27,35.98
Ivory Coast,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,1.76,2.561,3.405,4.731,5.438,5.78,6.975,7.882,9.077,9.922,10.83
Ivory Coast,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,0.685,0.999,1.331,1.855,2.152,2.291,2.77,3.136,3.619,3.958,4.325
Ivory Coast,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,3.334,4.833,6.402,8.852,10.04,10.66,12.85,14.5,16.67,18.21,19.87
Ivory Coast,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,2.631,3.784,4.985,7.038,8.938,9.328,11.06,12.29,13.91,15.25,16.63
Ivory Coast,Personal Care,3304,Revenue Change,Total,percent,Statista,,45.455,33.445,55.618,15.55,-0.326,14.092,8.153,9.769,6.729,6.402
Ivory Coast,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,44.187,31.728,37.255,11.023,5.982,20.279,12.577,14.673,9.045,9.012
Ivory Coast,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,46.411,34.996,76.331,14.311,-6.368,7.366,2.812,3.216,2.708,2.013
Ivory Coast,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,45.511,32.956,38.943,14.944,6.289,20.675,13.004,15.161,9.309,9.151
Ivory Coast,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,45.774,33.273,39.369,16.011,6.459,20.908,13.213,15.402,9.367,9.272
Ivory Coast,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,44.961,32.464,38.269,13.421,6.175,20.544,12.84,14.966,9.238,9.116
Ivory Coast,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,43.824,31.739,41.184,26.996,4.363,18.568,11.121,13.181,9.633,9.049
Ivory Coast,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,21.86,25.33,27.49,35.06,35.04,31.01,32.01,31.88,32.37,32.12,32.02
Ivory Coast,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,3.457,3.971,4.255,4.785,4.594,4.323,4.705,4.877,5.173,5.247,5.358
Ivory Coast,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,19.12,22.31,24.48,35.38,34.97,29.07,28.25,26.74,25.53,24.38,23.3
