Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Jamaica,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Jamaica,Personal Care,3304,Revenue,Total,million USD (US$),Statista,17.6,19.79,22.24,27.41,32.6,34.73,41.94,47.63,54.35,58.78,63.7
Jamaica,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,2.816,3.166,3.551,4.365,5.064,5.434,6.609,7.545,8.652,9.351,10.14
Jamaica,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,2.2,2.48,2.829,3.406,4.138,4.206,4.821,5.229,5.681,6.112,6.544
Jamaica,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,2.555,2.912,3.309,4.13,4.899,5.292,6.482,7.455,8.616,9.34,10.16
Jamaica,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,1.203,1.367,1.547,1.925,2.281,2.455,2.997,3.437,3.964,4.294,4.666
Jamaica,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,4.676,5.295,5.98,7.412,8.708,9.375,11.44,13.11,15.1,16.35,17.76
