Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Japan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Japan,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,63.88,69.1,73,77.58,86.07,83.32,100.6,113.8,128.5,132,137.3
Japan,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,62.4,67.55,71.41,75.89,84.2,81.53,98.49,111.4,125.9,129.5,134.9
Japan,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,2.69,2.859,2.958,3.147,3.489,3.356,4.018,4.491,5.005,5.203,5.461
Japan,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,74.32,80.4,84.94,90.26,100.2,96.95,117.1,132.4,149.6,152.8,158.3
Japan,Beauty Care,3305,Revenue,Total,billion USD (US$),Statista,1.337,1.539,1.748,2.045,2.491,2.55,3.219,3.773,4.413,4.708,5.064
Japan,Beauty Care,3305,Revenue,Cosmetics,billion USD (US$),Statista,0.914,1.053,1.197,1.401,1.706,1.747,2.205,2.586,3.026,3.234,3.483
Japan,Beauty Care,3305,Revenue,Fragrances,billion USD (US$),Statista,0.034,0.038,0.043,0.05,0.061,0.062,0.077,0.089,0.103,0.111,0.121
Japan,Beauty Care,3305,Revenue,Other Beauty Care,billion USD (US$),Statista,0.389,0.448,0.509,0.595,0.725,0.742,0.936,1.097,1.284,1.363,1.46
Japan,Beauty Care,3305,Revenue Change,Total,percent,Statista,,15.108,13.58,16.991,21.809,2.369,26.235,17.21,16.963,6.685,7.562
Japan,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,15.195,13.675,17.043,21.77,2.403,26.216,17.279,17.015,6.874,7.699
Japan,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,13.055,11.286,17.129,21.716,1.716,25.118,15.899,15.363,8.05,8.528
Japan,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,15.123,13.628,16.968,21.819,2.373,26.203,17.163,17.046,6.153,7.117
Japan,Beauty Care,3305,Comparable Estimates - eCommerce (Japan),*Statista,trillion USD (US$),,0.094,0.105,0.115,0.143,0.188,0.181,0.232,0.268,0.308,0.33,0.355
Japan,Beauty Care,3305,Comparable Estimates - eCommerce (Japan),"Ministry of Economy, Trade and Industry Report",trillion USD (US$),,,1.988,,,,,,,,,
Japan,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,85.941,84.453,83.14,80.121,77.466,75.263,72.824,69.956,66.811,,
Japan,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,14.059,15.547,16.86,19.879,22.534,24.737,27.176,30.044,33.189,,
Japan,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,58.266,54.112,52.858,51.813,50.977,50.246,49.516,48.889,48.256,,
Japan,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,41.734,45.888,47.142,48.187,49.023,49.754,50.484,51.111,51.744,,
Japan,Beauty Care,3305,Users by Segment,Total,million users,Statista,20.926,22.268,23.951,26.364,28.945,30.608,31.988,33.163,34.331,35.679,36.894
Japan,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,14.648,15.587,16.766,18.455,20.262,21.426,22.392,23.214,24.032,24.975,25.826
Japan,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,12.556,13.361,14.371,15.819,17.367,18.365,19.193,19.898,20.598,21.407,22.136
Japan,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,5.232,5.567,5.988,6.591,7.236,7.652,7.997,8.291,8.583,8.92,9.224
Japan,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,16.412,17.506,18.88,20.845,22.963,24.373,25.574,26.627,27.692,28.918,30.055
Japan,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,11.489,12.254,13.216,14.592,16.074,17.061,17.902,18.639,19.384,20.243,21.038
Japan,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,9.847,10.503,11.328,12.507,13.778,14.624,15.344,15.976,16.615,17.351,18.033
Japan,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,4.103,4.376,4.72,5.211,5.741,6.093,6.393,6.657,6.923,7.23,7.514
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Japan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Japan,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,57.63,62.21,65.02,76.02,99.78,93.06,108.4,118.4,129.5,135.4,142
Japan,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,15.51,16.72,17.45,20.36,26.62,24.86,28.99,31.67,34.6,36.28,38.14
Japan,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,31.15,33.58,35.05,40.56,52.29,48.34,55.8,60.34,65.26,68.3,71.6
Japan,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,19.59,21.12,22.04,25.71,33.58,31.15,36.07,39.13,42.46,44.49,46.7
Japan,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,1.275,1.374,1.434,2.521,5.521,4.896,5.421,5.622,5.832,6.155,6.414
Japan,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,5.533,6.227,6.848,7.318,7.7,8.284,11.13,14.01,17.66,18.47,19.83
Japan,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,72.89,78.68,82.23,96.15,126.2,117.7,137.1,149.8,163.8,170.2,177.7
Japan,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,15.64,16.86,17.59,20.64,27.22,25.49,29.8,32.64,35.76,37.51,39.47
Japan,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,23.12,24.92,26.01,30.34,39.61,37.05,43.28,47.35,51.81,54.32,57.13
Japan,Health Care,3003,Revenue,Total,million USD (US$),Statista,"1,103","1,266","1,424","1,833","2,641","2,604","3,171","3,591","4,065","4,417","4,791"
Japan,Health Care,3003,Revenue,Analgesics,million USD (US$),Statista,59.34,68.08,76.41,98.17,140.9,139.1,169.6,192,217.2,236.7,257.3
Japan,Health Care,3003,Revenue,Cold & Cough Remedies,million USD (US$),Statista,238.4,273.5,307,391.1,553.5,541.1,652.8,731.8,819.4,891.2,966.1
Japan,Health Care,3003,Revenue,Digestives & Intestinal Remedies,million USD (US$),Statista,112.4,129,144.8,185.9,266.6,261.5,316.5,356,399.9,435.4,472.6
Japan,Health Care,3003,Revenue,Hand Sanitizer,million USD (US$),Statista,9.757,11.19,12.56,24.31,58.45,54.8,63.41,68.19,73.23,80.32,86.54
Japan,Health Care,3003,Revenue,Incontinence,million USD (US$),Statista,21.17,25.35,29.99,35.28,40.76,46.36,65.1,84.99,110.8,120.5,133.8
Japan,Health Care,3003,Revenue,Other Health Care,million USD (US$),Statista,320.7,368.4,414.1,533.1,768.1,757.6,922.5,"1,045","1,182","1,277","1,378"
Japan,Health Care,3003,Revenue,Skin Treatment,million USD (US$),Statista,119.7,137.3,154.1,199,288.2,285.3,348.6,395.9,448.9,489.5,532.6
