Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Jordan,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Jordan,Personal Care,3304,Revenue,Total,million USD (US$),Statista,59.51,70.56,84.81,116,145.9,154.9,187.5,215.8,249.3,272,296.9
Jordan,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,10.47,12.32,14.87,20.31,25.17,26.89,32.71,37.79,43.78,47.75,52.15
Jordan,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,4.014,4.479,5.099,6.863,7.867,7.769,8.858,9.722,10.73,11.52,12.35
Jordan,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,9.326,11.51,13.9,19.12,23.83,25.49,31.07,35.97,41.77,45.62,49.87
Jordan,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,4.332,5.155,6.152,8.428,10.56,11.22,13.6,15.66,18.09,19.73,21.54
Jordan,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,17.46,20.97,25.27,34.63,43.09,46.02,56,64.71,74.99,81.84,89.41
Jordan,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,13.92,16.12,19.51,26.66,35.41,37.46,45.26,52,59.95,65.5,71.55
Jordan,Personal Care,3304,Revenue Change,Total,percent,Statista,,18.568,20.196,36.776,25.776,6.169,21.046,15.093,15.524,9.105,9.154
Jordan,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,17.67,20.698,36.584,23.929,6.834,21.644,15.53,15.851,9.068,9.215
Jordan,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,11.584,13.842,34.595,14.629,-1.246,14.017,9.754,10.368,7.363,7.205
Jordan,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,23.418,20.765,37.554,24.634,6.966,21.891,15.771,16.125,9.217,9.316
Jordan,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,18.998,19.34,36.996,25.297,6.25,21.212,15.147,15.517,9.066,9.174
Jordan,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,20.103,20.505,37.04,24.43,6.8,21.686,15.554,15.886,9.135,9.25
Jordan,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,15.805,21.03,36.648,32.821,5.789,20.822,14.892,15.288,9.258,9.237
Jordan,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,127.8,128.6,129.2,151.7,169,158,173.9,186.3,201.6,205,210.4
Jordan,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,33.06,33.03,33.33,39.05,42.86,40.34,44.62,47.98,52.06,52.94,54.34
Jordan,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,17.24,16.32,15.54,17.95,18.22,15.86,16.43,16.78,17.35,17.37,17.5
Jordan,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,38.52,40.32,40.73,48.09,53.06,50.02,55.43,59.71,64.95,66.13,67.96
Jordan,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,18.98,19.17,19.13,22.49,24.95,23.37,25.75,27.59,29.85,30.36,31.15
Jordan,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,83.31,84.93,85.58,100.6,110.9,104.4,115.4,124.1,134.8,137.1,140.8
Jordan,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,67.93,66.77,67.56,79.25,93.18,86.89,95.43,102,110.2,112.2,115.2
Jordan,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Jordan,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Jordan,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Jordan,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,88.087,86.385,84.18,77.447,73.514,71.619,69.215,65.861,62.105,,
Jordan,Personal Care,3304,Online & Offline Split,Online,percent,Statista,11.913,13.615,15.82,22.553,26.486,28.381,30.785,34.139,37.895,,
Jordan,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,51.634,51.597,51.612,51.64,51.669,51.694,51.715,51.732,51.746,,
Jordan,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,48.366,48.403,48.388,48.36,48.331,48.306,48.285,48.268,48.254,,
Jordan,Personal Care,3304,Users,Total,million users,Statista,0.466,0.549,0.656,0.765,0.864,0.98,1.078,1.158,1.237,1.326,1.411
Jordan,Personal Care,3304,Users,Body Care,million users,Statista,0.317,0.373,0.446,0.52,0.587,0.666,0.733,0.788,0.841,0.902,0.96
Jordan,Personal Care,3304,Users,Eye Care,million users,Statista,0.233,0.274,0.328,0.382,0.432,0.49,0.539,0.579,0.618,0.663,0.706
Jordan,Personal Care,3304,Users,Hair Care,million users,Statista,0.242,0.285,0.341,0.398,0.449,0.51,0.561,0.602,0.643,0.69,0.734
Jordan,Personal Care,3304,Users,Oral Care,million users,Statista,0.228,0.269,0.322,0.375,0.423,0.48,0.528,0.568,0.606,0.65,0.692
Jordan,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.21,0.247,0.295,0.344,0.389,0.441,0.485,0.521,0.557,0.597,0.635
Jordan,Personal Care,3304,Users,Skin Care,million users,Statista,0.205,0.241,0.289,0.336,0.38,0.431,0.474,0.51,0.544,0.584,0.621
Jordan,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,3.236,3.745,4.417,5.096,5.719,6.469,7.108,7.632,8.133,8.694,9.205
Jordan,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,2.379,2.754,3.248,3.747,4.205,4.757,5.227,5.612,5.98,6.393,6.768
Jordan,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,2.474,2.864,3.378,3.897,4.373,4.947,5.436,5.836,6.219,6.649,7.039
Jordan,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,2.332,2.698,3.183,3.672,4.121,4.662,5.122,5.5,5.861,6.265,6.633
Jordan,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,2.141,2.478,2.923,3.372,3.785,4.281,4.704,5.051,5.382,5.754,6.092
Jordan,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,4.758,5.507,6.496,7.494,8.41,9.514,10.454,11.224,11.96,12.785,13.534
Jordan,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,2.094,2.423,2.858,3.297,3.7,4.186,4.6,4.938,5.263,5.626,5.956
Jordan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Jordan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
