Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Kazakhstan,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Kazakhstan,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,22.91,23.4,25.32,30.28,34.91,35.05,40.32,44.1,48.64,49.82,51.44
Kazakhstan,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,12.86,13.06,14.1,16.81,19.29,19.36,22.27,24.35,26.85,27.49,28.37
Kazakhstan,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,2.338,2.545,2.909,3.392,3.953,3.975,4.536,4.985,5.494,5.637,5.826
Kazakhstan,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,50,50.92,54.83,65.89,76.12,76.43,88.02,96.25,106.2,108.9,112.5
