Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Kenya,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Kenya,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,0.8,0.919,1.175,1.911,2.776,2.355,2.349,2.292,2.278,2.292,2.293
Kenya,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,0.51,0.634,0.855,1.352,2.015,1.739,1.762,1.746,1.761,1.789,1.808
Kenya,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,0.32,0.312,0.346,0.608,0.824,0.665,0.631,0.585,0.551,0.536,0.517
Kenya,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,1.003,1.153,1.475,2.398,3.483,2.955,2.947,2.876,2.858,2.873,2.871
Kenya,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,1.5,2.32,3.954,8.264,15.04,15.21,17.57,19.44,21.76,24.08,26.31
Kenya,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,0.67,1.12,2.014,4.094,7.642,7.861,9.225,10.37,11.78,13.16,14.52
Kenya,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,0.36,0.472,0.699,1.578,2.679,2.579,2.832,2.976,3.161,3.379,3.559
Kenya,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,0.471,0.728,1.24,2.592,4.717,4.771,5.51,6.098,6.827,7.545,8.234
Kenya,Beauty Care,3305,Revenue Change,Total,percent,Statista,,54.667,70.431,109.004,81.994,1.13,15.516,10.643,11.934,10.662,9.261
Kenya,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,67.189,79.821,103.277,86.663,2.866,17.351,12.412,13.597,11.715,10.334
Kenya,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,31.156,48.209,125.622,69.772,-3.733,9.81,5.085,6.216,6.897,5.327
Kenya,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,54.632,70.4,109.032,81.983,1.145,15.489,10.672,11.955,10.517,9.132
Kenya,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Kenya,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Kenya,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Kenya,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,99.292,98.98,98.382,96.431,94.227,94.316,94.306,94.163,93.94,,
Kenya,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,0.708,1.02,1.618,3.569,5.773,5.684,5.694,5.837,6.06,,
Kenya,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,49.729,47.119,46.366,45.126,43.719,42.417,40.965,39.785,38.567,,
Kenya,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,50.271,52.881,53.634,54.874,56.281,57.583,59.035,60.215,61.433,,
Kenya,Beauty Care,3305,Users by Segment,Total,million users,Statista,1.876,2.524,3.364,4.325,5.417,6.459,7.478,8.482,9.556,10.504,11.473
Kenya,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,1.313,1.767,2.355,3.027,3.792,4.521,5.235,5.937,6.689,7.352,8.031
Kenya,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,1.126,1.514,2.019,2.595,3.25,3.876,4.487,5.089,5.733,6.302,6.884
Kenya,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.469,0.631,0.841,1.081,1.354,1.615,1.87,2.121,2.389,2.626,2.868
Kenya,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,3.736,4.911,6.399,8.043,9.851,11.49,13.015,14.446,15.931,17.146,18.343
Kenya,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,2.615,3.437,4.48,5.63,6.896,8.043,9.11,10.112,11.152,12.002,12.84
Kenya,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,2.241,2.946,3.84,4.826,5.911,6.894,7.809,8.668,9.559,10.288,11.006
Kenya,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,0.934,1.228,1.6,2.011,2.463,2.873,3.254,3.612,3.983,4.287,4.586
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Kenya,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Kenya,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,0.314,0.608,1.122,1.986,3.709,3.177,3.195,3.139,3.137,3.191,3.218
Kenya,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.264,0.514,0.952,1.627,3.009,2.588,2.613,2.576,2.583,2.633,2.661
Kenya,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.113,0.22,0.407,0.698,1.29,1.118,1.137,1.129,1.14,1.165,1.181
Kenya,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.12,0.234,0.433,0.742,1.372,1.187,1.205,1.194,1.204,1.23,1.247
Kenya,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.018,0.034,0.063,0.215,0.47,0.39,0.381,0.364,0.355,0.357,0.355
Kenya,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.018,0.025,0.032,0.047,0.065,0.053,0.05,0.045,0.041,0.039,0.037
Kenya,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,0.428,0.83,1.53,2.708,5.058,4.332,4.358,4.281,4.279,4.354,4.39
Kenya,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.125,0.243,0.45,0.772,1.428,1.205,1.195,1.158,1.143,1.151,1.149
Kenya,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.042,0.081,0.15,0.263,0.487,0.421,0.426,0.422,0.425,0.434,0.44
Kenya,Health Care,3003,Revenue,Total,million USD (US$),Statista,0.538,1.404,3.451,7.851,18.37,18.76,21.85,24.35,27.41,30.65,33.75
Kenya,Health Care,3003,Revenue,Analgesics,million USD (US$),Statista,0.091,0.237,0.586,1.287,2.98,3.057,3.573,3.996,4.513,5.057,5.582
Kenya,Health Care,3003,Revenue,Cold & Cough Remedies,million USD (US$),Statista,0.078,0.203,0.501,1.103,2.555,2.641,3.11,3.503,3.983,4.476,4.957
Kenya,Health Care,3003,Revenue,Digestives & Intestinal Remedies,million USD (US$),Statista,0.062,0.162,0.399,0.88,2.039,2.103,2.472,2.779,3.154,3.544,3.924
Kenya,Health Care,3003,Revenue,Hand Sanitizer,million USD (US$),Statista,0.012,0.032,0.078,0.339,0.931,0.922,1.042,1.13,1.241,1.371,1.488
Kenya,Health Care,3003,Revenue,Incontinence,million USD (US$),Statista,0.006,0.011,0.02,0.037,0.064,0.063,0.069,0.07,0.071,0.076,0.079
Kenya,Health Care,3003,Revenue,Other Health Care,million USD (US$),Statista,0.169,0.44,1.082,2.463,5.761,5.885,6.853,7.637,8.598,9.616,10.59
Kenya,Health Care,3003,Revenue,Skin Treatment,million USD (US$),Statista,0.086,0.224,0.554,1.221,2.83,2.847,3.269,3.594,3.994,4.422,4.82
