Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Kuwait,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Kuwait,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,94.04,83.99,82.24,89.01,94.91,90.62,99.97,107,115.1,117.7,121.4
Kuwait,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,57.29,51.41,49.42,53.4,55.49,52.93,58.35,62.44,67.12,68.44,70.5
Kuwait,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,5.812,5.486,5.662,4.927,5.545,5.541,6.421,7.193,8.023,8.234,8.573
Kuwait,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,201.8,178.8,177,194.7,210.9,201,221.1,236.1,253.2,256.6,262.3
Kuwait,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,46.22,48.28,50.66,58.77,69.18,71.62,84.05,94.38,106.1,113.4,121.7
Kuwait,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,19.71,20.69,21.31,24.68,28.32,29.28,34.34,38.54,43.33,46.17,49.46
Kuwait,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,1.714,1.892,2.093,1.952,2.425,2.628,3.239,3.805,4.439,4.761,5.155
Kuwait,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,24.8,25.7,27.26,32.14,38.44,39.71,46.47,52.03,58.39,62.49,67.08
Kuwait,Beauty Care,3305,Revenue Change,Total,percent,Statista,,4.457,4.93,16.009,17.713,3.527,17.355,12.29,12.418,6.88,7.319
Kuwait,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,4.972,2.997,15.814,14.749,3.39,17.281,12.231,12.429,6.554,7.126
Kuwait,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,10.385,10.624,-6.737,24.232,8.371,23.25,17.475,16.662,7.254,8.276
Kuwait,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,3.629,6.07,17.902,19.602,3.304,17.023,11.965,12.224,7.022,7.345
Kuwait,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Kuwait,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Kuwait,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Kuwait,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,71.505,70.986,70.574,65.524,63.422,62.204,60.703,58.683,56.545,,
Kuwait,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,28.495,29.014,29.426,34.476,36.578,37.796,39.297,41.317,43.455,,
Kuwait,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,64.409,62.166,60.056,58.754,57.585,56.719,56.015,55.533,55.259,,
Kuwait,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,35.591,37.834,39.944,41.246,42.415,43.281,43.985,44.467,44.741,,
Kuwait,Beauty Care,3305,Users by Segment,Total,million users,Statista,0.491,0.575,0.616,0.66,0.729,0.79,0.841,0.882,0.922,0.964,1.003
Kuwait,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,0.344,0.402,0.431,0.462,0.51,0.553,0.588,0.617,0.646,0.675,0.702
Kuwait,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,0.295,0.345,0.37,0.396,0.437,0.474,0.504,0.529,0.553,0.578,0.601
Kuwait,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.123,0.144,0.154,0.165,0.182,0.198,0.21,0.22,0.231,0.244,0.256
Kuwait,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,12.117,13.894,14.643,15.46,16.84,18.042,18.986,19.711,20.412,21.127,21.753
Kuwait,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,8.482,9.726,10.25,10.822,11.788,12.63,13.29,13.797,14.288,14.785,15.22
Kuwait,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,7.27,8.337,8.786,9.276,10.104,10.825,11.392,11.826,12.247,12.673,13.045
Kuwait,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,3.029,3.474,3.661,3.865,4.21,4.511,4.746,4.928,5.103,5.337,5.548
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Kuwait,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
